,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
3259,3229.0,93.0,93.0,33.0,52.0,0.15,-0.11,-0.11,-0.42,1.0,0.31
3260,3230.0,94.0,96.0,33.0,52.0,0.2,-0.2,-0.28,1.19,0.44,1.11
3261,3231.0,95.0,105.0,34.0,53.0,0.18,-0.17,-0.35,1.26,0.55,1.14
3262,3232.0,97.0,106.0,35.0,56.0,0.08,-0.11,-0.32,1.84,-0.25,1.32
3263,3233.0,101.0,106.0,35.0,55.0,0.01,-0.01,-0.16,1.49,0.04,1.24
3264,3234.0,107.0,114.0,36.0,52.0,-0.2,0.2,0.25,2.07,0.44,1.27
3265,3235.0,103.0,128.0,35.0,50.0,-0.43,0.28,0.5,2.52,0.14,1.26
3266,3236.0,123.0,127.0,35.0,48.0,-0.51,0.23,0.55,2.32,-0.4,1.63
3267,3237.0,121.0,123.0,34.0,46.0,-0.54,-0.01,0.64,2.04,-0.83,1.74
3268,3238.0,123.0,131.0,34.0,45.0,-0.48,-0.34,0.74,1.6,-1.06,1.62
3269,3239.0,115.0,126.0,34.0,44.0,-0.45,-0.51,0.79,1.64,-1.56,0.92
3270,3240.0,123.0,120.0,46.0,43.0,-0.39,-0.71,0.86,1.84,-1.33,0.68
3271,3241.0,127.0,119.0,48.0,43.0,-0.36,-0.72,0.78,1.44,-1.29,0.67
3272,3242.0,131.0,117.0,48.0,42.0,-0.36,-0.65,0.73,1.13,-0.77,0.48
3273,3243.0,133.0,148.0,45.0,42.0,-0.34,-0.49,0.62,1.03,-0.65,0.43
3274,3244.0,131.0,143.0,54.0,42.0,-0.31,-0.39,0.49,-0.05,-0.95,0.06
3275,3245.0,132.0,133.0,54.0,44.0,-0.25,-0.42,0.46,-0.29,-0.63,-0.46
3276,3246.0,153.0,147.0,54.0,43.0,-0.16,-0.58,0.34,-0.65,-0.61,-0.39
3277,3247.0,157.0,150.0,54.0,42.0,-0.11,-0.63,0.22,-1.06,-0.52,-0.25
3278,3248.0,158.0,161.0,48.0,42.0,-0.12,-0.57,0.17,-1.09,-0.55,-0.77
3279,3249.0,158.0,164.0,53.0,43.0,-0.16,-0.51,0.06,-0.96,-0.36,-0.76
3280,3250.0,153.0,165.0,69.0,42.0,-0.16,-0.56,-0.08,-1.11,0.12,-0.75
3281,3251.0,156.0,206.0,74.0,41.0,-0.16,-0.6,-0.17,-1.21,0.02,-0.63
3282,3252.0,159.0,214.0,88.0,41.0,-0.22,-0.56,-0.32,-1.45,0.13,-0.57
3283,3253.0,160.0,195.0,78.0,41.0,-0.31,-0.39,-0.45,-1.42,0.21,-0.77
3284,3254.0,168.0,229.0,69.0,42.0,-0.34,-0.32,-0.49,-1.47,0.12,-0.9
3285,3255.0,159.0,221.0,60.0,42.0,-0.38,-0.29,-0.62,-1.55,0.2,-0.86
3286,3256.0,152.0,232.0,55.0,41.0,-0.4,-0.23,-0.69,-1.27,0.7,-0.42
3287,3257.0,164.0,228.0,60.0,43.0,-0.42,-0.19,-0.71,-1.01,0.69,-0.19
3288,3258.0,159.0,232.0,108.0,43.0,-0.48,-0.06,-0.76,-1.37,0.54,-0.5
3289,3259.0,176.0,248.0,182.0,42.0,-0.49,-0.04,-0.75,-1.29,0.34,-0.84
3290,3260.0,187.0,260.0,152.0,43.0,-0.47,-0.08,-0.72,-0.98,0.5,-0.32
3291,3261.0,181.0,241.0,128.0,42.0,-0.47,-0.08,-0.69,-0.73,0.59,0.1
3292,3262.0,176.0,217.0,114.0,42.0,-0.49,-0.05,-0.72,-1.34,0.03,-0.54
3293,3263.0,172.0,228.0,233.0,42.0,-0.47,-0.08,-0.73,-1.16,0.05,-0.64
3294,3264.0,172.0,268.0,257.0,41.0,-0.44,-0.1,-0.72,-0.5,0.27,-0.57
3295,3265.0,175.0,249.0,243.0,41.0,-0.49,0.13,-0.67,0.11,0.63,0.06
3296,3266.0,179.0,224.0,252.0,41.0,-0.52,0.24,-0.64,-0.1,0.55,0.09
3297,3267.0,185.0,208.0,488.0,46.0,-0.5,0.24,-0.59,-0.91,0.17,-0.31
3298,3268.0,176.0,228.0,427.0,51.0,-0.35,0.08,-0.47,-0.69,0.12,-0.45
3299,3269.0,187.0,243.0,538.0,56.0,-0.28,0.03,-0.39,-0.56,0.33,-0.48
3300,3270.0,183.0,239.0,471.0,55.0,-0.17,-0.01,-0.22,-0.53,0.19,-0.81
3301,3271.0,171.0,290.0,400.0,54.0,-0.1,-0.04,-0.05,0.1,0.38,-0.17
3302,3272.0,182.0,271.0,449.0,59.0,-0.1,0.03,-0.02,-0.21,0.23,-0.43
3303,3273.0,191.0,286.0,416.0,63.0,-0.08,0.2,-0.02,-0.73,0.01,-0.37
3304,3274.0,175.0,293.0,377.0,67.0,-0.03,0.27,-0.01,-0.82,-0.02,-0.3
3305,3275.0,163.0,268.0,391.0,66.0,-0.02,0.29,-0.01,-1.02,-0.14,-0.16
3306,3276.0,173.0,310.0,532.0,65.0,0.02,0.2,0.01,-0.83,-0.16,0.19
3307,3277.0,165.0,304.0,458.0,61.0,0.03,0.13,0.01,-0.66,-0.08,0.42
3308,3278.0,167.0,309.0,383.0,70.0,0.0,0.03,0.02,-0.48,0.0,0.58
3309,3279.0,164.0,287.0,338.0,68.0,-0.01,-0.02,-0.02,-0.58,-0.31,0.43
3310,3280.0,160.0,266.0,405.0,67.0,-0.0,-0.01,-0.09,-0.28,-0.13,0.22
3311,3281.0,153.0,270.0,440.0,64.0,-0.03,0.04,-0.1,-0.12,-0.05,0.17
3312,3282.0,153.0,279.0,379.0,65.0,-0.06,0.09,-0.1,-0.04,-0.01,0.48
3313,3283.0,150.0,273.0,352.0,64.0,-0.06,0.07,-0.06,0.01,-0.1,0.39
3314,3284.0,154.0,257.0,307.0,68.0,-0.04,0.03,-0.04,0.19,0.07,0.42
3315,3285.0,156.0,252.0,303.0,64.0,-0.03,0.02,-0.01,-0.04,0.02,0.45
3316,3286.0,152.0,237.0,368.0,61.0,-0.01,-0.02,-0.01,-0.03,-0.06,0.18
3317,3287.0,171.0,241.0,339.0,67.0,-0.0,-0.05,0.0,0.08,-0.02,0.25
3318,3288.0,164.0,235.0,293.0,69.0,-0.03,-0.03,0.02,0.15,0.03,0.23
3319,3289.0,154.0,243.0,279.0,65.0,-0.05,-0.02,0.01,-0.08,-0.05,0.31
3320,3290.0,156.0,232.0,240.0,62.0,-0.05,-0.04,0.02,-0.08,-0.02,0.05
3321,3291.0,155.0,228.0,209.0,63.0,-0.03,-0.09,0.02,0.2,0.07,0.09
3322,3292.0,151.0,232.0,177.0,59.0,-0.04,-0.05,0.02,0.06,0.02,-0.07
3323,3293.0,148.0,238.0,233.0,58.0,-0.06,0.07,0.02,-0.13,-0.03,-0.13
3324,3294.0,152.0,223.0,244.0,54.0,-0.04,0.09,0.05,-0.41,-0.04,-0.09
3325,3295.0,146.0,219.0,200.0,54.0,-0.0,0.04,0.09,-0.37,-0.01,-0.06
3326,3296.0,143.0,215.0,162.0,53.0,0.05,-0.09,0.13,-0.29,-0.01,-0.09
3327,3297.0,138.0,218.0,149.0,53.0,0.05,-0.08,0.12,-0.22,0.09,-0.17
3328,3298.0,141.0,207.0,129.0,52.0,0.02,0.09,0.07,-0.38,0.0,-0.13
3329,3299.0,140.0,194.0,108.0,50.0,0.02,0.09,0.07,-0.4,0.0,-0.09
3330,3300.0,141.0,185.0,95.0,51.0,0.03,0.14,0.07,-0.5,-0.01,0.06
3331,3301.0,136.0,188.0,83.0,51.0,0.03,0.14,0.08,-0.52,-0.03,-0.16
3332,3302.0,132.0,174.0,71.0,49.0,0.09,0.1,0.14,-0.43,0.08,-0.24
3333,3303.0,127.0,164.0,64.0,48.0,0.14,0.07,0.2,-0.32,0.17,-0.08
3334,3304.0,124.0,152.0,58.0,47.0,0.17,0.2,0.24,-0.5,0.21,-0.24
3335,3305.0,120.0,160.0,52.0,47.0,0.17,0.2,0.24,-0.51,0.28,-0.27
3336,3306.0,117.0,157.0,49.0,49.0,0.21,0.29,0.33,-0.51,0.14,-0.28
3337,3307.0,116.0,151.0,49.0,49.0,0.25,0.29,0.37,-0.36,0.1,-0.34
3338,3308.0,117.0,149.0,50.0,47.0,0.28,0.4,0.43,-0.45,0.11,-0.35
3339,3309.0,117.0,141.0,58.0,47.0,0.23,0.62,0.45,-0.43,0.29,0.0
3340,3310.0,116.0,142.0,53.0,48.0,0.17,0.76,0.47,-0.68,0.21,0.09
3341,3311.0,115.0,138.0,48.0,48.0,0.15,0.78,0.47,-0.89,0.23,-0.05
3342,3312.0,115.0,149.0,45.0,46.0,0.13,0.73,0.48,-1.24,0.22,-0.39
3343,3313.0,116.0,136.0,43.0,45.0,0.15,0.64,0.51,-1.09,-0.1,-0.09
3344,3314.0,116.0,132.0,40.0,45.0,0.2,0.46,0.52,-0.83,0.0,-0.05
3345,3315.0,114.0,128.0,38.0,45.0,0.2,0.32,0.51,-0.63,0.14,-0.05
3346,3316.0,112.0,130.0,37.0,44.0,0.22,0.29,0.5,-0.41,0.17,-0.04
3347,3317.0,111.0,130.0,37.0,47.0,0.21,0.33,0.51,-0.46,0.3,-0.06
3348,3318.0,112.0,158.0,35.0,46.0,0.2,0.31,0.54,-1.09,0.29,-0.57
3349,3319.0,112.0,150.0,32.0,45.0,0.29,0.08,0.57,-1.22,-0.34,-0.88
3350,3320.0,112.0,143.0,35.0,44.0,0.35,-0.03,0.57,-0.57,-0.59,-0.75
3351,3321.0,112.0,136.0,34.0,44.0,0.37,-0.01,0.52,0.05,-0.07,-0.47
3352,3322.0,110.0,134.0,34.0,44.0,0.33,0.11,0.48,-0.27,0.38,-0.24
3353,3323.0,111.0,133.0,34.0,46.0,0.25,0.36,0.39,-0.63,0.13,-0.42
3354,3324.0,111.0,138.0,34.0,46.0,0.21,0.3,0.31,-0.82,-1.19,-0.45
3355,3325.0,111.0,134.0,33.0,45.0,0.27,0.16,0.29,-0.37,-1.37,-0.33
3356,3326.0,111.0,125.0,33.0,44.0,0.37,-0.13,0.18,-0.16,-1.12,0.0
3357,3327.0,110.0,121.0,33.0,44.0,0.36,-0.13,0.05,0.0,-0.29,0.61
3358,3328.0,111.0,119.0,33.0,47.0,0.26,-0.07,-0.06,-0.07,-0.89,0.57
3359,3329.0,109.0,114.0,34.0,48.0,0.29,-0.12,-0.09,-0.1,-1.11,0.2
3360,3330.0,110.0,111.0,30.0,46.0,0.38,-0.22,-0.14,0.02,-0.91,-0.07
3361,3331.0,110.0,107.0,35.0,45.0,0.4,-0.21,-0.15,0.33,-0.4,0.23
3362,3332.0,111.0,101.0,35.0,45.0,0.3,-0.02,-0.19,0.39,-0.13,0.41
3363,3333.0,109.0,99.0,35.0,45.0,0.25,0.09,-0.19,0.19,-0.18,0.21
3364,3334.0,108.0,97.0,36.0,44.0,0.24,0.04,-0.18,-0.42,-0.47,-0.18
3365,3335.0,107.0,103.0,35.0,44.0,0.27,-0.18,-0.15,-0.58,-0.63,-0.19
3366,3336.0,107.0,99.0,35.0,44.0,0.33,-0.26,-0.15,-0.03,-0.42,-0.06
3367,3337.0,104.0,94.0,41.0,43.0,0.33,-0.22,-0.24,-0.07,-0.33,0.15
3368,3338.0,102.0,90.0,48.0,43.0,0.32,-0.17,-0.27,-0.12,-0.24,0.26
3369,3339.0,102.0,89.0,47.0,43.0,0.29,-0.14,-0.3,-0.66,-0.37,-0.16
3370,3340.0,103.0,100.0,74.0,42.0,0.29,-0.21,-0.31,-0.81,-0.39,-0.31
