,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
4152,4116.0,116.0,78.0,33.0,59.0,-0.03,0.07,0.03,0.18,-0.02,0.0
4153,4117.0,115.0,78.0,33.0,61.0,-0.02,0.08,0.04,0.16,-0.16,0.2
4154,4118.0,114.0,78.0,33.0,59.0,0.0,0.07,0.04,0.43,0.0,0.29
4155,4119.0,114.0,78.0,34.0,80.0,0.05,0.05,0.04,0.33,-0.02,0.54
4156,4120.0,116.0,78.0,34.0,81.0,0.18,-0.27,0.03,-1.79,-0.27,-0.27
4157,4121.0,118.0,79.0,34.0,113.0,0.4,-0.7,-0.09,-0.87,1.09,0.28
4158,4122.0,120.0,79.0,34.0,103.0,0.35,-0.88,0.17,0.43,0.71,0.09
4159,4123.0,120.0,81.0,70.0,109.0,0.53,-1.28,0.55,0.25,0.54,-0.53
4160,4124.0,122.0,84.0,94.0,119.0,0.68,-1.56,0.74,1.29,1.0,-0.85
4161,4125.0,122.0,88.0,92.0,128.0,0.65,-1.51,1.14,2.94,2.02,0.09
4162,4126.0,121.0,94.0,83.0,125.0,0.35,-0.87,1.44,3.5,2.08,-0.13
4163,4127.0,120.0,100.0,77.0,115.0,0.28,-0.63,1.63,3.13,1.75,-0.73
4164,4128.0,120.0,103.0,85.0,101.0,0.46,-0.83,1.98,2.38,1.15,-1.54
4165,4129.0,120.0,105.0,115.0,100.0,0.95,-1.52,2.26,1.8,0.8,-1.44
4166,4130.0,117.0,108.0,114.0,102.0,1.18,-1.85,2.4,1.83,0.92,-0.93
4167,4131.0,118.0,109.0,96.0,91.0,1.36,-1.9,2.74,2.77,1.17,-0.27
4168,4132.0,123.0,114.0,88.0,82.0,1.45,-1.59,3.05,2.58,1.03,-0.91
4169,4133.0,118.0,117.0,119.0,75.0,1.52,-1.45,3.1,2.05,0.68,-1.02
4170,4134.0,114.0,118.0,202.0,67.0,1.69,-1.41,3.11,0.27,-0.43,-0.78
4171,4135.0,110.0,118.0,180.0,62.0,1.96,-1.61,3.01,-0.44,-0.67,-0.33
4172,4136.0,110.0,125.0,187.0,59.0,2.07,-1.67,2.94,-0.38,-0.28,0.11
4173,4137.0,120.0,129.0,214.0,56.0,2.1,-1.62,2.81,-0.59,0.25,0.75
4174,4138.0,114.0,125.0,285.0,53.0,2.08,-1.5,2.72,-1.08,-0.37,0.62
4175,4139.0,109.0,126.0,284.0,55.0,2.17,-1.55,2.67,-1.15,-0.42,0.41
4176,4140.0,115.0,123.0,275.0,53.0,2.26,-1.6,2.53,-1.14,-0.39,0.64
4177,4141.0,116.0,130.0,267.0,54.0,2.35,-1.65,2.35,-0.94,0.47,0.05
4178,4142.0,119.0,129.0,292.0,55.0,2.34,-1.65,2.2,-0.89,0.33,0.33
4179,4143.0,116.0,142.0,314.0,54.0,2.34,-1.51,1.99,-0.59,0.4,0.76
4180,4144.0,120.0,145.0,325.0,51.0,2.23,-1.33,1.84,-0.28,0.85,0.71
4181,4145.0,121.0,156.0,359.0,51.0,2.16,-1.22,1.75,-0.27,1.01,0.49
4182,4146.0,127.0,159.0,320.0,51.0,2.02,-1.01,1.58,-0.28,1.04,0.4
4183,4147.0,123.0,162.0,312.0,53.0,1.87,-0.76,1.4,-0.6,0.94,0.41
4184,4148.0,124.0,175.0,312.0,55.0,1.77,-0.63,1.31,-0.56,1.04,0.5
4185,4149.0,125.0,179.0,328.0,60.0,1.53,-0.35,1.1,-0.7,1.13,0.4
4186,4150.0,130.0,188.0,356.0,55.0,1.35,-0.14,0.96,-0.58,1.06,0.3
4187,4151.0,125.0,197.0,420.0,56.0,1.29,-0.09,0.89,-0.72,1.01,0.33
4188,4152.0,126.0,197.0,387.0,53.0,1.23,-0.09,0.74,-0.52,0.97,0.41
4189,4153.0,127.0,207.0,345.0,52.0,1.15,0.0,0.61,-0.32,1.07,0.17
4190,4154.0,122.0,210.0,379.0,53.0,1.08,0.08,0.54,-0.06,1.24,0.02
4191,4155.0,120.0,219.0,399.0,55.0,0.95,0.27,0.47,-0.11,1.09,-0.3
4192,4156.0,125.0,229.0,545.0,55.0,0.9,0.35,0.4,-0.77,0.57,0.02
4193,4157.0,121.0,232.0,464.0,56.0,0.9,0.32,0.38,-0.7,0.71,0.18
4194,4158.0,121.0,233.0,500.0,56.0,0.89,0.26,0.32,-0.43,1.02,0.37
4195,4159.0,119.0,237.0,468.0,54.0,0.72,0.35,0.25,-0.35,0.99,0.8
4196,4160.0,116.0,242.0,440.0,56.0,0.61,0.43,0.21,-0.52,0.94,0.89
4197,4161.0,118.0,241.0,408.0,60.0,0.39,0.54,0.15,-1.04,0.57,1.12
4198,4162.0,122.0,240.0,388.0,59.0,0.26,0.48,0.07,-1.01,0.56,1.25
4199,4163.0,122.0,235.0,400.0,65.0,0.2,0.43,0.06,-0.92,0.61,1.22
4200,4164.0,118.0,233.0,400.0,67.0,0.11,0.32,0.03,-0.8,0.53,1.06
4201,4165.0,115.0,226.0,417.0,69.0,0.09,0.14,0.04,-0.56,0.44,0.91
4202,4166.0,119.0,221.0,461.0,76.0,0.1,0.05,0.03,-0.24,0.58,0.73
4203,4167.0,119.0,214.0,453.0,70.0,0.06,-0.01,0.03,0.21,0.78,0.51
4204,4168.0,127.0,211.0,438.0,82.0,-0.03,0.08,0.03,0.2,0.54,0.21
4205,4169.0,124.0,211.0,470.0,89.0,-0.06,0.11,0.02,0.0,0.36,0.01
4206,4170.0,120.0,203.0,422.0,92.0,-0.07,0.1,-0.0,-0.08,-0.01,-0.02
4207,4171.0,121.0,205.0,396.0,108.0,-0.01,0.07,-0.02,0.11,0.08,-0.07
4208,4172.0,123.0,204.0,418.0,115.0,0.01,0.08,-0.03,0.23,0.29,-0.12
4209,4173.0,122.0,197.0,401.0,122.0,-0.02,0.16,-0.04,0.26,0.38,-0.11
4210,4174.0,117.0,188.0,359.0,131.0,-0.03,0.18,-0.03,0.06,0.21,-0.07
4211,4175.0,113.0,177.0,356.0,147.0,-0.0,0.15,-0.02,0.0,0.21,-0.02
4212,4176.0,113.0,179.0,412.0,158.0,0.03,0.09,-0.01,0.18,0.36,0.01
4213,4177.0,113.0,172.0,411.0,164.0,0.01,0.12,-0.0,0.11,0.42,0.06
4214,4178.0,112.0,168.0,364.0,173.0,-0.0,0.14,-0.01,0.07,0.38,0.05
4215,4179.0,115.0,167.0,383.0,184.0,-0.01,0.14,0.0,-0.1,0.29,0.0
4216,4180.0,115.0,159.0,353.0,187.0,0.01,0.09,0.02,-0.03,0.34,-0.01
4217,4181.0,115.0,153.0,317.0,192.0,0.02,0.07,0.02,-0.03,0.33,0.05
4218,4182.0,119.0,150.0,303.0,205.0,0.03,0.05,0.01,-0.22,0.32,0.08
