,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
3300,3272.0,95.0,124.0,33.0,40.0,0.09,-0.06,-0.1,-0.02,-0.16,0.26
3301,3273.0,97.0,119.0,33.0,42.0,0.12,-0.09,-0.16,0.43,0.12,0.4
3302,3274.0,98.0,113.0,33.0,54.0,0.19,-0.17,-0.25,0.6,0.27,0.41
3303,3275.0,98.0,111.0,33.0,66.0,0.24,-0.23,-0.33,0.43,0.19,0.53
3304,3276.0,102.0,124.0,32.0,69.0,0.27,-0.26,-0.38,0.15,-0.02,0.32
3305,3277.0,106.0,124.0,33.0,63.0,0.31,-0.52,-0.46,0.14,-0.35,0.19
3306,3278.0,113.0,127.0,33.0,60.0,0.33,-0.73,-0.32,0.82,-0.54,-0.02
3307,3279.0,119.0,140.0,34.0,68.0,0.26,-0.81,-0.17,0.24,-0.41,-0.11
3308,3280.0,118.0,139.0,34.0,62.0,0.18,-0.99,-0.04,-0.5,-0.51,0.09
3309,3281.0,123.0,142.0,34.0,64.0,0.48,-2.0,0.17,-1.42,-1.09,0.88
3310,3282.0,130.0,145.0,34.0,66.0,0.82,-2.7,0.38,-0.29,-0.03,0.33
3311,3283.0,137.0,161.0,33.0,62.0,1.36,-3.98,0.73,0.08,-0.33,-0.41
3312,3284.0,135.0,169.0,33.0,62.0,1.78,-4.97,1.0,0.27,-0.25,0.01
3313,3285.0,141.0,167.0,36.0,65.0,1.95,-5.25,1.13,0.19,-0.47,-0.37
3314,3286.0,143.0,166.0,37.0,61.0,2.17,-5.54,1.35,0.09,-0.72,-0.52
3315,3287.0,143.0,168.0,35.0,63.0,2.15,-5.62,1.39,0.79,-0.5,-1.66
3316,3288.0,142.0,175.0,39.0,61.0,2.18,-5.62,1.42,1.06,-0.03,-1.26
3317,3289.0,140.0,180.0,38.0,60.0,2.04,-5.21,1.41,1.06,-0.03,-0.78
3318,3290.0,147.0,185.0,38.0,57.0,1.85,-4.67,1.31,0.34,0.47,-0.39
3319,3291.0,145.0,187.0,36.0,56.0,1.82,-4.45,1.24,0.57,0.64,-0.39
3320,3292.0,143.0,205.0,36.0,56.0,1.68,-4.01,1.15,0.23,0.53,-0.69
3321,3293.0,132.0,220.0,35.0,55.0,1.69,-3.5,1.18,0.71,1.12,-1.45
3322,3294.0,128.0,231.0,36.0,54.0,1.69,-3.26,1.18,1.35,1.46,-2.26
3323,3295.0,128.0,250.0,36.0,55.0,1.62,-2.5,1.17,1.48,1.63,-1.94
3324,3296.0,123.0,270.0,36.0,53.0,1.45,-1.56,1.17,1.1,1.49,-1.37
3325,3297.0,117.0,294.0,37.0,52.0,1.45,-1.25,1.18,0.61,1.57,-1.31
3326,3298.0,118.0,301.0,36.0,50.0,1.62,-0.97,1.23,0.3,1.52,-1.11
3327,3299.0,118.0,320.0,37.0,48.0,1.8,-0.74,1.23,0.72,1.78,-1.08
3328,3300.0,119.0,334.0,36.0,49.0,1.83,-0.57,1.22,0.86,1.6,-0.97
3329,3301.0,121.0,341.0,51.0,50.0,1.82,-0.16,1.19,0.42,1.21,-0.69
3330,3302.0,120.0,357.0,99.0,48.0,1.81,0.1,1.16,0.08,1.08,-0.45
3331,3303.0,128.0,366.0,100.0,49.0,1.83,0.14,1.17,0.09,1.11,-0.23
3332,3304.0,140.0,364.0,107.0,53.0,1.95,0.07,1.2,0.07,1.15,-0.25
3333,3305.0,149.0,372.0,112.0,52.0,1.98,0.16,1.24,0.5,1.47,-1.34
3334,3306.0,148.0,381.0,95.0,52.0,1.98,0.26,1.27,0.34,1.34,-1.38
3335,3307.0,150.0,390.0,109.0,52.0,2.03,0.45,1.29,0.2,1.28,-1.18
3336,3308.0,151.0,383.0,130.0,51.0,2.15,0.55,1.3,-0.23,0.89,-0.14
3337,3309.0,149.0,392.0,118.0,48.0,2.2,0.53,1.3,-0.31,0.9,-0.11
3338,3310.0,151.0,387.0,189.0,49.0,2.28,0.47,1.3,-0.22,1.1,-0.06
3339,3311.0,160.0,386.0,263.0,48.0,2.25,0.62,1.31,-0.06,1.34,-0.53
3340,3312.0,170.0,384.0,282.0,55.0,2.21,0.7,1.29,0.04,1.3,-0.57
3341,3313.0,160.0,384.0,259.0,53.0,2.11,0.91,1.24,-0.68,0.94,-0.28
3342,3314.0,156.0,380.0,264.0,50.0,2.11,0.95,1.2,-0.79,0.77,-0.24
3343,3315.0,163.0,367.0,270.0,49.0,2.12,0.95,1.2,-0.62,0.94,0.14
3344,3316.0,155.0,365.0,311.0,58.0,2.14,0.92,1.16,-0.41,0.74,0.8
3345,3317.0,143.0,372.0,336.0,61.0,2.03,0.97,1.06,0.11,0.75,1.43
3346,3318.0,135.0,375.0,329.0,57.0,1.93,1.05,1.0,0.12,0.8,1.26
3347,3319.0,143.0,380.0,337.0,58.0,1.67,1.26,0.91,-0.41,0.96,0.68
3348,3320.0,142.0,378.0,411.0,58.0,1.53,1.26,0.79,-1.09,0.57,1.15
3349,3321.0,145.0,379.0,448.0,71.0,1.47,1.2,0.72,-1.21,0.39,1.37
3350,3322.0,151.0,383.0,515.0,67.0,1.34,1.05,0.58,-1.0,0.36,2.35
3351,3323.0,167.0,382.0,541.0,75.0,1.15,0.94,0.4,-1.33,0.52,2.57
3352,3324.0,169.0,376.0,570.0,71.0,1.03,0.9,0.29,-1.2,0.56,2.63
