,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
5521,5472.0,95.0,137.0,34.0,154.0,0.06,0.07,0.03,0.57,0.56,0.01
5522,5473.0,96.0,135.0,34.0,195.0,0.1,0.0,0.1,0.93,0.91,0.55
5523,5474.0,97.0,129.0,34.0,182.0,0.08,-0.04,0.15,1.43,1.19,0.61
5524,5475.0,96.0,126.0,34.0,156.0,-0.19,0.21,0.37,1.92,1.57,0.17
5525,5476.0,95.0,122.0,34.0,139.0,-0.63,0.69,0.73,2.42,1.63,0.01
5526,5477.0,100.0,115.0,34.0,125.0,-0.74,0.83,0.95,2.51,2.01,0.57
5527,5478.0,100.0,117.0,34.0,137.0,-0.86,0.87,1.26,2.15,1.79,0.74
5528,5479.0,100.0,114.0,33.0,129.0,-0.82,0.61,1.54,1.94,1.67,0.48
5529,5480.0,103.0,115.0,33.0,138.0,-0.79,0.46,1.67,1.71,1.34,0.31
5530,5481.0,109.0,112.0,34.0,125.0,-0.79,0.36,1.87,1.81,1.11,0.04
5531,5482.0,107.0,109.0,34.0,110.0,-0.92,0.35,2.0,1.72,1.16,0.13
5532,5483.0,116.0,104.0,36.0,116.0,-1.0,0.45,2.04,1.58,1.01,0.1
5533,5484.0,125.0,108.0,41.0,126.0,-1.22,0.71,2.08,1.46,0.91,-0.05
5534,5485.0,120.0,106.0,40.0,134.0,-1.4,1.02,2.08,1.29,1.07,-0.18
5535,5486.0,118.0,109.0,38.0,139.0,-1.53,1.21,2.1,1.24,1.08,-0.53
5536,5487.0,120.0,107.0,38.0,138.0,-1.78,1.63,2.09,1.04,1.16,-0.6
5537,5488.0,124.0,104.0,39.0,150.0,-2.05,2.0,2.05,0.39,1.12,-0.59
5538,5489.0,122.0,107.0,39.0,176.0,-2.18,2.13,2.01,0.18,1.21,-0.71
5539,5490.0,118.0,113.0,38.0,171.0,-2.43,2.36,2.01,0.26,1.21,-0.89
5540,5491.0,125.0,110.0,38.0,180.0,-2.65,2.48,2.04,0.16,1.71,-0.72
5541,5492.0,126.0,108.0,37.0,204.0,-2.74,2.51,2.04,-0.51,1.2,-0.79
5542,5493.0,127.0,106.0,37.0,192.0,-2.8,2.38,2.06,-0.63,0.94,-1.1
5543,5494.0,125.0,109.0,41.0,207.0,-2.8,2.11,2.02,-0.74,0.74,-1.27
5544,5495.0,132.0,111.0,43.0,204.0,-2.73,1.99,2.01,-0.85,1.08,-1.17
5545,5496.0,131.0,110.0,42.0,196.0,-2.73,1.79,1.94,-0.69,1.3,-1.22
5546,5497.0,126.0,105.0,41.0,168.0,-2.76,1.72,1.86,-0.69,1.07,-1.14
5547,5498.0,136.0,108.0,41.0,144.0,-2.77,1.71,1.77,-1.23,0.66,-1.23
5548,5499.0,141.0,114.0,41.0,126.0,-2.56,1.52,1.74,-1.16,0.44,-1.38
5549,5500.0,149.0,120.0,36.0,111.0,-2.37,1.26,1.72,-0.83,0.98,-1.24
5550,5501.0,158.0,114.0,39.0,113.0,-2.3,1.18,1.7,-0.68,0.83,-1.19
5551,5502.0,165.0,108.0,38.0,104.0,-2.22,1.18,1.62,-0.73,0.74,-1.11
5552,5503.0,169.0,125.0,37.0,127.0,-2.12,1.14,1.55,-0.7,0.75,-1.12
5553,5504.0,188.0,122.0,50.0,149.0,-2.05,1.06,1.53,-0.51,1.01,-0.91
5554,5505.0,195.0,121.0,46.0,183.0,-1.88,0.88,1.44,-0.47,0.98,-0.79
5555,5506.0,201.0,122.0,43.0,195.0,-1.69,0.66,1.43,-0.6,0.65,-0.93
5556,5507.0,201.0,144.0,41.0,229.0,-1.59,0.51,1.43,-0.44,0.65,-0.91
5557,5508.0,213.0,145.0,47.0,251.0,-1.4,0.31,1.43,-0.27,0.99,-0.79
5558,5509.0,219.0,141.0,50.0,272.0,-1.32,0.27,1.36,-0.37,0.86,-0.62
5559,5510.0,223.0,158.0,46.0,297.0,-1.29,0.3,1.32,-0.56,0.7,-0.65
5560,5511.0,226.0,158.0,45.0,308.0,-1.17,0.28,1.27,-0.7,0.46,-0.79
5561,5512.0,235.0,151.0,43.0,329.0,-1.03,0.23,1.24,-0.71,0.44,-0.99
5562,5513.0,234.0,149.0,53.0,343.0,-0.95,0.19,1.21,-0.92,0.36,-1.06
5563,5514.0,234.0,146.0,52.0,342.0,-0.78,0.1,1.12,-1.01,0.39,-0.8
5564,5515.0,244.0,169.0,49.0,345.0,-0.66,0.1,0.99,-1.16,0.45,-0.62
5565,5516.0,243.0,183.0,45.0,354.0,-0.62,0.14,0.92,-1.23,0.36,-0.57
5566,5517.0,246.0,178.0,54.0,350.0,-0.54,0.16,0.81,-1.07,0.44,-0.43
5567,5518.0,251.0,167.0,52.0,365.0,-0.47,0.2,0.7,-1.08,0.67,-0.14
5568,5519.0,254.0,178.0,57.0,373.0,-0.44,0.22,0.64,-1.05,0.88,0.0
5569,5520.0,248.0,182.0,52.0,364.0,-0.42,0.2,0.52,-1.11,0.53,0.1
