,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
4712,4672.0,108.0,96.0,41.0,62.0,0.01,0.04,0.05,-0.05,-0.1,0.06
4713,4673.0,105.0,93.0,39.0,65.0,0.05,0.01,0.08,-0.01,0.03,0.2
4714,4674.0,102.0,91.0,38.0,140.0,0.11,-0.06,0.12,-0.11,0.08,0.29
4715,4675.0,99.0,86.0,37.0,139.0,0.15,-0.14,0.14,-0.27,0.12,0.15
4716,4676.0,97.0,85.0,36.0,165.0,0.28,-0.32,0.19,-0.5,0.2,-0.12
4717,4677.0,97.0,83.0,35.0,181.0,0.39,-0.54,0.35,-0.27,0.45,0.27
4718,4678.0,99.0,84.0,35.0,203.0,0.42,-0.63,0.46,-0.17,0.54,0.22
4719,4679.0,100.0,81.0,53.0,263.0,0.4,-0.76,0.77,0.02,0.72,-0.08
4720,4680.0,98.0,80.0,56.0,264.0,0.17,-0.54,1.17,3.07,1.87,-0.05
4721,4681.0,100.0,81.0,51.0,245.0,-0.08,-0.22,1.42,2.99,2.19,-0.06
4722,4682.0,101.0,79.0,47.0,211.0,-0.42,0.1,1.85,2.24,1.8,0.16
4723,4683.0,100.0,77.0,44.0,196.0,-0.38,-0.11,2.29,2.51,1.98,-0.21
4724,4684.0,100.0,78.0,50.0,188.0,-0.26,-0.3,2.48,2.5,2.06,-0.23
4725,4685.0,102.0,80.0,49.0,182.0,-0.1,-0.57,2.65,2.24,1.52,0.11
4726,4686.0,104.0,81.0,45.0,158.0,-0.07,-0.54,2.72,1.93,1.23,0.15
4727,4687.0,104.0,80.0,43.0,140.0,-0.11,-0.46,2.72,2.17,0.76,0.22
4728,4688.0,111.0,79.0,42.0,122.0,-0.21,-0.2,2.77,1.76,0.84,0.1
4729,4689.0,111.0,81.0,41.0,113.0,-0.36,0.13,2.68,1.57,0.48,0.01
4730,4690.0,115.0,84.0,39.0,97.0,-0.46,0.28,2.65,1.23,0.37,-0.18
4731,4691.0,118.0,88.0,46.0,90.0,-0.55,0.42,2.59,0.82,0.0,-0.14
4732,4692.0,120.0,96.0,43.0,81.0,-0.56,0.44,2.55,0.61,0.04,0.07
4733,4693.0,120.0,103.0,41.0,76.0,-0.57,0.45,2.47,0.6,0.14,0.03
4734,4694.0,121.0,110.0,39.0,68.0,-0.67,0.52,2.41,0.34,0.1,-0.06
4735,4695.0,124.0,117.0,38.0,71.0,-0.7,0.59,2.39,0.25,0.18,-0.18
4736,4696.0,132.0,126.0,36.0,64.0,-0.74,0.66,2.38,0.13,0.34,-0.17
4737,4697.0,138.0,135.0,57.0,60.0,-0.72,0.62,2.37,-0.04,0.41,-0.19
4738,4698.0,142.0,151.0,87.0,97.0,-0.7,0.58,2.35,-0.58,0.17,-0.1
4739,4699.0,143.0,166.0,278.0,135.0,-0.64,0.55,2.26,-0.71,0.32,-0.11
4740,4700.0,144.0,166.0,415.0,148.0,-0.63,0.55,2.16,-0.68,1.25,-0.66
4741,4701.0,144.0,184.0,434.0,131.0,-0.65,0.54,2.12,-1.1,0.95,-0.52
4742,4702.0,146.0,205.0,966.0,110.0,-0.65,0.7,2.07,-1.13,1.29,-0.31
4743,4703.0,152.0,206.0,966.0,96.0,-0.71,0.79,2.0,-1.39,0.66,-0.32
4744,4704.0,153.0,197.0,967.0,89.0,-0.75,0.85,1.94,-2.01,0.56,-0.29
4745,4705.0,154.0,189.0,967.0,84.0,-0.7,0.87,1.8,-2.42,0.29,-0.56
4746,4706.0,156.0,181.0,846.0,80.0,-0.61,0.71,1.62,-2.78,-0.05,-0.55
4747,4707.0,160.0,169.0,751.0,108.0,-0.51,0.63,1.52,-2.91,0.29,-0.36
4748,4708.0,167.0,162.0,649.0,96.0,-0.37,0.43,1.27,-2.87,0.16,-0.21
4749,4709.0,171.0,158.0,580.0,84.0,-0.27,0.39,1.04,-2.92,0.37,-0.46
4750,4710.0,172.0,154.0,536.0,91.0,-0.25,0.37,0.89,-3.17,0.8,-0.44
4751,4711.0,171.0,148.0,476.0,97.0,-0.24,0.35,0.64,-3.28,1.05,-0.44
4752,4712.0,171.0,142.0,434.0,99.0,-0.14,0.22,0.41,-3.56,1.65,-0.6
4753,4713.0,169.0,140.0,388.0,90.0,-0.09,0.12,0.3,-3.61,1.9,-0.67
4754,4714.0,166.0,138.0,331.0,87.0,0.03,-0.06,0.11,-3.41,2.13,-0.89
4755,4715.0,162.0,138.0,285.0,93.0,0.12,-0.18,-0.03,-2.86,2.39,-1.0
4756,4716.0,157.0,140.0,245.0,87.0,0.16,-0.21,-0.09,-2.45,2.4,-0.77
4757,4717.0,144.0,137.0,204.0,103.0,0.22,-0.21,-0.17,-1.72,2.56,-0.52
4758,4718.0,135.0,137.0,168.0,110.0,0.17,-0.05,-0.24,-1.72,2.68,-0.38
4759,4719.0,127.0,137.0,141.0,116.0,0.12,0.02,-0.29,-1.04,2.22,-0.51
4760,4720.0,118.0,133.0,116.0,108.0,-0.02,0.21,-0.32,-0.94,1.78,-0.42
4761,4721.0,112.0,134.0,120.0,95.0,-0.04,0.28,-0.35,-1.17,1.49,-0.25
4762,4722.0,112.0,135.0,270.0,86.0,-0.02,0.21,-0.38,-0.9,0.88,-0.53
4763,4723.0,110.0,130.0,524.0,93.0,0.09,-0.02,-0.44,-0.82,0.39,-0.7
4764,4724.0,112.0,126.0,628.0,97.0,0.21,-0.27,-0.5,-0.13,-0.2,0.08
4765,4725.0,113.0,128.0,967.0,90.0,0.23,-0.28,-0.52,0.21,0.05,0.36
4766,4726.0,114.0,127.0,967.0,85.0,0.12,-0.03,-0.57,0.52,0.64,0.68
4767,4727.0,113.0,129.0,811.0,87.0,-0.11,0.34,-0.62,0.65,-0.19,0.25
4768,4728.0,113.0,129.0,684.0,88.0,-0.28,0.41,-0.63,0.48,-0.46,0.06
4769,4729.0,109.0,131.0,551.0,86.0,-0.31,0.37,-0.67,0.55,-2.01,-0.01
4770,4730.0,107.0,134.0,464.0,96.0,-0.11,0.19,-0.66,0.63,-1.69,0.12
4771,4731.0,106.0,139.0,392.0,85.0,-0.06,0.04,-0.65,1.46,-1.71,0.48
4772,4732.0,107.0,142.0,309.0,77.0,-0.01,-0.13,-0.55,1.81,-1.75,0.52
4773,4733.0,108.0,146.0,253.0,70.0,-0.05,-0.06,-0.47,2.0,-2.22,0.61
4774,4734.0,111.0,147.0,209.0,66.0,-0.09,-0.04,-0.45,2.23,-2.18,0.92
4775,4735.0,114.0,151.0,176.0,66.0,-0.15,0.08,-0.37,2.38,-2.21,0.92
4776,4736.0,116.0,151.0,146.0,70.0,-0.2,0.16,-0.27,2.21,-2.44,0.92
4777,4737.0,116.0,152.0,124.0,65.0,-0.19,0.14,-0.21,2.0,-2.55,1.17
4778,4738.0,114.0,153.0,103.0,65.0,-0.05,-0.01,-0.07,1.99,-2.27,1.1
4779,4739.0,112.0,153.0,90.0,61.0,0.05,-0.06,0.05,1.92,-2.06,1.17
4780,4740.0,112.0,155.0,81.0,57.0,0.05,-0.02,0.1,1.8,-1.33,1.21
4781,4741.0,111.0,154.0,75.0,54.0,-0.03,0.12,0.14,1.57,-1.41,1.2
4782,4742.0,111.0,150.0,75.0,51.0,-0.06,0.26,0.16,0.78,-1.35,0.71
4783,4743.0,109.0,148.0,80.0,49.0,-0.04,0.23,0.18,0.52,-1.39,0.51
4784,4744.0,106.0,148.0,90.0,47.0,0.11,0.03,0.16,-0.23,-1.44,0.36
4785,4745.0,106.0,150.0,98.0,46.0,0.34,-0.25,0.09,-0.8,-1.45,0.39
4786,4746.0,109.0,146.0,105.0,45.0,0.42,-0.37,0.03,-1.0,-1.37,0.41
4787,4747.0,105.0,144.0,122.0,45.0,0.59,-0.54,-0.16,-1.59,-1.41,-0.06
4788,4748.0,102.0,140.0,145.0,43.0,0.74,-0.65,-0.42,-1.82,-1.38,-0.15
4789,4749.0,101.0,142.0,158.0,43.0,0.78,-0.66,-0.58,-2.01,-1.27,-0.22
4790,4750.0,104.0,137.0,155.0,42.0,0.82,-0.67,-0.88,-1.9,-0.75,-0.52
4791,4751.0,107.0,131.0,137.0,42.0,0.94,-0.76,-1.17,-2.22,-0.49,-0.6
4792,4752.0,112.0,125.0,117.0,42.0,1.02,-0.8,-1.33,-2.64,-0.16,-0.26
4793,4753.0,119.0,131.0,97.0,42.0,1.09,-0.82,-1.65,-2.6,0.25,-0.2
4794,4754.0,128.0,128.0,84.0,43.0,0.92,-0.59,-2.0,-2.61,0.99,-0.21
4795,4755.0,135.0,121.0,74.0,44.0,0.82,-0.41,-2.19,-2.69,0.97,-0.93
4796,4756.0,149.0,119.0,67.0,45.0,0.8,-0.31,-2.43,-3.24,0.9,-1.47
4797,4757.0,158.0,113.0,67.0,52.0,1.02,-0.66,-2.56,-3.55,0.81,-1.52
4798,4758.0,167.0,122.0,73.0,50.0,1.13,-0.84,-2.62,-3.4,0.98,-1.26
4799,4759.0,177.0,125.0,77.0,48.0,1.08,-0.88,-2.73,-1.94,2.48,-0.43
4800,4760.0,183.0,130.0,80.0,51.0,0.68,-0.43,-2.83,-1.63,2.33,-0.87
4801,4761.0,186.0,160.0,87.0,52.0,0.58,-0.32,-2.84,-2.4,1.62,-1.42
4802,4762.0,188.0,156.0,102.0,53.0,0.6,-0.4,-2.81,-2.6,1.47,-1.52
4803,4763.0,186.0,152.0,105.0,51.0,0.62,-0.55,-2.69,-1.44,2.21,-0.94
4804,4764.0,189.0,153.0,107.0,56.0,0.58,-0.51,-2.62,-1.07,2.07,-0.79
4805,4765.0,186.0,151.0,112.0,53.0,0.4,-0.29,-2.5,-0.64,1.78,-0.97
4806,4766.0,184.0,169.0,113.0,55.0,0.37,-0.22,-2.35,-0.35,1.82,-0.51
4807,4767.0,175.0,159.0,116.0,52.0,0.37,-0.25,-2.27,-0.22,1.89,-0.29
4808,4768.0,170.0,158.0,118.0,49.0,0.29,-0.07,-2.11,0.44,1.83,0.45
4809,4769.0,162.0,161.0,120.0,48.0,0.02,0.44,-1.98,0.65,1.51,-0.18
4810,4770.0,155.0,160.0,118.0,47.0,-0.17,0.64,-1.88,0.45,0.96,-0.19
4811,4771.0,147.0,147.0,119.0,45.0,-0.41,0.78,-1.71,0.99,1.32,1.01
4812,4772.0,143.0,135.0,116.0,45.0,-0.49,0.92,-1.65,0.36,0.79,1.08
4813,4773.0,132.0,129.0,121.0,45.0,-0.52,0.85,-1.6,0.44,0.49,0.88
4814,4774.0,126.0,156.0,118.0,44.0,-0.34,0.56,-1.49,0.15,0.49,0.1
4815,4775.0,128.0,144.0,123.0,43.0,-0.07,-0.02,-1.36,0.5,0.46,0.17
4816,4776.0,133.0,143.0,110.0,43.0,0.02,-0.23,-1.31,0.57,0.61,0.17
4817,4777.0,134.0,143.0,103.0,43.0,0.06,-0.33,-1.23,0.93,0.93,0.49
