,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
953,947.0,98.0,90.0,33.0,48.0,0.04,-0.16,0.04,0.23,0.1,0.08
954,948.0,100.0,94.0,33.0,48.0,0.07,-0.22,0.09,0.13,0.17,-0.08
955,949.0,104.0,95.0,33.0,47.0,0.15,-0.31,0.11,0.22,0.44,-0.14
956,950.0,102.0,96.0,33.0,48.0,0.21,-0.37,0.13,0.47,0.64,-0.13
957,951.0,100.0,96.0,33.0,49.0,0.26,-0.49,0.19,0.96,0.7,0.66
958,952.0,112.0,97.0,32.0,48.0,0.02,-0.25,0.42,2.22,1.6,0.14
959,953.0,116.0,102.0,33.0,46.0,-0.26,0.07,0.53,3.36,1.68,0.02
960,954.0,119.0,102.0,49.0,46.0,-0.85,0.73,0.76,3.47,1.67,0.41
961,955.0,126.0,122.0,53.0,68.0,-1.2,1.0,0.87,2.78,1.24,1.34
962,956.0,121.0,130.0,48.0,70.0,-1.28,1.03,0.94,2.98,1.25,1.24
963,957.0,120.0,133.0,45.0,64.0,-1.44,1.09,1.05,2.8,1.21,0.95
964,958.0,122.0,133.0,43.0,71.0,-1.64,1.21,1.15,2.95,0.86,0.7
965,959.0,124.0,131.0,43.0,68.0,-1.75,1.26,1.18,3.12,0.9,0.68
966,960.0,121.0,131.0,43.0,63.0,-2.05,1.52,1.28,2.22,0.62,0.7
967,961.0,118.0,125.0,41.0,63.0,-2.41,1.9,1.31,2.21,0.54,0.5
968,962.0,112.0,131.0,39.0,60.0,-2.56,2.09,1.3,1.59,0.29,0.46
969,963.0,116.0,128.0,38.0,58.0,-2.63,2.16,1.26,0.96,-0.33,-0.02
970,964.0,113.0,128.0,38.0,58.0,-2.59,2.08,1.21,0.86,-0.18,-1.06
971,965.0,112.0,123.0,37.0,57.0,-2.59,2.03,1.18,0.53,-0.22,-0.98
972,966.0,111.0,116.0,36.0,55.0,-2.6,2.0,1.08,0.36,-0.02,-0.92
973,967.0,111.0,116.0,35.0,65.0,-2.73,2.17,0.95,0.01,0.09,-0.92
974,968.0,120.0,148.0,34.0,71.0,-2.74,2.17,0.91,-0.23,-0.25,-0.97
975,969.0,128.0,171.0,35.0,91.0,-2.49,1.92,0.89,-0.66,-0.58,-1.27
976,970.0,130.0,183.0,37.0,89.0,-2.09,1.51,0.89,-0.51,-0.37,-1.24
977,971.0,131.0,194.0,37.0,78.0,-1.96,1.41,0.84,-0.45,-0.23,-1.29
978,972.0,143.0,184.0,36.0,82.0,-1.81,1.33,0.69,-0.49,0.16,-1.6
979,973.0,139.0,209.0,39.0,77.0,-1.85,1.4,0.58,-0.84,-0.05,-1.69
