,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
5497,5448.0,97.0,110.0,33.0,51.0,0.12,-0.31,0.09,-0.26,-0.23,0.51
5498,5449.0,95.0,107.0,33.0,57.0,0.13,-0.38,0.1,-0.41,-0.33,0.76
5499,5450.0,95.0,109.0,33.0,57.0,0.19,-0.55,0.16,-0.03,-0.02,0.8
5500,5451.0,93.0,108.0,32.0,55.0,0.23,-0.6,0.22,0.07,0.08,0.09
5501,5452.0,92.0,103.0,33.0,62.0,0.39,-0.8,0.27,0.0,0.22,0.08
5502,5453.0,92.0,100.0,35.0,59.0,0.54,-1.05,0.36,0.72,0.67,0.59
5503,5454.0,93.0,94.0,35.0,82.0,0.54,-1.06,0.43,0.71,0.68,0.36
5504,5455.0,93.0,97.0,35.0,80.0,0.56,-1.13,0.58,2.73,1.7,-0.45
5505,5456.0,95.0,97.0,35.0,75.0,0.34,-0.78,0.94,3.66,2.57,-0.13
5506,5457.0,96.0,96.0,35.0,73.0,0.11,-0.53,1.13,3.57,2.58,0.07
5507,5458.0,97.0,104.0,35.0,66.0,-0.29,-0.16,1.52,3.42,2.12,0.03
5508,5459.0,99.0,117.0,34.0,63.0,-0.57,0.01,1.82,3.24,1.6,-0.05
5509,5460.0,100.0,119.0,35.0,58.0,-0.64,0.04,1.89,3.31,1.09,-0.58
5510,5461.0,112.0,115.0,40.0,54.0,-0.76,0.27,1.92,3.38,1.26,-0.44
5511,5462.0,114.0,112.0,39.0,52.0,-1.16,0.95,1.91,2.73,1.82,0.17
5512,5463.0,109.0,112.0,38.0,54.0,-1.46,1.32,1.87,1.66,0.88,-0.19
5513,5464.0,108.0,131.0,36.0,56.0,-1.86,1.73,1.78,1.2,0.48,-0.27
5514,5465.0,108.0,135.0,36.0,61.0,-1.95,1.8,1.72,1.11,0.07,-1.44
5515,5466.0,110.0,129.0,36.0,63.0,-1.98,1.85,1.7,1.08,0.01,-1.48
5516,5467.0,120.0,136.0,45.0,62.0,-2.11,2.23,1.51,1.09,0.2,-1.5
5517,5468.0,123.0,140.0,43.0,97.0,-2.48,2.81,1.26,-0.19,0.22,-1.77
5518,5469.0,121.0,137.0,53.0,118.0,-2.61,2.95,1.19,-0.4,0.17,-1.27
5519,5470.0,115.0,140.0,57.0,101.0,-2.8,3.08,1.17,0.27,0.97,-1.73
5520,5471.0,121.0,139.0,125.0,89.0,-2.77,3.05,1.19,-0.23,0.63,-2.63
5521,5472.0,126.0,139.0,124.0,81.0,-2.72,2.98,1.19,-0.27,0.92,-2.75
5522,5473.0,137.0,135.0,174.0,96.0,-2.56,2.86,1.32,-0.14,1.4,-2.67
5523,5474.0,131.0,134.0,158.0,85.0,-2.51,2.92,1.51,0.05,1.95,-2.75
5524,5475.0,128.0,144.0,140.0,89.0,-2.49,2.99,1.64,0.28,2.28,-2.65
5525,5476.0,146.0,155.0,126.0,91.0,-2.54,3.16,1.86,0.14,2.58,-2.68
5526,5477.0,167.0,154.0,142.0,85.0,-2.69,3.4,2.06,0.37,2.49,-2.41
5527,5478.0,183.0,184.0,198.0,93.0,-2.78,3.62,2.18,0.24,2.73,-2.6
5528,5479.0,194.0,193.0,254.0,104.0,-2.96,3.86,2.37,0.05,2.74,-2.38
5529,5480.0,218.0,197.0,272.0,94.0,-2.88,3.66,2.62,-0.28,2.26,-2.6
5530,5481.0,224.0,214.0,252.0,88.0,-2.68,3.4,2.78,-0.45,2.22,-2.24
5531,5482.0,255.0,253.0,239.0,88.0,-2.3,2.82,3.03,-0.94,2.34,-1.62
5532,5483.0,268.0,267.0,348.0,93.0,-1.96,2.34,3.18,-1.12,1.27,-2.11
5533,5484.0,315.0,264.0,334.0,93.0,-1.82,2.2,3.2,-1.14,1.34,-2.66
5534,5485.0,326.0,275.0,373.0,80.0,-1.5,1.79,3.14,-2.25,0.49,-2.37
5535,5486.0,350.0,300.0,402.0,78.0,-1.06,1.28,3.14,-2.19,1.13,-0.94
5536,5487.0,338.0,309.0,424.0,102.0,-1.0,1.18,3.08,-2.26,1.0,-0.99
5537,5488.0,321.0,314.0,379.0,99.0,-0.9,1.24,2.85,-2.84,-0.06,-2.05
5538,5489.0,310.0,328.0,357.0,102.0,-0.69,1.03,2.59,-3.3,-0.29,-1.55
5539,5490.0,313.0,337.0,325.0,94.0,-0.62,0.95,2.46,-3.89,-0.17,-0.94
5540,5491.0,288.0,331.0,321.0,95.0,-0.53,0.81,2.13,-4.4,-0.51,-0.36
5541,5492.0,298.0,339.0,295.0,99.0,-0.41,0.55,1.79,-5.17,-0.84,-0.07
5542,5493.0,317.0,363.0,245.0,92.0,-0.32,0.4,1.6,-5.28,-0.68,0.14
5543,5494.0,309.0,362.0,277.0,84.0,-0.29,0.19,1.15,-5.71,-0.75,0.41
5544,5495.0,313.0,350.0,255.0,89.0,-0.4,0.09,0.63,-6.32,-1.29,0.82
5545,5496.0,329.0,359.0,210.0,101.0,-0.4,-0.05,0.37,-6.32,-1.36,0.92
5546,5497.0,316.0,360.0,180.0,98.0,-0.33,-0.37,-0.14,-6.05,-1.42,0.79
5547,5498.0,300.0,352.0,165.0,92.0,-0.31,-0.56,-0.64,-5.68,-1.22,0.63
5548,5499.0,299.0,340.0,168.0,95.0,-0.32,-0.6,-0.91,-5.15,-1.1,0.31
5549,5500.0,291.0,334.0,141.0,105.0,-0.28,-0.67,-1.37,-4.85,-0.93,0.06
5550,5501.0,272.0,342.0,127.0,95.0,-0.14,-0.9,-1.74,-4.23,-0.63,-0.07
5551,5502.0,262.0,324.0,129.0,91.0,-0.04,-1.03,-1.9,-4.01,-0.1,-0.31
5552,5503.0,263.0,284.0,165.0,89.0,0.14,-1.28,-2.19,-3.95,-0.2,-0.68
5553,5504.0,238.0,285.0,157.0,88.0,0.66,-2.09,-2.49,-3.35,-0.07,-1.11
5554,5505.0,223.0,273.0,232.0,83.0,0.73,-2.22,-2.59,-2.7,0.47,-0.99
5555,5506.0,206.0,263.0,219.0,81.0,0.6,-2.03,-2.73,-1.8,0.82,-1.07
5556,5507.0,197.0,241.0,199.0,78.0,0.38,-1.4,-3.07,-2.21,0.29,-1.95
5557,5508.0,216.0,258.0,214.0,74.0,0.63,-1.66,-3.09,-2.48,0.16,-2.3
5558,5509.0,207.0,264.0,184.0,71.0,1.49,-2.77,-3.01,-2.24,0.16,-2.95
5559,5510.0,215.0,281.0,177.0,67.0,2.32,-4.01,-2.89,-1.84,0.76,-2.38
5560,5511.0,221.0,278.0,152.0,70.0,2.19,-3.93,-2.95,-0.22,2.72,-0.73
5561,5512.0,227.0,260.0,123.0,70.0,1.26,-2.65,-3.19,0.41,3.07,-0.81
5562,5513.0,255.0,264.0,109.0,66.0,0.79,-1.75,-3.3,0.43,1.82,-2.53
5563,5514.0,252.0,243.0,107.0,63.0,0.93,-1.78,-3.25,0.41,1.77,-2.82
5564,5515.0,258.0,266.0,94.0,63.0,1.67,-2.59,-2.95,0.92,2.91,-2.59
5565,5516.0,258.0,252.0,87.0,61.0,2.44,-3.64,-2.47,1.22,3.08,-2.44
5566,5517.0,265.0,237.0,77.0,69.0,2.7,-3.98,-2.22,1.49,3.17,-2.51
5567,5518.0,280.0,226.0,83.0,71.0,2.67,-3.87,-1.81,3.04,4.07,-2.84
5568,5519.0,279.0,224.0,92.0,69.0,1.97,-2.71,-1.5,3.05,3.49,-2.57
5569,5520.0,274.0,220.0,112.0,67.0,1.58,-2.03,-1.35,2.94,3.38,-3.38
5570,5521.0,272.0,207.0,103.0,67.0,1.14,-1.18,-1.01,3.07,2.79,-3.04
5571,5522.0,269.0,210.0,99.0,65.0,1.17,-0.77,-0.58,2.05,1.87,-3.2
5572,5523.0,272.0,202.0,87.0,66.0,1.18,-0.68,-0.48,1.82,1.37,-2.67
5573,5524.0,268.0,201.0,76.0,62.0,1.33,-0.83,-0.26,1.41,1.11,-2.29
5574,5525.0,271.0,205.0,68.0,61.0,1.34,-0.74,-0.15,1.04,0.04,-1.82
5575,5526.0,270.0,202.0,61.0,59.0,1.33,-0.61,-0.12,0.88,-0.08,-1.78
5576,5527.0,269.0,206.0,56.0,62.0,1.25,-0.28,-0.14,0.05,-0.06,-1.19
5577,5528.0,267.0,202.0,55.0,62.0,1.18,-0.13,-0.22,-0.43,-0.23,-0.97
5578,5529.0,265.0,208.0,52.0,60.0,1.18,-0.14,-0.26,-0.77,-0.64,-1.45
5579,5530.0,258.0,213.0,85.0,59.0,1.36,-0.23,-0.36,-0.76,-0.96,-1.71
5580,5531.0,254.0,211.0,157.0,57.0,1.5,-0.2,-0.52,-0.99,-0.64,-0.79
5581,5532.0,243.0,215.0,148.0,57.0,1.45,-0.1,-0.63,-1.02,-0.61,-0.61
5582,5533.0,230.0,227.0,122.0,61.0,1.27,0.1,-0.82,-1.15,-0.08,-0.28
5583,5534.0,222.0,233.0,105.0,58.0,1.35,0.1,-0.91,-1.86,-0.24,-0.62
5584,5535.0,213.0,220.0,90.0,58.0,1.39,0.05,-0.92,-1.45,-0.75,-0.95
5585,5536.0,206.0,226.0,78.0,58.0,1.51,-0.06,-1.02,-0.93,0.08,-0.75
5586,5537.0,197.0,213.0,69.0,58.0,1.29,0.2,-1.21,-0.04,0.07,-0.16
5587,5538.0,188.0,212.0,62.0,61.0,1.08,0.39,-1.26,-1.01,1.05,-0.28
5588,5539.0,179.0,220.0,56.0,59.0,0.81,0.65,-1.46,-0.37,0.05,0.33
5589,5540.0,169.0,221.0,52.0,62.0,0.79,0.54,-1.45,-1.06,-0.14,0.44
5590,5541.0,166.0,216.0,49.0,62.0,0.78,0.38,-1.43,-0.42,0.54,1.15
5591,5542.0,155.0,217.0,46.0,63.0,0.67,0.25,-1.42,0.31,1.33,0.94
5592,5543.0,156.0,199.0,44.0,62.0,0.55,0.15,-1.33,-0.16,0.49,0.17
5593,5544.0,146.0,192.0,43.0,59.0,0.58,0.02,-1.29,-0.26,0.35,-0.03
5594,5545.0,139.0,198.0,42.0,58.0,0.65,-0.16,-1.28,0.48,1.07,1.16
5595,5546.0,133.0,192.0,50.0,62.0,0.45,-0.06,-1.26,0.77,1.18,1.21
5596,5547.0,127.0,178.0,48.0,64.0,0.35,0.03,-1.23,0.58,1.2,0.97
5597,5548.0,119.0,170.0,46.0,60.0,0.31,0.0,-1.14,0.17,0.46,0.23
5598,5549.0,117.0,194.0,45.0,58.0,0.39,-0.15,-1.06,0.29,0.6,-0.02
5599,5550.0,113.0,180.0,48.0,56.0,0.38,-0.15,-1.04,0.8,0.96,0.26
5600,5551.0,114.0,182.0,48.0,54.0,0.2,0.03,-1.02,0.74,0.92,0.28
5601,5552.0,115.0,177.0,48.0,52.0,0.07,0.17,-0.98,0.08,0.53,0.37
5602,5553.0,114.0,166.0,50.0,56.0,0.05,0.16,-0.95,0.23,0.76,0.31
5603,5554.0,117.0,164.0,48.0,54.0,0.04,0.09,-0.92,0.32,0.29,0.2
5604,5555.0,119.0,184.0,47.0,55.0,0.1,0.01,-0.85,0.17,0.15,0.01
5605,5556.0,131.0,178.0,46.0,53.0,0.15,-0.07,-0.83,0.19,0.19,0.01
5606,5557.0,123.0,169.0,45.0,52.0,0.16,-0.16,-0.78,0.46,0.61,0.56
5607,5558.0,147.0,188.0,46.0,51.0,0.05,-0.12,-0.72,0.48,0.54,0.31
5608,5559.0,160.0,215.0,44.0,50.0,0.05,-0.14,-0.68,0.44,0.06,-0.13
5609,5560.0,165.0,201.0,46.0,50.0,0.28,-0.53,-0.4,1.76,2.18,-0.29
5610,5561.0,183.0,193.0,46.0,50.0,0.19,-0.75,0.08,2.59,2.37,0.52
5611,5562.0,178.0,172.0,45.0,50.0,0.22,-0.88,0.16,0.93,0.89,0.37
5612,5563.0,181.0,158.0,43.0,49.0,0.34,-0.87,0.06,0.54,-0.16,-0.1
5613,5564.0,170.0,167.0,44.0,48.0,0.09,-0.25,-0.11,0.76,0.0,-0.82
5614,5565.0,162.0,154.0,42.0,48.0,-0.01,0.01,-0.17,0.71,0.2,-0.71
5615,5566.0,168.0,148.0,41.0,48.0,-0.16,0.3,-0.19,0.44,0.23,-0.02
5616,5567.0,166.0,160.0,41.0,47.0,-0.19,0.32,-0.18,-0.18,-0.22,-0.09
5617,5568.0,164.0,163.0,40.0,48.0,-0.16,0.27,-0.17,-0.43,-0.33,-0.13
