,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
1443,1432.0,117.0,92.0,39.0,40.0,0.01,0.01,-0.01,-0.05,0.03,0.16
1444,1433.0,119.0,94.0,42.0,40.0,0.01,0.04,-0.01,-0.15,0.03,0.21
1445,1434.0,117.0,93.0,45.0,40.0,0.01,0.05,-0.01,0.14,0.04,0.29
1446,1435.0,124.0,96.0,42.0,40.0,0.03,0.1,-0.0,-0.02,0.0,0.18
1447,1436.0,124.0,99.0,43.0,46.0,0.06,0.17,-0.0,-0.01,-0.03,0.29
1448,1437.0,120.0,104.0,42.0,75.0,0.06,0.21,-0.0,0.18,-0.04,0.47
1449,1438.0,119.0,107.0,39.0,87.0,0.04,0.33,-0.01,0.25,-0.23,0.63
1450,1439.0,122.0,104.0,38.0,80.0,0.01,0.42,-0.04,0.81,-0.48,0.74
1451,1440.0,121.0,101.0,37.0,76.0,0.02,0.48,-0.06,0.94,-0.38,0.63
1452,1441.0,118.0,99.0,41.0,76.0,0.01,0.57,-0.08,1.65,-0.52,0.72
1453,1442.0,118.0,100.0,41.0,75.0,0.05,0.88,-0.05,1.86,-0.49,0.73
1454,1443.0,118.0,105.0,39.0,68.0,-0.02,1.21,-0.01,1.76,-0.32,0.84
1455,1444.0,123.0,106.0,40.0,63.0,-0.06,1.93,-0.01,2.54,-0.5,0.98
1456,1445.0,124.0,118.0,37.0,58.0,-0.1,2.29,0.16,2.53,-0.52,0.74
1457,1446.0,127.0,123.0,55.0,55.0,-0.12,2.29,0.25,2.17,-0.62,0.76
1458,1447.0,125.0,116.0,66.0,52.0,-0.1,2.12,0.46,2.05,-0.69,0.72
1459,1448.0,141.0,149.0,68.0,50.0,-0.1,2.03,0.6,2.06,-0.48,1.03
1460,1449.0,150.0,152.0,89.0,47.0,-0.11,2.09,0.67,2.21,-0.38,1.27
1461,1450.0,149.0,141.0,81.0,45.0,-0.13,2.26,0.74,1.78,-0.4,1.19
1462,1451.0,142.0,129.0,87.0,45.0,-0.15,2.41,0.77,1.71,-0.39,1.19
1463,1452.0,141.0,152.0,76.0,43.0,-0.2,2.54,0.76,1.64,-0.28,1.13
1464,1453.0,138.0,153.0,86.0,43.0,-0.24,3.04,0.78,0.36,-0.41,0.25
1465,1454.0,148.0,149.0,77.0,42.0,-0.28,3.44,0.8,0.29,-0.18,-0.38
1466,1455.0,143.0,143.0,76.0,41.0,-0.28,3.38,0.82,-0.23,-0.23,-0.28
1467,1456.0,142.0,147.0,74.0,41.0,-0.33,2.86,0.82,-0.67,-0.02,-0.09
1468,1457.0,138.0,146.0,71.0,43.0,-0.47,2.17,0.81,-1.45,-0.43,0.38
1469,1458.0,133.0,160.0,66.0,43.0,-0.51,1.76,0.77,-1.37,-0.28,0.47
1470,1459.0,138.0,169.0,63.0,43.0,-0.62,1.11,0.68,-1.09,-0.22,0.77
1471,1460.0,144.0,183.0,75.0,43.0,-0.74,0.86,0.59,-0.54,0.15,0.41
1472,1461.0,147.0,181.0,72.0,42.0,-0.81,0.78,0.56,-0.23,0.17,0.39
1473,1462.0,146.0,214.0,67.0,41.0,-0.91,0.71,0.53,-0.04,0.43,0.39
1474,1463.0,140.0,216.0,72.0,41.0,-0.97,0.66,0.54,-0.04,0.51,0.05
1475,1464.0,140.0,217.0,76.0,41.0,-0.97,0.62,0.56,-0.08,0.47,-0.18
1476,1465.0,139.0,218.0,70.0,41.0,-0.94,0.47,0.57,-0.23,0.32,-0.53
1477,1466.0,136.0,233.0,74.0,43.0,-0.9,0.42,0.56,-0.17,0.46,-0.92
1478,1467.0,130.0,224.0,83.0,43.0,-0.88,0.45,0.54,-0.52,0.65,-1.15
1479,1468.0,133.0,213.0,106.0,43.0,-0.78,0.48,0.51,-0.78,0.81,-1.54
1480,1469.0,140.0,231.0,92.0,42.0,-0.68,0.42,0.46,-1.06,0.78,-1.78
1481,1470.0,147.0,253.0,85.0,43.0,-0.61,0.39,0.44,-1.11,0.86,-1.97
1482,1471.0,144.0,235.0,88.0,46.0,-0.47,0.41,0.39,-1.04,1.11,-2.23
1483,1472.0,144.0,222.0,85.0,46.0,-0.33,0.47,0.33,-1.12,1.12,-2.14
1484,1473.0,145.0,229.0,74.0,45.0,-0.27,0.49,0.29,-1.1,1.24,-2.08
1485,1474.0,153.0,210.0,67.0,44.0,-0.16,0.54,0.22,-0.91,1.33,-1.92
1486,1475.0,149.0,211.0,72.0,43.0,-0.1,0.57,0.19,-0.94,1.34,-1.75
1487,1476.0,145.0,223.0,67.0,43.0,-0.07,0.54,0.18,-1.19,1.15,-1.63
1488,1477.0,142.0,205.0,75.0,42.0,-0.03,0.36,0.15,-1.3,0.95,-1.58
1489,1478.0,145.0,229.0,67.0,42.0,0.01,0.15,0.12,-1.04,0.92,-1.06
1490,1479.0,150.0,222.0,69.0,41.0,0.01,0.1,0.11,-0.89,0.95,-0.8
1491,1480.0,151.0,218.0,66.0,41.0,0.01,0.13,0.1,-0.89,0.76,-0.56
1492,1481.0,146.0,211.0,60.0,41.0,0.02,0.14,0.08,-1.01,0.46,-0.12
1493,1482.0,139.0,203.0,55.0,40.0,0.02,0.13,0.06,-1.03,0.41,0.01
1494,1483.0,137.0,208.0,49.0,41.0,0.03,0.04,0.02,-1.25,0.42,0.29
1495,1484.0,131.0,208.0,45.0,43.0,0.02,-0.05,-0.01,-1.42,0.53,0.59
1496,1485.0,138.0,220.0,44.0,42.0,0.0,-0.1,-0.03,-1.42,0.61,0.93
1497,1486.0,137.0,202.0,57.0,42.0,-0.06,-0.14,-0.08,-1.64,0.79,1.33
1498,1487.0,132.0,204.0,62.0,41.0,-0.18,-0.2,-0.17,-2.02,0.86,1.51
1499,1488.0,128.0,210.0,56.0,41.0,-0.26,-0.26,-0.23,-2.2,0.82,1.53
1500,1489.0,125.0,206.0,53.0,40.0,-0.4,-0.44,-0.34,-2.32,0.79,1.36
1501,1490.0,132.0,202.0,49.0,41.0,-0.52,-0.68,-0.44,-2.35,0.9,1.07
1502,1491.0,134.0,202.0,47.0,41.0,-0.57,-0.79,-0.5,-2.31,0.9,1.01
1503,1492.0,141.0,205.0,56.0,40.0,-0.65,-0.93,-0.61,-1.83,0.65,0.74
1504,1493.0,153.0,196.0,54.0,43.0,-0.71,-0.87,-0.76,-1.71,0.64,0.64
1505,1494.0,150.0,197.0,52.0,42.0,-0.74,-0.8,-0.85,-1.81,0.73,0.58
1506,1495.0,153.0,209.0,54.0,41.0,-0.78,-0.7,-1.0,-1.43,0.82,0.33
1507,1496.0,158.0,192.0,60.0,41.0,-0.83,-0.69,-1.11,-1.19,0.62,0.11
1508,1497.0,155.0,195.0,65.0,41.0,-0.83,-0.7,-1.15,-0.7,0.66,-0.26
1509,1498.0,161.0,213.0,59.0,41.0,-0.8,-0.7,-1.19,-0.21,0.55,-0.53
1510,1499.0,167.0,206.0,56.0,41.0,-0.74,-0.57,-1.18,0.44,0.34,-0.62
1511,1500.0,172.0,198.0,53.0,44.0,-0.71,-0.47,-1.17,0.31,0.52,-0.65
1512,1501.0,175.0,207.0,75.0,44.0,-0.66,-0.29,-1.14,0.32,0.16,-0.9
1513,1502.0,180.0,188.0,69.0,43.0,-0.58,-0.29,-1.09,0.71,0.2,-0.81
1514,1503.0,182.0,189.0,63.0,43.0,-0.57,-0.3,-1.07,0.93,0.19,-0.78
1515,1504.0,185.0,195.0,84.0,42.0,-0.52,-0.22,-0.99,1.3,0.14,-0.79
1516,1505.0,206.0,184.0,78.0,42.0,-0.46,-0.16,-0.9,1.18,0.17,-0.93
1517,1506.0,210.0,175.0,71.0,41.0,-0.43,-0.17,-0.83,1.41,-0.02,-1.07
1518,1507.0,209.0,203.0,74.0,41.0,-0.37,-0.15,-0.69,1.39,-0.31,-0.9
1519,1508.0,204.0,215.0,66.0,41.0,-0.3,-0.09,-0.57,1.61,-0.29,-1.0
1520,1509.0,208.0,193.0,77.0,40.0,-0.26,-0.06,-0.51,1.27,0.0,-1.01
1521,1510.0,200.0,205.0,70.0,41.0,-0.17,-0.04,-0.4,1.17,0.11,-1.01
1522,1511.0,188.0,203.0,76.0,41.0,-0.13,-0.01,-0.3,0.84,-0.17,-0.87
