,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
987,981.0,154.0,105.0,35.0,51.0,-0.01,-0.04,-0.02,0.15,0.0,-0.02
988,982.0,154.0,101.0,36.0,50.0,0.0,0.02,-0.04,0.07,-0.01,0.12
989,983.0,148.0,101.0,36.0,51.0,-0.01,0.02,-0.05,0.01,-0.03,0.0
990,984.0,138.0,97.0,37.0,51.0,0.01,0.05,-0.05,0.0,0.0,-0.01
991,985.0,141.0,95.0,38.0,52.0,0.03,0.03,-0.06,0.03,-0.01,0.0
992,986.0,144.0,98.0,38.0,51.0,0.03,0.04,-0.07,-0.03,-0.07,0.08
993,987.0,143.0,96.0,40.0,49.0,0.06,0.03,-0.12,0.05,-0.11,0.14
994,988.0,136.0,100.0,39.0,50.0,0.1,0.04,-0.19,0.19,-0.12,0.04
995,989.0,133.0,101.0,39.0,50.0,0.13,0.05,-0.26,0.34,-0.18,0.02
996,990.0,126.0,98.0,40.0,49.0,0.17,-0.02,-0.32,-0.08,-0.17,0.27
997,991.0,139.0,99.0,43.0,48.0,0.18,-0.27,-0.39,-0.09,0.05,0.32
998,992.0,133.0,110.0,44.0,48.0,0.14,-0.33,-0.38,-0.03,0.07,0.34
999,993.0,124.0,124.0,46.0,49.0,0.09,-0.39,-0.31,0.43,0.12,-0.07
1000,994.0,142.0,126.0,59.0,48.0,0.06,-0.49,-0.25,0.5,0.02,-0.06
1001,995.0,137.0,117.0,65.0,49.0,0.05,-0.5,-0.22,0.98,-0.25,0.3
1002,996.0,130.0,129.0,59.0,48.0,0.05,-0.43,-0.2,1.31,-0.28,0.58
1003,997.0,123.0,127.0,56.0,51.0,0.01,-0.27,-0.17,1.44,-0.47,0.54
1004,998.0,117.0,128.0,58.0,53.0,-0.01,-0.12,-0.14,1.24,-0.5,0.36
1005,999.0,124.0,153.0,58.0,50.0,-0.06,0.09,-0.06,1.44,-0.37,0.32
1006,1000.0,128.0,166.0,56.0,50.0,-0.08,0.15,0.04,1.62,-0.48,0.41
1007,1001.0,134.0,156.0,64.0,49.0,-0.11,0.15,0.11,2.16,-0.44,0.5
1008,1002.0,137.0,151.0,61.0,48.0,-0.15,0.23,0.25,2.29,-0.28,0.52
1009,1003.0,134.0,143.0,59.0,48.0,-0.2,0.25,0.4,2.45,-0.27,0.63
1010,1004.0,133.0,155.0,58.0,49.0,-0.22,0.25,0.48,2.56,-0.17,0.63
1011,1005.0,136.0,149.0,57.0,49.0,-0.25,0.24,0.66,1.92,-0.13,0.34
1012,1006.0,128.0,154.0,58.0,48.0,-0.28,0.12,0.81,1.82,-0.1,0.4
1013,1007.0,127.0,142.0,54.0,48.0,-0.28,0.1,0.86,1.71,-0.21,0.41
1014,1008.0,131.0,151.0,52.0,47.0,-0.26,0.18,0.91,1.64,-0.05,0.27
1015,1009.0,139.0,141.0,53.0,51.0,-0.28,0.33,0.94,0.98,0.01,0.21
1016,1010.0,137.0,154.0,54.0,51.0,-0.26,0.37,0.94,0.95,0.08,0.09
1017,1011.0,129.0,153.0,49.0,50.0,-0.26,0.42,0.94,0.67,0.1,0.09
1018,1012.0,133.0,163.0,46.0,49.0,-0.26,0.44,0.93,-0.03,0.18,0.03
1019,1013.0,146.0,162.0,44.0,50.0,-0.26,0.43,0.91,-0.21,0.31,0.0
1020,1014.0,146.0,150.0,43.0,50.0,-0.26,0.38,0.89,-0.55,0.27,-0.29
1021,1015.0,146.0,148.0,45.0,49.0,-0.27,0.33,0.84,-0.64,0.36,-0.26
1022,1016.0,141.0,163.0,43.0,49.0,-0.27,0.32,0.82,-0.83,0.36,-0.22
1023,1017.0,142.0,181.0,48.0,48.0,-0.26,0.3,0.78,-0.8,0.47,-0.17
1024,1018.0,144.0,185.0,44.0,48.0,-0.25,0.32,0.75,-0.66,0.53,-0.29
1025,1019.0,150.0,190.0,43.0,47.0,-0.25,0.33,0.74,-0.76,0.56,-0.2
1026,1020.0,149.0,189.0,43.0,50.0,-0.25,0.3,0.71,-0.84,0.55,-0.29
1027,1021.0,147.0,191.0,41.0,48.0,-0.26,0.24,0.67,-1.13,0.63,-0.39
1028,1022.0,152.0,206.0,41.0,47.0,-0.25,0.19,0.67,-1.09,0.64,-0.36
1029,1023.0,152.0,212.0,47.0,48.0,-0.23,0.15,0.65,-0.7,0.42,-0.35
1030,1024.0,160.0,224.0,47.0,48.0,-0.23,0.2,0.61,-0.56,0.39,-0.31
1031,1025.0,162.0,212.0,52.0,48.0,-0.21,0.25,0.58,-0.7,0.44,-0.16
1032,1026.0,165.0,199.0,49.0,46.0,-0.18,0.29,0.54,-0.98,0.56,-0.28
1033,1027.0,158.0,201.0,45.0,47.0,-0.19,0.26,0.5,-1.55,0.54,-0.33
1034,1028.0,178.0,213.0,44.0,47.0,-0.19,0.23,0.47,-1.69,0.46,-0.33
1035,1029.0,175.0,220.0,43.0,46.0,-0.17,0.16,0.41,-1.56,0.32,-0.35
1036,1030.0,165.0,208.0,60.0,46.0,-0.16,0.18,0.31,-1.39,0.4,-0.34
1037,1031.0,161.0,193.0,66.0,46.0,-0.16,0.22,0.24,-1.54,0.52,-0.27
1038,1032.0,159.0,190.0,67.0,46.0,-0.16,0.25,0.13,-1.88,0.71,-0.31
1039,1033.0,165.0,196.0,70.0,45.0,-0.16,0.15,0.08,-1.84,0.52,-0.51
1040,1034.0,163.0,228.0,83.0,48.0,-0.15,0.07,0.06,-1.61,0.38,-0.45
1041,1035.0,166.0,216.0,133.0,45.0,-0.12,0.03,0.01,-0.92,0.43,-0.48
