,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
3348,3324.0,28.0,60.0,51.0,82.0,0.02,0.0,0.0,0.07,0.1,-0.02
3349,3325.0,27.0,58.0,49.0,79.0,0.01,0.0,0.0,-0.04,0.1,-0.07
3350,3326.0,26.0,60.0,47.0,81.0,0.01,0.01,0.01,-0.04,0.05,-0.14
3351,3327.0,26.0,57.0,47.0,81.0,0.01,0.0,0.0,-0.02,0.03,-0.12
3352,3328.0,36.0,60.0,64.0,79.0,0.0,0.0,-0.0,-0.09,0.09,-0.1
3353,3329.0,33.0,60.0,69.0,78.0,0.01,-0.0,0.0,0.02,0.05,-0.1
3354,3330.0,31.0,58.0,63.0,77.0,0.01,-0.01,0.0,0.01,0.1,-0.01
3355,3331.0,29.0,60.0,57.0,75.0,0.01,-0.01,0.01,-0.03,0.09,-0.02
3356,3332.0,28.0,59.0,54.0,76.0,0.0,-0.0,0.0,-0.02,0.13,-0.15
3357,3333.0,27.0,53.0,51.0,75.0,0.0,0.0,-0.0,-0.03,0.12,-0.12
3358,3334.0,27.0,58.0,48.0,74.0,0.0,-0.01,-0.0,-0.03,0.08,-0.08
3359,3335.0,26.0,58.0,50.0,74.0,-0.0,-0.0,-0.0,-0.08,0.09,-0.1
3360,3336.0,25.0,59.0,48.0,85.0,-0.0,-0.02,-0.0,-0.04,0.14,-0.09
3361,3337.0,25.0,59.0,46.0,112.0,-0.01,-0.0,-0.01,-0.07,0.12,-0.08
3362,3338.0,25.0,58.0,45.0,120.0,-0.01,-0.01,-0.01,-0.2,0.16,-0.07
3363,3339.0,24.0,64.0,44.0,147.0,-0.01,-0.02,-0.01,-0.4,0.13,-0.06
3364,3340.0,24.0,62.0,42.0,139.0,-0.0,0.07,0.02,-0.37,0.08,0.12
3365,3341.0,24.0,64.0,44.0,145.0,0.09,0.3,0.12,-1.36,0.09,1.04
3366,3342.0,24.0,65.0,46.0,131.0,0.15,0.41,0.19,-2.06,-0.09,0.99
3367,3343.0,24.0,69.0,102.0,125.0,0.39,0.53,0.3,-1.98,0.03,0.74
3368,3344.0,33.0,66.0,157.0,122.0,0.53,0.8,0.4,-3.83,-0.51,1.58
3369,3345.0,70.0,65.0,197.0,113.0,0.69,0.69,0.43,-0.72,0.9,2.45
3370,3346.0,65.0,68.0,218.0,110.0,0.91,0.15,0.86,-2.37,1.28,2.93
3371,3347.0,85.0,67.0,190.0,115.0,0.99,-0.23,1.17,-1.8,1.98,2.43
3372,3348.0,123.0,67.0,178.0,117.0,0.98,-0.28,1.29,-0.71,2.51,1.53
3373,3349.0,133.0,69.0,173.0,119.0,0.91,-0.2,1.45,0.08,3.0,1.04
3374,3350.0,131.0,71.0,217.0,115.0,0.67,0.09,1.47,0.02,2.7,-0.07
3375,3351.0,144.0,72.0,249.0,107.0,0.54,0.1,1.48,0.75,2.42,-0.62
3376,3352.0,140.0,79.0,238.0,108.0,0.43,-0.06,1.36,1.13,2.47,-1.08
3377,3353.0,131.0,80.0,216.0,112.0,0.29,-0.25,1.14,2.75,2.43,-1.25
3378,3354.0,174.0,84.0,219.0,111.0,0.23,-0.32,0.99,4.32,2.41,-0.8
3379,3355.0,192.0,85.0,203.0,119.0,0.11,-0.28,0.55,4.78,2.06,-0.26
3380,3356.0,185.0,85.0,201.0,127.0,0.03,-0.02,0.03,4.93,1.54,-0.24
3381,3357.0,166.0,85.0,223.0,147.0,-0.01,0.25,-0.22,4.02,0.09,-0.31
3382,3358.0,165.0,87.0,201.0,150.0,-0.09,0.96,-0.67,3.03,-0.19,-0.97
3383,3359.0,141.0,87.0,184.0,153.0,-0.15,1.12,-1.0,1.08,-1.24,-1.83
3384,3360.0,124.0,83.0,271.0,165.0,-0.18,0.85,-1.09,-1.37,-2.92,-1.84
3385,3361.0,106.0,82.0,284.0,176.0,-0.23,0.08,-1.15,-1.69,-3.28,-1.89
3386,3362.0,94.0,82.0,260.0,192.0,-0.28,-0.25,-0.99,-2.63,-4.62,-1.35
3387,3363.0,78.0,83.0,221.0,187.0,-0.27,-0.2,-0.81,-2.96,-4.53,-1.26
3388,3364.0,101.0,84.0,181.0,183.0,-0.27,0.0,-0.34,-2.69,-3.53,-1.68
3389,3365.0,99.0,80.0,182.0,173.0,-0.29,0.03,0.08,-1.66,-2.29,-1.98
3390,3366.0,100.0,78.0,188.0,162.0,-0.29,-0.02,0.2,0.43,-1.03,-1.08
3391,3367.0,107.0,78.0,217.0,148.0,-0.28,-0.21,0.26,0.92,-0.67,-0.94
3392,3368.0,100.0,77.0,189.0,138.0,-0.25,-0.27,0.15,1.48,-0.28,-0.54
3393,3369.0,95.0,72.0,163.0,137.0,-0.23,-0.24,0.07,1.73,-0.12,-0.5
3394,3370.0,84.0,68.0,149.0,132.0,-0.19,-0.16,-0.08,1.39,-0.17,-0.46
3395,3371.0,73.0,67.0,128.0,138.0,-0.17,-0.11,-0.17,0.72,-0.41,-0.4
3396,3372.0,72.0,69.0,123.0,130.0,-0.16,-0.08,-0.2,0.41,-0.42,-0.3
3397,3373.0,77.0,68.0,156.0,123.0,-0.15,0.02,-0.22,0.14,-0.45,-0.32
3398,3374.0,77.0,71.0,154.0,114.0,-0.14,0.07,-0.2,-0.12,-0.51,-0.06
