,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
8365,8305.0,36.0,58.0,52.0,81.0,0.01,-0.01,-0.02,0.0,0.07,-0.09
8366,8306.0,34.0,57.0,50.0,82.0,0.01,-0.01,-0.02,0.04,0.06,-0.07
8367,8307.0,32.0,56.0,49.0,79.0,0.01,-0.01,-0.02,-0.1,0.01,-0.1
8368,8308.0,30.0,56.0,48.0,79.0,0.0,-0.02,-0.03,0.0,0.04,-0.09
8369,8309.0,37.0,54.0,46.0,79.0,-0.0,-0.03,-0.02,0.04,0.08,-0.09
8370,8310.0,40.0,54.0,45.0,76.0,-0.0,-0.03,-0.02,-0.02,0.03,-0.06
8371,8311.0,37.0,52.0,45.0,74.0,-0.01,-0.02,-0.01,0.12,0.0,-0.15
8372,8312.0,34.0,74.0,46.0,74.0,-0.02,-0.01,-0.0,-0.29,-0.07,-0.01
8373,8313.0,32.0,57.0,46.0,73.0,-0.01,-0.04,-0.02,-0.02,0.06,-0.06
8374,8314.0,32.0,55.0,44.0,72.0,-0.01,-0.06,-0.02,-0.04,0.08,-0.07
8375,8315.0,31.0,54.0,43.0,70.0,-0.02,-0.05,-0.02,-0.02,0.1,-0.08
8376,8316.0,28.0,53.0,43.0,72.0,-0.02,-0.05,-0.03,-0.01,0.18,-0.03
8377,8317.0,27.0,59.0,42.0,73.0,-0.02,-0.05,-0.04,0.01,0.15,0.0
8378,8318.0,27.0,52.0,43.0,77.0,-0.02,-0.01,-0.05,0.12,0.33,0.02
8379,8319.0,42.0,52.0,42.0,79.0,-0.03,0.04,-0.05,0.09,0.39,0.0
8380,8320.0,40.0,51.0,41.0,88.0,-0.04,0.17,-0.07,-0.15,0.57,0.03
8381,8321.0,40.0,51.0,41.0,104.0,-0.08,0.28,-0.08,-0.39,0.85,0.34
8382,8322.0,37.0,51.0,50.0,117.0,-0.09,0.32,-0.08,-0.56,1.04,0.53
8383,8323.0,34.0,52.0,47.0,116.0,-0.13,0.38,-0.08,-0.76,0.69,1.01
8384,8324.0,43.0,52.0,47.0,116.0,-0.14,0.6,-0.05,-0.74,0.28,0.68
8385,8325.0,40.0,51.0,44.0,112.0,-0.16,0.63,-0.07,-0.38,-0.08,0.22
8386,8326.0,36.0,51.0,53.0,106.0,-0.16,0.57,-0.03,-0.29,-0.21,-0.38
8387,8327.0,35.0,50.0,57.0,102.0,-0.18,0.6,0.15,-1.01,-0.59,-0.73
8388,8328.0,34.0,55.0,71.0,98.0,-0.16,0.68,0.26,-0.71,0.02,-0.76
8389,8329.0,31.0,51.0,103.0,97.0,-0.12,1.25,0.61,-1.4,-0.57,-0.41
8390,8330.0,29.0,51.0,122.0,101.0,-0.1,1.91,0.9,-1.18,0.2,-0.05
8391,8331.0,28.0,54.0,132.0,109.0,-0.11,2.18,1.08,-1.35,0.21,0.03
8392,8332.0,30.0,54.0,167.0,105.0,-0.16,2.49,1.39,-1.81,0.44,-0.04
8393,8333.0,39.0,54.0,174.0,105.0,-0.25,2.55,1.69,-2.13,0.76,-0.73
8394,8334.0,50.0,60.0,305.0,110.0,-0.32,2.56,1.83,-1.49,1.05,-1.47
8395,8335.0,65.0,64.0,537.0,114.0,-0.6,2.59,2.04,-0.83,0.99,-1.5
8396,8336.0,102.0,70.0,709.0,117.0,-0.98,2.47,2.29,0.0,0.72,-0.99
8397,8337.0,119.0,71.0,749.0,113.0,-1.11,2.43,2.42,-0.01,0.81,-0.69
8398,8338.0,114.0,74.0,691.0,114.0,-1.23,2.69,2.56,-1.33,1.15,-0.73
8399,8339.0,97.0,80.0,626.0,112.0,-1.75,2.85,2.94,-1.25,1.76,-2.72
8400,8340.0,97.0,82.0,612.0,112.0,-1.75,2.85,2.94,-1.12,1.44,-3.08
8401,8341.0,104.0,87.0,638.0,116.0,-2.26,2.76,2.97,-1.63,-0.06,-1.62
8402,8342.0,97.0,91.0,714.0,117.0,-2.24,1.72,2.44,-0.9,-1.28,0.36
8403,8343.0,132.0,89.0,726.0,124.0,-2.24,1.72,2.44,-0.49,-1.65,1.14
8404,8344.0,130.0,89.0,615.0,120.0,-1.8,0.9,1.85,2.33,-2.08,2.24
8405,8345.0,112.0,86.0,597.0,117.0,-1.12,0.56,1.24,2.99,-1.97,2.0
8406,8346.0,105.0,86.0,549.0,112.0,-1.12,0.56,1.24,2.94,-1.79,1.79
8407,8347.0,91.0,80.0,504.0,113.0,-0.66,0.83,0.82,1.95,-1.72,1.21
8408,8348.0,97.0,78.0,562.0,113.0,-0.49,0.71,0.59,0.58,-1.58,0.89
8409,8349.0,81.0,78.0,532.0,107.0,-0.41,0.58,0.52,0.5,-1.48,0.8
8410,8350.0,77.0,73.0,535.0,107.0,-0.31,0.38,0.37,0.82,-1.12,0.47
8411,8351.0,72.0,71.0,531.0,107.0,-0.26,0.27,0.26,1.06,-1.04,0.21
8412,8352.0,61.0,69.0,532.0,104.0,-0.22,0.24,0.2,0.91,-0.98,0.15
8413,8353.0,59.0,67.0,506.0,103.0,-0.14,0.16,0.09,0.86,-0.73,0.04
8414,8354.0,60.0,67.0,462.0,101.0,-0.07,0.09,-0.01,0.85,-0.51,0.05
8415,8355.0,64.0,65.0,427.0,97.0,-0.05,0.07,-0.05,0.74,-0.4,0.07
8416,8356.0,57.0,69.0,385.0,95.0,-0.01,0.03,-0.12,0.6,-0.31,0.01
8417,8357.0,67.0,61.0,356.0,93.0,0.04,0.0,-0.18,0.53,-0.2,-0.14
8418,8358.0,63.0,66.0,333.0,93.0,0.07,0.02,-0.2,0.45,0.2,-0.16
8419,8359.0,66.0,65.0,319.0,92.0,0.11,0.05,-0.2,0.46,0.06,-0.06
8420,8360.0,69.0,65.0,306.0,91.0,0.13,0.1,-0.18,0.15,0.18,0.02
8421,8361.0,69.0,64.0,274.0,92.0,0.12,0.09,-0.17,0.03,0.21,-0.01
8422,8362.0,73.0,63.0,321.0,95.0,0.12,0.04,-0.15,-0.02,0.2,-0.06
8423,8363.0,73.0,65.0,307.0,94.0,0.13,-0.0,-0.15,-0.01,0.19,-0.07
8424,8364.0,73.0,66.0,289.0,99.0,0.13,-0.03,-0.15,0.06,0.19,-0.11
8425,8365.0,75.0,66.0,258.0,97.0,0.14,-0.07,-0.16,0.33,0.26,-0.07
8426,8366.0,75.0,66.0,257.0,93.0,0.14,-0.04,-0.16,0.44,0.3,-0.01
8427,8367.0,63.0,66.0,223.0,90.0,0.13,0.0,-0.15,0.31,0.24,-0.05
8428,8368.0,64.0,65.0,207.0,89.0,0.12,0.01,-0.14,0.02,0.21,-0.02
8429,8369.0,65.0,64.0,184.0,91.0,0.11,-0.05,-0.14,-0.22,0.09,-0.15
8430,8370.0,75.0,66.0,156.0,89.0,0.12,-0.08,-0.16,-0.15,0.03,-0.21
8431,8371.0,80.0,68.0,177.0,91.0,0.16,-0.14,-0.19,0.41,0.05,-0.15
8432,8372.0,81.0,68.0,188.0,94.0,0.19,-0.08,-0.19,0.86,0.13,-0.1
