,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
4479,4441.0,33.0,54.0,40.0,87.0,-0.03,-0.03,0.0,-0.04,0.05,-0.07
4480,4442.0,34.0,55.0,40.0,88.0,-0.03,-0.03,0.01,-0.02,0.09,-0.04
4481,4443.0,33.0,52.0,40.0,90.0,-0.04,-0.0,-0.0,0.04,0.17,-0.03
4482,4444.0,34.0,52.0,40.0,90.0,-0.04,0.02,-0.01,0.02,0.16,-0.07
4483,4445.0,37.0,53.0,40.0,92.0,-0.05,0.03,-0.01,0.02,0.04,-0.04
4484,4446.0,37.0,56.0,40.0,89.0,-0.05,0.02,0.0,0.04,0.07,-0.03
4485,4447.0,39.0,55.0,41.0,92.0,-0.05,0.02,0.03,0.12,-0.01,-0.07
4486,4448.0,37.0,54.0,40.0,92.0,-0.05,0.01,0.05,0.02,-0.06,-0.08
4487,4449.0,38.0,53.0,39.0,90.0,-0.04,0.02,0.08,0.03,-0.04,-0.13
4488,4450.0,37.0,56.0,45.0,93.0,-0.03,0.06,0.09,-0.02,0.0,-0.1
4489,4451.0,34.0,52.0,44.0,94.0,-0.02,0.07,0.09,-0.05,0.0,-0.1
4490,4452.0,32.0,53.0,44.0,95.0,-0.02,0.09,0.09,-0.02,0.1,-0.12
4491,4453.0,31.0,52.0,42.0,99.0,-0.03,0.07,0.09,-0.1,0.08,-0.11
4492,4454.0,30.0,52.0,47.0,111.0,-0.03,0.06,0.09,-0.16,0.13,-0.16
4493,4455.0,27.0,53.0,51.0,125.0,-0.06,0.04,0.07,-0.33,0.24,-0.1
4494,4456.0,26.0,53.0,49.0,143.0,-0.1,0.03,0.06,-0.63,0.55,-0.1
4495,4457.0,26.0,55.0,46.0,144.0,-0.14,0.03,0.06,-0.76,0.76,0.03
4496,4458.0,25.0,56.0,45.0,151.0,-0.24,0.02,0.08,-0.78,0.84,0.16
4497,4459.0,25.0,55.0,49.0,144.0,-0.33,0.05,0.16,-0.39,0.74,1.2
4498,4460.0,25.0,55.0,46.0,148.0,-0.32,0.16,0.19,-0.14,0.5,1.63
4499,4461.0,23.0,57.0,45.0,146.0,-0.21,0.69,0.27,0.22,0.45,2.0
4500,4462.0,24.0,62.0,43.0,144.0,-0.1,1.6,0.41,1.14,0.58,1.84
4501,4463.0,24.0,65.0,57.0,147.0,-0.03,2.56,0.58,-0.46,0.78,0.88
4502,4464.0,24.0,74.0,75.0,151.0,0.13,3.7,0.81,-0.8,1.01,0.84
