,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
1896,1881.0,95.0,59.0,59.0,71.0,-0.01,0.02,-0.0,0.03,-0.03,-0.01
1897,1882.0,83.0,56.0,56.0,69.0,-0.01,0.02,-0.0,0.04,-0.01,-0.03
1898,1883.0,83.0,58.0,52.0,69.0,-0.0,0.01,-0.0,0.0,-0.01,-0.02
1899,1884.0,89.0,57.0,53.0,68.0,-0.01,0.0,-0.0,0.06,0.01,0.02
1900,1885.0,85.0,60.0,57.0,69.0,-0.01,-0.01,-0.0,0.06,0.02,0.03
1901,1886.0,79.0,61.0,64.0,67.0,-0.0,-0.01,0.0,0.09,0.01,0.06
1902,1887.0,87.0,59.0,59.0,69.0,0.0,-0.01,-0.0,0.12,0.01,0.12
1903,1888.0,91.0,60.0,56.0,68.0,0.01,-0.0,0.0,0.13,0.01,0.06
1904,1889.0,77.0,60.0,53.0,68.0,0.0,0.03,0.0,0.03,0.02,0.03
1905,1890.0,78.0,58.0,51.0,68.0,0.0,0.03,0.0,0.04,0.02,0.09
1906,1891.0,73.0,60.0,48.0,68.0,-0.01,0.01,-0.01,0.07,0.04,0.12
1907,1892.0,70.0,57.0,47.0,68.0,-0.02,0.02,-0.0,0.04,0.06,0.11
1908,1893.0,68.0,57.0,44.0,69.0,-0.03,0.04,-0.0,0.04,0.09,0.15
1909,1894.0,72.0,56.0,44.0,70.0,-0.04,0.07,-0.01,-0.04,0.23,0.41
1910,1895.0,72.0,55.0,42.0,78.0,-0.07,0.2,-0.01,-0.02,0.52,0.86
1911,1896.0,75.0,54.0,43.0,89.0,-0.08,0.25,-0.01,0.0,0.98,1.83
1912,1897.0,78.0,55.0,41.0,88.0,-0.09,0.39,-0.05,-0.08,1.02,2.18
1913,1898.0,80.0,55.0,37.0,94.0,-0.1,0.69,-0.11,0.17,1.1,2.73
1914,1899.0,79.0,54.0,41.0,100.0,-0.08,0.86,-0.16,-0.03,1.05,3.43
1915,1900.0,81.0,59.0,40.0,113.0,0.05,1.2,-0.21,0.12,1.14,3.64
