,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
4503,4467.0,26.0,53.0,47.0,73.0,-0.0,-0.01,0.0,-0.09,0.17,0.0
4504,4468.0,29.0,52.0,48.0,72.0,-0.0,-0.01,-0.0,-0.11,0.12,-0.04
4505,4469.0,29.0,52.0,52.0,71.0,-0.01,0.0,-0.01,-0.05,0.11,-0.03
4506,4470.0,28.0,52.0,51.0,71.0,0.0,0.01,-0.01,-0.12,0.1,0.0
4507,4471.0,28.0,51.0,50.0,71.0,0.01,0.01,-0.01,-0.11,0.08,-0.04
4508,4472.0,27.0,52.0,49.0,70.0,0.01,0.01,-0.01,-0.12,0.09,-0.06
4509,4473.0,27.0,52.0,49.0,70.0,0.01,0.0,-0.0,-0.12,0.15,-0.03
4510,4474.0,29.0,51.0,46.0,70.0,-0.0,-0.0,0.0,-0.07,0.11,-0.02
4511,4475.0,28.0,51.0,47.0,70.0,-0.0,0.0,0.0,-0.11,0.08,-0.01
4512,4476.0,29.0,51.0,47.0,70.0,-0.0,0.0,0.0,-0.09,0.11,-0.04
4513,4477.0,28.0,52.0,46.0,70.0,-0.0,0.01,-0.0,-0.13,0.08,0.0
4514,4478.0,33.0,50.0,45.0,74.0,0.0,0.0,-0.0,-0.08,0.13,-0.01
4515,4479.0,31.0,52.0,48.0,70.0,0.0,0.0,-0.0,-0.08,0.11,-0.01
4516,4480.0,29.0,52.0,45.0,69.0,0.0,0.0,0.0,-0.07,0.14,-0.03
4517,4481.0,30.0,54.0,45.0,72.0,0.01,0.02,0.0,-0.09,0.12,-0.01
4518,4482.0,28.0,56.0,44.0,71.0,0.02,0.03,0.0,-0.09,0.11,-0.02
4519,4483.0,36.0,58.0,45.0,72.0,0.01,0.04,-0.0,-0.1,0.17,-0.04
4520,4484.0,34.0,57.0,46.0,72.0,0.01,0.04,-0.0,-0.12,0.22,-0.1
4521,4485.0,32.0,58.0,45.0,72.0,0.0,0.03,-0.02,-0.17,0.26,-0.22
4522,4486.0,33.0,56.0,45.0,71.0,-0.01,0.02,-0.03,-0.09,0.36,-0.18
4523,4487.0,31.0,56.0,49.0,78.0,-0.03,0.03,-0.06,-0.12,0.39,-0.14
4524,4488.0,33.0,55.0,63.0,110.0,-0.07,0.03,-0.08,-0.01,0.48,0.1
4525,4489.0,31.0,59.0,108.0,158.0,-0.09,0.07,-0.09,-0.39,0.49,0.73
4526,4490.0,29.0,57.0,129.0,175.0,-0.1,0.36,-0.1,-0.73,0.39,0.98
4527,4491.0,28.0,60.0,147.0,231.0,-0.07,0.77,-0.1,-2.11,0.45,1.31
4528,4492.0,28.0,63.0,173.0,271.0,-0.08,0.99,-0.07,-2.08,0.6,2.15
4529,4493.0,35.0,58.0,218.0,256.0,-0.09,1.59,0.06,-1.89,0.24,3.19
4530,4494.0,31.0,71.0,238.0,298.0,0.22,2.42,0.63,-7.86,-2.55,2.82
4531,4495.0,29.0,80.0,221.0,309.0,0.45,2.65,1.13,-9.57,-2.68,3.11
4532,4496.0,34.0,82.0,228.0,315.0,0.72,2.86,2.54,-10.58,-1.71,2.73
4533,4497.0,80.0,77.0,200.0,288.0,0.74,2.54,3.63,-9.32,-1.64,1.65
4534,4498.0,135.0,77.0,173.0,255.0,0.71,2.4,4.0,-7.78,-1.52,1.13
4535,4499.0,184.0,79.0,180.0,242.0,0.49,2.53,4.5,-5.15,-0.78,-0.18
4536,4500.0,211.0,84.0,166.0,209.0,0.09,2.57,4.99,-2.55,-1.38,-0.5
4537,4501.0,266.0,80.0,191.0,179.0,-0.1,2.56,5.14,-0.75,-1.49,-0.71
4538,4502.0,285.0,76.0,194.0,159.0,-0.35,2.42,5.34,0.32,-2.25,-0.58
4539,4503.0,307.0,73.0,216.0,151.0,-0.52,2.24,5.34,1.69,-2.96,-0.93
4540,4504.0,318.0,69.0,238.0,133.0,-0.63,2.17,5.29,2.07,-3.23,-1.05
4541,4505.0,324.0,71.0,260.0,124.0,-0.72,2.12,4.98,2.61,-3.67,-1.42
4542,4506.0,311.0,70.0,290.0,119.0,-0.87,2.2,4.55,3.52,-3.62,-1.0
4543,4507.0,306.0,69.0,258.0,122.0,-0.96,2.21,4.32,3.48,-4.08,-0.78
4544,4508.0,277.0,69.0,240.0,121.0,-1.01,2.0,3.79,4.22,-4.54,0.0
4545,4509.0,266.0,70.0,215.0,123.0,-1.05,1.73,3.33,4.23,-4.98,0.32
4546,4510.0,234.0,73.0,215.0,121.0,-1.03,1.57,3.1,4.85,-5.22,0.48
4547,4511.0,213.0,72.0,210.0,116.0,-0.98,1.42,2.67,4.77,-5.49,0.22
4548,4512.0,186.0,72.0,235.0,111.0,-0.9,1.38,2.17,5.09,-5.81,-0.15
4549,4513.0,155.0,76.0,219.0,114.0,-0.83,1.38,1.9,4.7,-6.05,-0.11
4550,4514.0,135.0,69.0,230.0,124.0,-0.67,1.34,1.38,4.58,-6.44,0.12
4551,4515.0,116.0,72.0,226.0,133.0,-0.47,1.27,0.93,3.77,-6.41,0.27
4552,4516.0,99.0,75.0,200.0,132.0,-0.38,1.27,0.67,3.27,-6.39,0.31
4553,4517.0,84.0,74.0,181.0,149.0,-0.17,1.2,0.28,1.52,-5.38,-0.06
4554,4518.0,86.0,74.0,211.0,147.0,0.07,0.95,0.11,0.69,-4.12,-0.38
4555,4519.0,90.0,75.0,236.0,142.0,0.15,0.81,0.08,0.48,-3.89,-0.64
4556,4520.0,83.0,76.0,252.0,137.0,0.37,0.65,-0.03,0.04,-2.91,-0.5
4557,4521.0,89.0,76.0,264.0,135.0,0.59,0.6,-0.06,0.23,-0.3,-0.25
4558,4522.0,102.0,72.0,247.0,173.0,0.67,0.6,-0.08,0.11,0.28,-0.33
4559,4523.0,137.0,80.0,294.0,204.0,0.82,0.61,-0.12,0.45,1.24,0.0
4560,4524.0,162.0,77.0,329.0,232.0,0.98,0.79,-0.16,1.01,3.54,0.24
4561,4525.0,209.0,74.0,361.0,226.0,1.03,0.96,-0.17,1.02,4.26,0.27
4562,4526.0,257.0,79.0,393.0,235.0,0.99,1.21,-0.19,-0.21,5.53,0.82
4563,4527.0,320.0,76.0,353.0,209.0,0.82,1.04,-0.21,-1.38,6.16,1.29
4564,4528.0,383.0,75.0,312.0,188.0,0.64,0.78,-0.15,-1.48,5.91,1.37
4565,4529.0,451.0,74.0,315.0,174.0,0.34,0.26,-0.09,-1.74,5.68,1.91
4566,4530.0,513.0,71.0,292.0,154.0,0.09,-0.08,0.03,-1.41,5.85,1.87
4567,4531.0,579.0,72.0,296.0,138.0,-0.03,-0.17,0.1,-1.05,5.51,1.91
4568,4532.0,632.0,72.0,287.0,140.0,-0.23,-0.31,0.22,-0.97,4.73,1.73
4569,4533.0,690.0,74.0,249.0,141.0,-0.31,-0.41,0.25,-0.29,3.21,1.28
4570,4534.0,746.0,77.0,205.0,152.0,-0.38,-0.54,0.26,-0.19,2.79,1.2
4571,4535.0,790.0,80.0,176.0,156.0,-0.39,-0.68,0.21,0.59,1.89,1.06
4572,4536.0,815.0,83.0,148.0,163.0,-0.37,-0.85,0.11,0.94,1.37,0.96
4573,4537.0,833.0,84.0,133.0,185.0,-0.36,-0.96,0.04,1.19,1.24,1.03
4574,4538.0,844.0,87.0,118.0,206.0,-0.32,-1.17,-0.14,1.69,0.57,1.27
4575,4539.0,841.0,90.0,102.0,236.0,-0.29,-1.28,-0.25,1.87,0.08,1.12
