,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
4951,4915.0,37.0,54.0,41.0,72.0,-0.0,-0.01,-0.02,0.0,-0.07,-0.01
4952,4916.0,34.0,55.0,43.0,72.0,0.0,-0.02,-0.02,0.0,-0.09,0.01
4953,4917.0,40.0,53.0,41.0,71.0,0.01,-0.01,-0.02,-0.02,-0.05,0.03
4954,4918.0,43.0,56.0,41.0,71.0,0.01,-0.02,-0.02,0.05,-0.07,0.08
4955,4919.0,41.0,54.0,41.0,72.0,0.01,-0.01,-0.01,0.01,-0.04,0.1
4956,4920.0,38.0,56.0,40.0,71.0,0.01,-0.01,-0.01,0.06,-0.01,0.12
4957,4921.0,41.0,59.0,38.0,72.0,0.01,-0.01,-0.01,0.03,-0.05,0.02
4958,4922.0,37.0,59.0,38.0,71.0,0.02,0.0,-0.01,0.02,-0.05,0.03
4959,4923.0,40.0,56.0,46.0,71.0,0.02,0.01,-0.01,0.0,-0.02,0.03
4960,4924.0,47.0,55.0,43.0,71.0,0.02,0.0,-0.01,0.02,0.0,0.06
4961,4925.0,41.0,53.0,40.0,72.0,0.02,0.0,-0.01,0.0,-0.04,0.07
4962,4926.0,39.0,54.0,40.0,74.0,0.01,0.0,-0.01,0.02,0.07,0.0
4963,4927.0,36.0,53.0,38.0,72.0,0.01,0.0,-0.02,-0.09,0.17,0.04
4964,4928.0,33.0,53.0,37.0,77.0,-0.01,-0.01,-0.03,-0.13,0.4,0.0
4965,4929.0,31.0,52.0,37.0,77.0,-0.05,-0.02,-0.07,-0.18,0.56,0.03
4966,4930.0,30.0,52.0,36.0,87.0,-0.07,-0.01,-0.11,-0.41,0.48,0.56
4967,4931.0,28.0,55.0,37.0,109.0,-0.11,0.04,-0.18,-0.41,0.59,0.87
4968,4932.0,27.0,57.0,40.0,134.0,-0.15,0.17,-0.19,-0.2,2.02,1.64
4969,4933.0,26.0,57.0,37.0,140.0,-0.17,0.24,-0.2,-0.8,3.81,1.17
4970,4934.0,26.0,57.0,36.0,141.0,-0.17,0.03,-0.32,-1.03,4.04,0.52
4971,4935.0,25.0,64.0,37.0,140.0,-0.27,-0.51,-0.45,-1.85,3.78,-1.14
4972,4936.0,25.0,68.0,40.0,128.0,-0.31,-1.62,-0.45,-4.85,2.54,-0.65
4973,4937.0,25.0,72.0,53.0,126.0,-0.2,-4.78,-0.42,-4.25,2.38,-0.34
4974,4938.0,25.0,77.0,73.0,126.0,0.11,-6.48,-0.23,-2.1,1.74,1.89
4975,4939.0,34.0,80.0,82.0,120.0,0.31,-6.79,-0.15,-1.66,1.27,1.94
4976,4940.0,40.0,85.0,87.0,114.0,0.66,-7.18,0.13,-2.18,1.53,1.45
4977,4941.0,50.0,84.0,117.0,114.0,0.88,-7.73,0.29,-1.76,1.65,0.73
4978,4942.0,75.0,81.0,130.0,115.0,0.98,-7.87,0.27,-0.06,1.38,0.48
4979,4943.0,73.0,86.0,143.0,122.0,1.15,-7.53,0.27,0.08,1.07,0.39
4980,4944.0,77.0,89.0,162.0,131.0,1.25,-6.62,0.28,0.46,0.88,0.25
4981,4945.0,74.0,90.0,179.0,142.0,1.28,-6.13,0.29,-0.06,0.83,0.1
4982,4946.0,91.0,97.0,199.0,153.0,1.28,-5.45,0.31,-0.57,0.75,-0.87
4983,4947.0,90.0,102.0,222.0,154.0,1.12,-4.92,0.3,0.15,0.06,-0.59
4984,4948.0,96.0,106.0,240.0,159.0,1.04,-4.52,0.33,0.37,0.1,-0.45
4985,4949.0,106.0,114.0,242.0,163.0,0.88,-3.58,0.41,0.63,-0.66,-0.86
4986,4950.0,98.0,107.0,234.0,166.0,0.68,-2.78,0.31,0.19,-1.14,-1.1
4987,4951.0,88.0,99.0,252.0,178.0,0.58,-2.52,0.23,0.42,-1.23,-1.1
4988,4952.0,101.0,94.0,238.0,185.0,0.38,-1.88,0.12,0.49,-1.47,-0.99
4989,4953.0,89.0,101.0,274.0,198.0,0.18,-1.32,0.05,-0.14,-2.21,-1.12
4990,4954.0,85.0,100.0,247.0,203.0,0.1,-1.19,0.02,-0.45,-2.68,-0.84
4991,4955.0,85.0,95.0,259.0,204.0,0.03,-1.01,-0.01,-0.57,-3.13,-0.9
4992,4956.0,79.0,94.0,250.0,193.0,0.06,-0.77,-0.02,-0.99,-2.97,-0.5
