,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
3175,3147.0,29.0,60.0,40.0,71.0,-0.04,-0.02,-0.01,0.1,0.18,-0.08
3176,3148.0,28.0,60.0,39.0,71.0,-0.04,-0.01,-0.01,0.08,0.18,-0.15
3177,3149.0,28.0,62.0,39.0,71.0,-0.04,0.0,-0.01,0.09,0.16,-0.17
3178,3150.0,27.0,61.0,40.0,71.0,-0.03,0.0,-0.01,0.0,0.11,-0.19
3179,3151.0,27.0,58.0,38.0,70.0,-0.01,-0.0,-0.01,0.03,0.08,-0.22
3180,3152.0,24.0,60.0,40.0,70.0,-0.0,-0.0,-0.01,0.05,0.07,-0.26
3181,3153.0,30.0,60.0,39.0,69.0,0.01,-0.01,-0.01,0.1,0.02,-0.28
3182,3154.0,33.0,59.0,39.0,75.0,0.0,-0.0,0.01,0.04,0.0,-0.28
3183,3155.0,46.0,59.0,44.0,74.0,0.0,-0.01,0.02,-0.05,-0.06,-0.06
3184,3156.0,41.0,60.0,43.0,75.0,0.01,-0.03,0.01,-0.07,-0.02,-0.01
3185,3157.0,37.0,59.0,42.0,72.0,0.02,-0.04,0.0,0.08,0.0,0.12
3186,3158.0,38.0,59.0,41.0,71.0,0.02,-0.03,0.0,0.14,0.05,0.1
3187,3159.0,38.0,58.0,41.0,72.0,0.01,-0.01,0.01,0.05,0.1,0.05
3188,3160.0,43.0,61.0,41.0,72.0,0.01,-0.02,0.02,0.17,0.08,0.07
3189,3161.0,41.0,60.0,41.0,73.0,0.02,-0.01,0.0,0.1,0.17,0.12
3190,3162.0,40.0,60.0,40.0,75.0,0.02,0.0,0.0,0.04,0.12,0.0
3191,3163.0,37.0,62.0,40.0,75.0,0.01,0.0,-0.0,0.06,0.16,-0.05
3192,3164.0,33.0,61.0,40.0,78.0,0.01,-0.0,-0.0,-0.05,0.18,-0.15
3193,3165.0,31.0,59.0,40.0,90.0,0.01,-0.02,-0.02,0.03,0.18,-0.18
3194,3166.0,30.0,57.0,39.0,110.0,0.0,-0.01,-0.02,0.0,0.21,-0.18
3195,3167.0,28.0,58.0,39.0,112.0,-0.0,-0.01,-0.03,-0.16,0.14,-0.25
3196,3168.0,27.0,56.0,40.0,118.0,-0.04,-0.01,-0.01,-0.21,0.07,-0.37
3197,3169.0,27.0,58.0,40.0,111.0,-0.09,-0.02,-0.02,-0.33,0.32,-0.21
3198,3170.0,31.0,58.0,40.0,111.0,-0.13,-0.03,-0.02,-0.39,0.42,-0.12
3199,3171.0,29.0,60.0,40.0,133.0,-0.22,-0.08,-0.02,-0.14,0.75,0.74
3200,3172.0,29.0,59.0,40.0,133.0,-0.26,-0.07,-0.02,-0.41,1.34,1.91
3201,3173.0,28.0,63.0,40.0,147.0,-0.25,-0.01,-0.0,-0.34,1.6,2.43
3202,3174.0,28.0,62.0,40.0,187.0,-0.18,0.39,0.04,-0.39,2.34,3.32
3203,3175.0,27.0,61.0,40.0,209.0,-0.07,0.96,0.04,-0.55,2.26,3.8
3204,3176.0,28.0,62.0,40.0,224.0,0.04,1.14,0.01,-1.54,2.14,3.18
3205,3177.0,30.0,62.0,45.0,230.0,0.25,0.74,0.13,-4.1,1.46,3.04
3206,3178.0,29.0,50.0,40.0,215.0,0.66,-0.67,0.46,-5.88,1.04,4.21
3207,3179.0,34.0,59.0,40.0,210.0,0.89,-1.18,0.69,-5.29,0.84,4.22
3208,3180.0,52.0,59.0,44.0,204.0,1.4,-1.42,1.1,-3.73,0.53,3.72
3209,3181.0,58.0,58.0,46.0,195.0,1.72,-1.01,1.38,-2.35,0.59,2.23
3210,3182.0,52.0,59.0,43.0,183.0,1.78,-0.81,1.5,-2.18,0.25,1.56
3211,3183.0,57.0,60.0,45.0,168.0,1.83,-0.66,1.6,-1.26,0.0,-0.24
3212,3184.0,49.0,58.0,47.0,152.0,1.72,-0.68,1.63,-0.5,-0.63,-1.04
3213,3185.0,48.0,56.0,61.0,135.0,1.67,-0.75,1.63,0.43,-0.86,-1.59
3214,3186.0,42.0,54.0,94.0,130.0,1.54,-0.81,1.52,1.04,-1.15,-2.06
3215,3187.0,38.0,53.0,96.0,144.0,1.41,-0.87,1.32,1.88,-1.16,-2.46
3216,3188.0,35.0,54.0,84.0,139.0,1.36,-0.93,1.21,1.9,-1.13,-2.58
3217,3189.0,32.0,55.0,74.0,156.0,1.19,-1.07,0.95,1.44,-1.44,-2.93
3218,3190.0,31.0,54.0,81.0,159.0,1.06,-1.51,0.63,-0.03,-1.48,-4.04
3219,3191.0,40.0,57.0,90.0,156.0,1.01,-2.05,0.45,-0.65,-1.45,-4.47
3220,3192.0,52.0,62.0,117.0,151.0,0.94,-3.54,0.17,-4.11,-2.39,-5.95
3221,3193.0,70.0,68.0,139.0,146.0,1.02,-5.81,0.05,-5.45,-2.98,-6.72
3222,3194.0,136.0,75.0,163.0,143.0,1.08,-7.03,0.08,-5.83,-3.58,-6.62
3223,3195.0,194.0,80.0,142.0,151.0,1.15,-8.99,0.55,-6.02,-4.03,-5.43
3224,3196.0,330.0,82.0,167.0,153.0,1.23,-9.88,1.45,-4.67,-4.61,-2.53
3225,3197.0,329.0,82.0,189.0,156.0,1.28,-9.63,2.01,-4.68,-4.0,-2.1
