,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
3642,3614.0,42.0,58.0,54.0,72.0,0.01,0.02,-0.0,0.04,0.08,-0.11
3643,3615.0,36.0,57.0,52.0,71.0,0.01,0.03,-0.0,0.0,0.1,-0.16
3644,3616.0,38.0,57.0,53.0,71.0,0.0,0.01,-0.01,0.01,0.11,-0.24
3645,3617.0,37.0,54.0,55.0,76.0,0.0,0.01,-0.01,-0.04,0.08,-0.24
3646,3618.0,40.0,54.0,52.0,75.0,-0.01,-0.0,-0.01,-0.04,0.03,-0.18
3647,3619.0,44.0,55.0,49.0,74.0,-0.01,-0.02,-0.0,0.02,0.11,-0.11
3648,3620.0,40.0,54.0,47.0,74.0,-0.01,-0.02,-0.0,0.02,0.04,-0.1
3649,3621.0,38.0,52.0,54.0,74.0,-0.0,-0.01,0.0,0.04,0.06,-0.08
3650,3622.0,35.0,52.0,53.0,73.0,0.0,-0.0,-0.0,0.09,0.06,-0.12
3651,3623.0,33.0,52.0,52.0,72.0,0.0,-0.0,-0.01,0.06,0.05,-0.12
3652,3624.0,35.0,53.0,50.0,72.0,0.01,0.0,-0.01,0.02,0.07,-0.12
3653,3625.0,35.0,53.0,48.0,73.0,0.0,0.0,-0.01,0.03,0.09,-0.08
3654,3626.0,38.0,52.0,53.0,73.0,0.0,-0.01,-0.01,0.05,0.1,-0.1
3655,3627.0,35.0,54.0,50.0,72.0,-0.01,-0.02,-0.01,0.02,0.11,-0.13
3656,3628.0,33.0,56.0,48.0,72.0,-0.01,-0.03,-0.0,-0.02,0.11,-0.1
3657,3629.0,38.0,55.0,45.0,72.0,-0.01,-0.03,-0.0,0.0,0.11,-0.12
3658,3630.0,43.0,54.0,44.0,75.0,-0.02,-0.06,-0.0,0.02,0.15,-0.11
3659,3631.0,42.0,54.0,44.0,78.0,-0.01,-0.05,-0.0,0.09,0.12,-0.02
3660,3632.0,38.0,54.0,43.0,76.0,-0.01,-0.03,0.0,0.06,0.1,-0.01
3661,3633.0,36.0,54.0,49.0,81.0,0.0,-0.01,-0.01,0.05,0.15,0.01
3662,3634.0,34.0,53.0,54.0,86.0,0.02,0.03,-0.02,0.05,0.13,-0.09
3663,3635.0,36.0,53.0,51.0,111.0,0.03,0.03,-0.03,-0.05,0.23,0.0
3664,3636.0,34.0,59.0,53.0,123.0,0.05,0.0,-0.03,-0.06,0.23,0.06
3665,3637.0,38.0,60.0,62.0,149.0,0.08,0.01,0.0,-0.12,0.23,0.59
3666,3638.0,42.0,60.0,75.0,140.0,0.11,0.05,0.03,-0.31,0.37,0.82
3667,3639.0,75.0,64.0,93.0,148.0,0.2,0.24,0.11,0.05,0.32,0.38
3668,3640.0,131.0,64.0,94.0,139.0,0.29,0.37,0.16,-0.46,0.07,0.61
3669,3641.0,133.0,69.0,221.0,134.0,0.33,0.39,0.18,-0.24,0.24,1.89
3670,3642.0,183.0,75.0,233.0,136.0,0.45,0.58,0.2,-1.05,0.13,1.94
3671,3643.0,217.0,78.0,218.0,131.0,0.63,0.39,0.36,-1.9,0.49,2.93
3672,3644.0,262.0,80.0,259.0,122.0,0.7,0.19,0.47,-3.07,1.56,4.13
3673,3645.0,268.0,80.0,260.0,113.0,0.7,-0.15,0.71,-3.04,2.48,4.21
3674,3646.0,247.0,81.0,266.0,122.0,0.73,-0.38,0.99,-0.66,4.46,2.45
3675,3647.0,223.0,78.0,243.0,132.0,0.75,-0.38,1.11,-2.29,2.78,0.72
3676,3648.0,229.0,78.0,242.0,130.0,0.82,-0.35,1.51,-2.2,2.5,1.69
3677,3649.0,217.0,80.0,231.0,135.0,1.05,-0.77,1.7,-3.28,1.55,2.69
3678,3650.0,213.0,80.0,225.0,131.0,1.15,-1.04,1.73,-1.42,0.73,1.46
3679,3651.0,212.0,77.0,218.0,132.0,1.34,-1.2,1.76,-1.13,0.55,1.05
3680,3652.0,183.0,81.0,202.0,132.0,1.36,-1.01,1.79,-0.78,0.16,0.23
3681,3653.0,193.0,89.0,223.0,133.0,1.33,-0.91,1.78,-0.37,-0.33,-1.82
3682,3654.0,174.0,88.0,236.0,125.0,1.18,-0.69,1.75,-0.28,-0.55,-2.39
3683,3655.0,188.0,87.0,219.0,123.0,0.99,-0.73,1.65,0.48,-1.12,-2.14
3684,3656.0,176.0,86.0,226.0,128.0,0.84,-0.83,1.57,0.55,-1.37,-2.46
3685,3657.0,153.0,87.0,221.0,128.0,0.58,-0.95,1.36,1.04,-1.8,-3.33
3686,3658.0,145.0,86.0,202.0,126.0,0.39,-0.88,1.18,1.16,-2.25,-3.51
