,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
7534,7477.0,37.0,54.0,67.0,79.0,0.01,0.02,0.01,-0.02,-0.12,0.03
7535,7478.0,36.0,55.0,62.0,79.0,0.01,0.02,0.01,-0.04,-0.09,0.04
7536,7479.0,34.0,54.0,64.0,79.0,0.01,0.01,0.01,-0.01,-0.08,0.03
7537,7480.0,34.0,53.0,64.0,80.0,-0.0,0.0,0.01,-0.02,-0.09,0.0
7538,7481.0,32.0,54.0,66.0,79.0,0.0,-0.01,0.01,-0.01,-0.05,0.01
7539,7482.0,30.0,55.0,60.0,79.0,0.0,-0.01,0.01,0.0,-0.08,0.04
7540,7483.0,33.0,55.0,62.0,78.0,0.0,-0.01,0.0,0.0,-0.06,0.01
7541,7484.0,37.0,55.0,78.0,78.0,0.0,0.0,0.0,0.0,-0.08,0.03
7542,7485.0,36.0,55.0,71.0,78.0,-0.0,0.01,0.0,0.0,-0.06,0.01
7543,7486.0,53.0,55.0,74.0,78.0,-0.0,-0.01,0.01,-0.04,-0.07,-0.01
7544,7487.0,47.0,56.0,66.0,79.0,-0.01,-0.03,0.0,0.02,-0.06,0.01
7545,7488.0,45.0,57.0,66.0,79.0,-0.01,-0.04,0.0,0.0,-0.08,0.02
7546,7489.0,77.0,58.0,65.0,79.0,-0.01,-0.06,0.01,-0.06,-0.03,0.0
7547,7490.0,65.0,59.0,66.0,78.0,-0.01,-0.07,0.0,-0.08,-0.02,0.1
7548,7491.0,73.0,59.0,74.0,77.0,-0.0,-0.09,-0.01,-0.02,-0.01,0.09
7549,7492.0,81.0,58.0,69.0,80.0,0.0,-0.08,-0.01,-0.11,0.05,0.02
7550,7493.0,89.0,58.0,62.0,100.0,0.01,-0.08,-0.02,-0.35,0.55,-0.12
7551,7494.0,76.0,58.0,57.0,108.0,0.0,-0.1,-0.07,-0.56,0.8,-0.18
7552,7495.0,68.0,65.0,68.0,144.0,-0.06,-0.25,-0.1,-0.74,1.3,0.28
7553,7496.0,84.0,73.0,63.0,164.0,-0.11,-0.31,-0.1,-0.9,1.73,1.72
7554,7497.0,71.0,79.0,60.0,196.0,-0.17,-0.22,-0.04,-0.5,2.1,1.76
7555,7498.0,63.0,79.0,63.0,192.0,-0.26,0.28,0.17,1.39,2.47,1.73
7556,7499.0,68.0,78.0,75.0,208.0,-0.27,0.51,0.3,-1.01,3.27,4.46
7557,7500.0,67.0,76.0,95.0,220.0,0.03,0.57,0.72,-4.7,2.3,6.15
7558,7501.0,64.0,77.0,147.0,212.0,0.66,-0.32,0.95,-7.42,0.9,7.3
7559,7502.0,59.0,74.0,153.0,200.0,1.03,-0.72,1.12,-7.12,0.63,7.53
7560,7503.0,64.0,76.0,157.0,189.0,1.75,-0.74,1.64,-6.24,1.04,6.82
7561,7504.0,85.0,73.0,134.0,173.0,2.2,-0.53,2.05,-5.56,0.7,4.62
7562,7505.0,96.0,74.0,129.0,156.0,2.36,-0.62,2.22,-3.53,-0.31,2.59
7563,7506.0,123.0,79.0,144.0,141.0,2.49,-0.91,2.46,-2.73,-0.7,1.77
7564,7507.0,129.0,79.0,136.0,122.0,2.45,-1.06,2.54,-0.66,-1.67,-0.23
7565,7508.0,114.0,82.0,113.0,115.0,2.4,-1.07,2.51,0.05,-2.37,-1.26
7566,7509.0,128.0,82.0,98.0,108.0,2.21,-0.98,2.39,0.31,-2.62,-1.8
7567,7510.0,134.0,88.0,92.0,101.0,1.97,-0.85,2.18,1.06,-3.05,-2.77
7568,7511.0,122.0,89.0,93.0,95.0,1.84,-0.78,2.06,1.44,-3.42,-3.1
7569,7512.0,133.0,92.0,97.0,92.0,1.57,-0.7,1.76,2.46,-3.16,-3.76
7570,7513.0,130.0,93.0,99.0,88.0,1.29,-0.56,1.45,2.97,-3.07,-4.21
7571,7514.0,131.0,94.0,98.0,85.0,1.15,-0.45,1.3,2.9,-2.85,-4.64
7572,7515.0,135.0,90.0,87.0,83.0,0.88,-0.33,0.98,2.95,-2.69,-4.71
7573,7516.0,138.0,87.0,76.0,81.0,0.59,-0.32,0.66,2.7,-2.58,-4.58
7574,7517.0,160.0,79.0,67.0,87.0,0.46,-0.36,0.51,1.98,-2.36,-4.28
7575,7518.0,174.0,75.0,86.0,88.0,0.26,-0.35,0.25,2.36,-2.01,-4.16
7576,7519.0,199.0,70.0,90.0,97.0,0.05,-0.22,-0.03,1.14,-1.74,-3.76
7577,7520.0,245.0,69.0,115.0,103.0,-0.03,-0.1,-0.09,0.35,-1.58,-3.41
7578,7521.0,275.0,68.0,115.0,123.0,-0.15,0.11,-0.15,-0.33,-1.46,-3.17
7579,7522.0,311.0,65.0,117.0,126.0,-0.25,0.35,-0.12,-1.27,-1.12,-3.32
7580,7523.0,349.0,66.0,166.0,135.0,-0.31,0.46,-0.08,-3.15,-0.79,-3.07
7581,7524.0,368.0,67.0,205.0,143.0,-0.42,0.55,0.09,-3.61,-0.71,-2.81
7582,7525.0,388.0,71.0,286.0,146.0,-0.55,0.51,0.34,-4.24,-0.42,-2.45
7583,7526.0,395.0,72.0,381.0,131.0,-0.63,0.48,0.52,-4.91,0.16,-2.47
7584,7527.0,398.0,74.0,435.0,126.0,-0.87,0.5,0.93,-5.03,0.15,-2.54
7585,7528.0,391.0,76.0,484.0,114.0,-1.23,0.51,1.47,-4.44,0.08,-2.01
7586,7529.0,360.0,75.0,495.0,110.0,-1.39,0.47,1.73,-3.59,-0.33,-0.96
7587,7530.0,315.0,75.0,491.0,107.0,-1.61,0.17,2.15,-3.11,-0.52,-0.47
7588,7531.0,282.0,74.0,448.0,104.0,-1.65,-0.23,2.37,-2.13,-0.89,0.0
