,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
8116,8061.0,24.0,52.0,44.0,82.0,-0.0,-0.01,-0.0,-0.05,0.04,-0.03
8117,8062.0,24.0,51.0,44.0,82.0,-0.0,-0.01,-0.01,-0.04,0.06,-0.01
8118,8063.0,23.0,51.0,45.0,81.0,-0.01,-0.01,-0.01,-0.07,0.08,-0.02
8119,8064.0,23.0,52.0,45.0,81.0,-0.01,-0.02,-0.01,-0.04,0.02,0.0
8120,8065.0,23.0,50.0,43.0,80.0,-0.01,-0.02,-0.01,-0.02,0.04,-0.04
8121,8066.0,23.0,50.0,42.0,79.0,-0.02,-0.01,-0.01,-0.02,0.03,-0.02
8122,8067.0,26.0,53.0,57.0,78.0,-0.01,-0.01,-0.01,0.01,0.0,-0.01
8123,8068.0,25.0,49.0,55.0,79.0,-0.01,-0.01,-0.0,-0.01,0.02,0.0
8124,8069.0,25.0,51.0,52.0,80.0,-0.0,0.0,0.0,-0.09,0.05,-0.01
8125,8070.0,25.0,51.0,50.0,80.0,-0.0,-0.01,0.0,-0.06,0.07,-0.04
8126,8071.0,24.0,51.0,48.0,79.0,-0.0,-0.02,-0.0,-0.11,0.07,-0.01
8127,8072.0,24.0,51.0,45.0,81.0,-0.01,-0.03,-0.01,-0.09,0.07,-0.02
8128,8073.0,23.0,51.0,44.0,75.0,-0.01,-0.03,-0.01,0.0,0.07,0.0
8129,8074.0,24.0,52.0,53.0,79.0,-0.01,-0.02,-0.01,-0.05,0.02,0.0
8130,8075.0,23.0,51.0,55.0,81.0,-0.02,-0.02,-0.02,-0.07,0.01,-0.03
8131,8076.0,23.0,53.0,50.0,81.0,-0.01,-0.02,-0.01,-0.01,0.02,-0.06
8132,8077.0,23.0,53.0,47.0,82.0,-0.01,-0.02,-0.01,-0.05,0.03,-0.01
8133,8078.0,23.0,51.0,46.0,83.0,-0.0,-0.02,0.0,-0.08,0.04,-0.03
8134,8079.0,23.0,52.0,45.0,84.0,-0.0,-0.02,0.0,-0.01,0.08,-0.04
8135,8080.0,23.0,51.0,68.0,86.0,-0.0,-0.02,0.0,0.01,0.08,0.01
8136,8081.0,23.0,52.0,63.0,86.0,-0.01,0.01,-0.01,-0.01,0.04,0.0
8137,8082.0,23.0,54.0,61.0,86.0,-0.01,0.03,-0.02,-0.12,0.05,0.04
8138,8083.0,23.0,61.0,71.0,92.0,-0.01,0.03,-0.02,-0.08,0.04,0.14
8139,8084.0,23.0,91.0,85.0,102.0,-0.02,0.07,-0.01,-0.05,0.07,0.28
8140,8085.0,23.0,91.0,77.0,102.0,-0.03,0.15,-0.02,0.15,-0.01,0.45
8141,8086.0,23.0,108.0,75.0,102.0,-0.01,0.22,-0.02,-0.15,-0.13,0.37
