,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
3461,3436.0,35.0,52.0,41.0,70.0,-0.01,0.0,-0.03,0.04,0.03,-0.01
3462,3437.0,34.0,51.0,40.0,70.0,-0.01,0.0,-0.02,0.06,0.04,0.05
3463,3438.0,32.0,52.0,40.0,69.0,-0.01,0.0,-0.01,0.04,0.05,0.0
3464,3439.0,30.0,51.0,41.0,70.0,-0.02,0.0,-0.01,0.0,0.05,-0.04
3465,3440.0,34.0,52.0,44.0,71.0,-0.01,-0.02,-0.01,0.0,0.02,-0.04
3466,3441.0,33.0,51.0,43.0,70.0,-0.01,-0.02,-0.01,0.08,0.1,0.0
3467,3442.0,37.0,50.0,43.0,71.0,-0.01,-0.03,-0.02,0.11,0.07,0.06
3468,3443.0,35.0,50.0,42.0,71.0,-0.01,-0.0,-0.01,0.12,0.08,0.07
3469,3444.0,32.0,51.0,41.0,70.0,-0.01,0.01,-0.01,0.04,0.06,0.02
3470,3445.0,30.0,52.0,41.0,70.0,-0.01,0.03,-0.01,0.05,0.05,-0.02
3471,3446.0,29.0,51.0,41.0,70.0,-0.02,0.02,-0.02,-0.01,0.06,-0.01
3472,3447.0,27.0,50.0,42.0,70.0,-0.01,0.01,-0.02,0.07,0.09,0.07
3473,3448.0,26.0,49.0,39.0,70.0,-0.02,0.05,-0.02,0.03,0.13,0.09
3474,3449.0,26.0,49.0,41.0,70.0,-0.03,0.07,-0.02,0.0,0.16,0.07
3475,3450.0,22.0,50.0,40.0,76.0,-0.03,0.08,-0.03,-0.08,0.32,0.26
3476,3451.0,25.0,52.0,40.0,86.0,-0.05,0.12,-0.03,-0.07,0.4,0.39
3477,3452.0,25.0,54.0,40.0,96.0,-0.04,0.2,0.01,-0.01,0.47,0.69
3478,3453.0,24.0,59.0,42.0,101.0,-0.03,0.23,0.02,-0.01,0.15,0.78
3479,3454.0,24.0,70.0,59.0,120.0,0.07,0.32,-0.01,-0.12,-0.1,0.59
3480,3455.0,23.0,79.0,82.0,121.0,0.24,0.32,0.01,-0.43,-0.43,-0.65
3481,3456.0,24.0,93.0,90.0,130.0,0.32,0.2,0.02,-1.59,-0.5,-2.09
3482,3457.0,25.0,123.0,132.0,148.0,0.55,-0.71,0.0,-3.29,-0.35,-2.75
3483,3458.0,28.0,155.0,158.0,143.0,0.75,-3.12,-0.06,-4.18,-1.2,-1.85
3484,3459.0,39.0,173.0,143.0,148.0,0.94,-4.68,-0.19,0.03,-0.22,-0.74
3485,3460.0,51.0,193.0,140.0,158.0,1.26,-6.81,-0.12,0.43,0.22,-0.93
3486,3461.0,52.0,198.0,150.0,158.0,1.47,-8.04,-0.04,0.36,0.36,-0.11
3487,3462.0,62.0,200.0,184.0,171.0,1.44,-8.33,0.02,2.84,2.49,0.01
3488,3463.0,105.0,198.0,197.0,184.0,1.32,-8.23,-0.14,2.29,2.17,-1.04
3489,3464.0,116.0,186.0,205.0,185.0,1.1,-7.53,-0.44,0.57,1.28,-2.02
3490,3465.0,127.0,190.0,243.0,195.0,1.03,-7.38,-0.58,0.98,0.03,-1.44
3491,3466.0,153.0,175.0,237.0,190.0,1.03,-5.9,-0.42,3.2,0.08,0.34
3492,3467.0,169.0,174.0,307.0,193.0,0.75,-3.15,0.02,-0.86,-0.16,1.42
3493,3468.0,161.0,174.0,263.0,181.0,0.57,-2.21,0.07,-0.69,-0.29,1.55
3494,3469.0,146.0,182.0,258.0,172.0,0.23,-1.03,0.14,-0.31,-0.25,-0.25
3495,3470.0,133.0,170.0,214.0,170.0,0.0,-0.66,0.23,-0.37,-0.28,-0.79
3496,3471.0,120.0,175.0,202.0,163.0,-0.07,-0.68,0.23,-0.42,-0.28,-1.07
3497,3472.0,114.0,166.0,251.0,148.0,-0.13,-0.52,0.21,0.1,-0.31,-0.94
3498,3473.0,109.0,164.0,214.0,141.0,-0.11,-0.11,0.2,0.04,-0.24,-0.09
3499,3474.0,103.0,172.0,186.0,159.0,-0.13,-0.05,0.18,-0.31,-0.1,-0.28
3500,3475.0,96.0,160.0,195.0,150.0,-0.19,-0.11,0.1,-0.14,-0.14,-0.69
3501,3476.0,92.0,155.0,189.0,139.0,-0.17,-0.18,0.02,-0.28,-0.13,-0.25
3502,3477.0,82.0,152.0,161.0,133.0,-0.15,-0.21,-0.03,-0.11,-0.11,-0.21
3503,3478.0,82.0,150.0,139.0,127.0,-0.1,-0.2,-0.09,0.02,-0.18,0.03
3504,3479.0,77.0,148.0,152.0,126.0,-0.09,-0.1,-0.1,-0.25,-0.08,-0.11
3505,3480.0,75.0,139.0,175.0,125.0,-0.08,-0.07,-0.1,-0.12,-0.09,0.06
3506,3481.0,64.0,136.0,150.0,124.0,-0.05,-0.1,-0.11,-0.43,0.08,0.18
3507,3482.0,56.0,137.0,137.0,128.0,-0.07,-0.22,-0.12,0.0,0.14,-0.19
3508,3483.0,55.0,130.0,139.0,121.0,-0.08,-0.21,-0.09,-0.07,0.1,-0.25
3509,3484.0,54.0,119.0,133.0,115.0,-0.06,-0.1,-0.05,-0.2,-0.06,0.01
3510,3485.0,54.0,117.0,116.0,116.0,-0.03,-0.16,-0.05,-0.07,-0.03,0.41
3511,3486.0,48.0,110.0,102.0,113.0,-0.04,-0.21,-0.04,-0.04,0.0,0.43
3512,3487.0,44.0,107.0,102.0,110.0,-0.05,-0.16,-0.03,-0.3,0.08,-0.11
3513,3488.0,40.0,101.0,91.0,108.0,-0.05,-0.03,-0.03,-0.2,0.04,-0.05
3514,3489.0,34.0,96.0,127.0,106.0,-0.03,-0.05,-0.04,-0.17,0.0,0.01
3515,3490.0,38.0,95.0,117.0,109.0,-0.03,-0.18,-0.06,-0.09,0.01,0.21
3516,3491.0,48.0,97.0,102.0,102.0,-0.02,-0.18,-0.04,-0.04,-0.02,0.39
3517,3492.0,42.0,92.0,89.0,101.0,-0.02,-0.13,-0.03,-0.19,0.03,0.22
3518,3493.0,40.0,90.0,95.0,101.0,-0.03,0.01,-0.02,-0.11,0.06,0.2
3519,3494.0,39.0,92.0,88.0,100.0,-0.03,0.09,-0.02,-0.32,0.07,-0.28
3520,3495.0,35.0,90.0,77.0,94.0,-0.04,0.06,-0.02,-0.36,0.04,-0.33
3521,3496.0,36.0,88.0,74.0,97.0,-0.04,-0.05,-0.02,-0.29,0.02,-0.04
3522,3497.0,33.0,87.0,82.0,96.0,-0.05,-0.08,-0.02,-0.25,0.05,0.04
3523,3498.0,28.0,85.0,75.0,93.0,-0.05,-0.05,-0.01,-0.27,0.02,0.05
3524,3499.0,30.0,90.0,79.0,102.0,-0.05,0.04,-0.0,-0.24,0.03,-0.07
3525,3500.0,28.0,93.0,76.0,95.0,-0.06,0.13,0.0,-0.29,0.03,-0.11
3526,3501.0,27.0,97.0,78.0,93.0,-0.06,0.12,0.0,-0.32,0.08,-0.21
3527,3502.0,30.0,93.0,90.0,93.0,-0.05,0.03,0.0,-0.28,0.09,-0.04
3528,3503.0,30.0,90.0,83.0,93.0,-0.04,-0.02,-0.01,-0.25,0.01,0.02
3529,3504.0,29.0,90.0,75.0,97.0,-0.03,-0.01,-0.0,-0.2,0.03,0.1
3530,3505.0,28.0,98.0,71.0,99.0,-0.03,0.04,0.0,-0.2,0.07,0.11
3531,3506.0,44.0,97.0,73.0,98.0,-0.03,0.07,0.0,-0.21,0.1,0.0
3532,3507.0,41.0,92.0,75.0,97.0,-0.03,0.08,0.01,-0.23,0.15,-0.1
3533,3508.0,38.0,94.0,76.0,99.0,-0.03,0.06,0.01,-0.25,0.03,-0.11
3534,3509.0,35.0,92.0,74.0,99.0,-0.02,0.01,-0.0,-0.16,0.03,0.04
3535,3510.0,32.0,104.0,74.0,98.0,-0.02,0.0,-0.0,-0.23,0.06,0.04
3536,3511.0,31.0,97.0,68.0,97.0,-0.01,0.01,0.0,-0.28,0.03,0.08
3537,3512.0,28.0,94.0,62.0,97.0,0.0,0.01,0.0,-0.23,0.05,0.0
3538,3513.0,30.0,91.0,59.0,102.0,0.0,0.0,0.01,-0.24,0.04,-0.01
3539,3514.0,35.0,89.0,62.0,101.0,0.0,-0.01,0.0,-0.14,0.08,-0.05
3540,3515.0,32.0,94.0,61.0,101.0,0.0,0.02,0.01,-0.22,0.08,-0.09
3541,3516.0,31.0,96.0,64.0,105.0,-0.01,0.01,0.01,-0.12,0.11,-0.12
3542,3517.0,52.0,94.0,71.0,104.0,-0.02,-0.0,0.01,-0.18,0.05,-0.07
3543,3518.0,48.0,94.0,79.0,102.0,-0.02,0.0,0.01,-0.17,0.04,-0.03
3544,3519.0,45.0,95.0,71.0,100.0,-0.02,0.02,0.01,-0.15,0.0,-0.02
3545,3520.0,47.0,96.0,67.0,100.0,-0.03,0.03,0.01,-0.15,0.03,0.02
3546,3521.0,43.0,102.0,69.0,96.0,-0.03,0.02,0.01,-0.14,0.04,-0.14
3547,3522.0,38.0,96.0,63.0,94.0,-0.03,0.03,0.01,-0.2,0.01,-0.14
3548,3523.0,37.0,94.0,75.0,93.0,-0.02,0.05,0.01,-0.14,0.02,-0.06
3549,3524.0,35.0,91.0,71.0,91.0,-0.01,0.02,-0.01,-0.17,0.02,-0.04
3550,3525.0,34.0,96.0,68.0,92.0,-0.01,0.01,-0.01,-0.21,0.07,0.02
3551,3526.0,33.0,92.0,68.0,90.0,-0.02,0.01,0.0,-0.22,0.04,-0.04
3552,3527.0,31.0,91.0,67.0,93.0,-0.03,-0.01,0.01,-0.21,0.04,-0.18
3553,3528.0,30.0,95.0,62.0,95.0,-0.03,-0.02,0.01,-0.13,0.06,-0.13
3554,3529.0,29.0,91.0,57.0,90.0,-0.02,0.0,0.01,-0.17,0.04,-0.04
3555,3530.0,32.0,96.0,55.0,89.0,-0.01,0.01,-0.01,-0.13,0.01,-0.05
3556,3531.0,30.0,91.0,52.0,89.0,-0.01,-0.01,-0.01,-0.12,0.03,0.08
3557,3532.0,28.0,92.0,65.0,89.0,-0.02,0.01,-0.01,-0.13,0.08,0.05
3558,3533.0,27.0,94.0,70.0,90.0,-0.03,0.03,-0.01,-0.15,0.11,-0.14
3559,3534.0,27.0,95.0,73.0,87.0,-0.03,0.04,-0.01,-0.3,0.15,-0.19
3560,3535.0,27.0,93.0,81.0,87.0,-0.02,0.01,-0.02,-0.15,0.03,0.03
3561,3536.0,26.0,88.0,76.0,85.0,-0.02,0.0,-0.01,-0.17,0.05,0.02
3562,3537.0,25.0,89.0,69.0,83.0,-0.01,-0.01,-0.01,-0.12,0.03,0.02
3563,3538.0,25.0,88.0,81.0,87.0,-0.01,0.0,-0.01,-0.08,0.12,0.09
3564,3539.0,25.0,90.0,74.0,93.0,-0.02,0.02,-0.01,-0.07,0.15,0.0
3565,3540.0,25.0,87.0,73.0,93.0,-0.02,0.03,-0.01,-0.2,0.1,-0.14
3566,3541.0,26.0,91.0,67.0,92.0,-0.01,0.02,-0.02,-0.12,0.02,-0.05
3567,3542.0,25.0,85.0,69.0,87.0,-0.0,-0.0,-0.02,-0.15,0.04,0.03
3568,3543.0,28.0,80.0,69.0,88.0,0.0,-0.01,-0.03,-0.07,0.04,0.05
3569,3544.0,28.0,82.0,85.0,92.0,0.01,-0.01,-0.03,-0.12,0.07,0.03
3570,3545.0,27.0,81.0,77.0,90.0,0.01,0.02,-0.03,-0.13,0.09,0.0
3571,3546.0,26.0,84.0,72.0,91.0,0.01,0.04,-0.03,-0.17,0.05,-0.06
3572,3547.0,26.0,84.0,66.0,90.0,0.02,0.02,-0.03,-0.13,0.08,-0.12
3573,3548.0,26.0,81.0,82.0,88.0,0.02,-0.01,-0.04,-0.06,0.07,-0.13
3574,3549.0,25.0,77.0,92.0,86.0,0.03,-0.02,-0.04,-0.11,0.04,0.01
3575,3550.0,25.0,91.0,86.0,85.0,0.02,-0.03,-0.04,-0.09,0.07,0.03
3576,3551.0,24.0,89.0,88.0,85.0,0.01,0.01,-0.03,-0.19,0.1,-0.03
3577,3552.0,25.0,84.0,77.0,83.0,0.0,0.03,-0.03,-0.17,0.11,-0.09
3578,3553.0,24.0,83.0,74.0,85.0,-0.01,0.06,-0.02,-0.18,0.08,-0.12
3579,3554.0,24.0,84.0,69.0,86.0,-0.01,0.03,-0.02,-0.16,0.06,-0.11
3580,3555.0,25.0,85.0,79.0,84.0,-0.01,0.01,-0.02,-0.15,0.07,-0.1
3581,3556.0,24.0,84.0,72.0,86.0,-0.01,-0.02,-0.02,-0.1,0.02,0.0
3582,3557.0,23.0,86.0,93.0,86.0,-0.01,0.02,-0.02,-0.1,0.02,0.03
3583,3558.0,24.0,88.0,89.0,89.0,-0.01,0.05,-0.02,-0.1,0.0,-0.05
3584,3559.0,23.0,83.0,93.0,87.0,-0.02,0.12,-0.03,-0.15,0.04,-0.1
3585,3560.0,23.0,79.0,85.0,100.0,-0.03,0.18,-0.03,-0.08,-0.04,-0.01
3586,3561.0,25.0,72.0,75.0,104.0,-0.04,0.21,-0.03,-0.07,-0.02,-0.02
3587,3562.0,23.0,70.0,74.0,99.0,-0.07,0.35,-0.02,0.1,-0.08,0.04
