,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
8605,8551.0,28.0,49.0,59.0,71.0,-0.01,-0.01,-0.01,0.0,0.06,-0.05
8606,8552.0,36.0,49.0,56.0,75.0,-0.02,-0.01,-0.01,-0.04,0.05,-0.12
8607,8553.0,33.0,49.0,56.0,77.0,-0.02,-0.01,-0.01,-0.02,0.04,-0.12
8608,8554.0,32.0,48.0,59.0,78.0,-0.03,-0.01,-0.01,-0.05,-0.02,-0.12
8609,8555.0,30.0,50.0,59.0,79.0,-0.02,-0.01,-0.01,-0.06,0.01,-0.12
8610,8556.0,31.0,50.0,61.0,79.0,-0.02,-0.02,-0.01,-0.04,0.01,-0.13
8611,8557.0,30.0,50.0,59.0,77.0,-0.02,-0.02,-0.01,-0.04,0.01,-0.1
8612,8558.0,29.0,49.0,55.0,77.0,-0.02,-0.01,-0.01,-0.03,0.03,-0.1
8613,8559.0,34.0,50.0,51.0,81.0,-0.01,-0.01,-0.01,-0.03,0.05,-0.1
8614,8560.0,32.0,52.0,64.0,82.0,-0.01,-0.01,-0.0,-0.03,0.06,-0.08
8615,8561.0,30.0,51.0,68.0,83.0,-0.02,-0.0,-0.0,-0.01,0.07,-0.07
8616,8562.0,28.0,51.0,63.0,84.0,-0.02,-0.01,-0.01,-0.02,0.04,-0.08
8617,8563.0,27.0,50.0,58.0,83.0,-0.02,-0.01,-0.01,-0.05,0.04,-0.1
8618,8564.0,25.0,54.0,66.0,83.0,-0.02,-0.02,-0.01,-0.03,0.03,-0.1
8619,8565.0,29.0,52.0,60.0,85.0,-0.02,-0.01,-0.01,-0.06,0.04,-0.11
8620,8566.0,28.0,51.0,60.0,88.0,-0.02,-0.02,-0.01,-0.06,0.06,-0.08
8621,8567.0,27.0,50.0,57.0,93.0,-0.02,-0.02,-0.01,-0.06,0.04,-0.08
8622,8568.0,26.0,51.0,72.0,111.0,-0.03,-0.02,-0.01,-0.08,0.06,-0.07
8623,8569.0,26.0,50.0,71.0,109.0,-0.03,-0.03,-0.01,-0.24,0.19,-0.11
8624,8570.0,25.0,52.0,65.0,111.0,-0.05,-0.05,-0.01,-0.47,0.39,-0.14
8625,8571.0,24.0,47.0,60.0,124.0,-0.07,-0.09,-0.01,-0.77,0.59,0.16
8626,8572.0,25.0,52.0,56.0,115.0,-0.13,-0.18,-0.02,-0.85,0.88,0.37
8627,8573.0,25.0,54.0,55.0,109.0,-0.22,-0.25,-0.02,-0.75,0.54,0.44
8628,8574.0,24.0,53.0,62.0,121.0,-0.24,-0.27,-0.0,-0.76,0.38,0.38
8629,8575.0,25.0,57.0,58.0,118.0,-0.21,-0.28,0.04,-0.18,-0.06,0.22
8630,8576.0,25.0,57.0,56.0,112.0,-0.07,-0.27,0.13,-0.58,-0.23,0.04
8631,8577.0,25.0,63.0,91.0,108.0,0.03,-0.19,0.23,-0.31,-0.22,-0.04
8632,8578.0,32.0,70.0,153.0,105.0,0.27,0.01,0.42,-0.44,0.03,0.73
8633,8579.0,43.0,73.0,132.0,111.0,0.55,0.67,0.71,1.0,0.52,1.32
8634,8580.0,55.0,76.0,120.0,111.0,0.63,1.43,0.89,1.44,0.28,1.55
8635,8581.0,49.0,79.0,104.0,111.0,0.81,3.27,1.23,2.01,0.35,1.2
8636,8582.0,43.0,83.0,98.0,115.0,0.89,5.23,1.58,2.71,1.05,-0.65
8637,8583.0,55.0,89.0,98.0,111.0,0.86,6.15,1.77,2.39,1.06,-0.94
8638,8584.0,54.0,82.0,141.0,116.0,0.85,7.28,2.02,3.09,1.77,-2.43
8639,8585.0,54.0,79.0,218.0,125.0,0.67,7.92,2.28,-6.34,1.79,-5.13
8640,8586.0,49.0,74.0,266.0,115.0,0.48,7.72,2.25,-4.87,1.28,-2.99
8641,8587.0,60.0,75.0,299.0,119.0,0.06,6.34,1.74,-0.86,0.96,0.06
8642,8588.0,59.0,79.0,250.0,123.0,0.12,5.31,1.56,-1.5,0.4,0.71
8643,8589.0,56.0,81.0,209.0,124.0,0.13,4.55,1.47,-0.87,-0.34,0.74
