,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
2913,2890.0,27.0,47.0,40.0,68.0,0.02,-0.02,0.0,0.12,0.0,0.1
2914,2891.0,27.0,46.0,38.0,68.0,0.02,-0.01,0.01,0.1,0.05,0.13
2915,2892.0,25.0,44.0,39.0,67.0,0.02,-0.01,0.01,0.12,0.09,0.12
2916,2893.0,25.0,47.0,39.0,67.0,0.01,-0.01,0.01,0.16,0.11,0.04
2917,2894.0,26.0,51.0,39.0,67.0,0.0,0.01,0.0,0.13,0.07,0.08
2918,2895.0,36.0,48.0,64.0,69.0,0.0,0.01,0.01,0.13,0.02,0.14
2919,2896.0,33.0,48.0,94.0,70.0,-0.0,-0.0,0.01,0.17,0.03,0.1
2920,2897.0,36.0,50.0,90.0,70.0,-0.01,0.01,0.01,0.2,-0.03,0.22
2921,2898.0,31.0,60.0,90.0,71.0,0.0,0.01,0.01,0.2,0.03,0.11
2922,2899.0,40.0,64.0,132.0,74.0,0.01,0.04,0.01,0.11,0.01,0.0
2923,2900.0,39.0,69.0,182.0,78.0,0.03,-0.01,0.01,-0.24,0.03,-0.42
2924,2901.0,36.0,72.0,191.0,82.0,0.04,-0.08,0.01,-0.16,-0.05,-0.5
2925,2902.0,33.0,90.0,202.0,89.0,0.0,-0.16,0.01,-0.05,-0.28,0.41
2926,2903.0,30.0,93.0,183.0,91.0,-0.02,-0.17,0.03,0.18,0.14,0.74
2927,2904.0,29.0,96.0,164.0,99.0,-0.03,-0.11,0.03,0.47,0.17,0.91
2928,2905.0,28.0,94.0,165.0,113.0,-0.07,0.26,0.1,0.12,0.59,0.69
2929,2906.0,27.0,97.0,142.0,128.0,-0.15,0.58,0.12,-0.02,0.76,0.75
2930,2907.0,26.0,92.0,123.0,135.0,-0.17,0.75,0.11,-0.12,0.85,0.91
2931,2908.0,26.0,86.0,111.0,130.0,-0.18,0.98,0.1,0.32,1.14,0.4
2932,2909.0,25.0,80.0,109.0,139.0,-0.04,0.9,0.19,0.38,0.59,0.61
2933,2910.0,24.0,78.0,100.0,131.0,0.06,1.15,0.35,-0.25,0.68,0.92
2934,2911.0,24.0,73.0,88.0,122.0,0.23,1.57,0.6,-1.61,1.08,0.65
2935,2912.0,24.0,69.0,83.0,124.0,0.46,1.79,0.83,-2.27,0.52,1.34
2936,2913.0,23.0,63.0,101.0,127.0,0.56,1.91,0.93,-2.81,0.76,1.73
2937,2914.0,24.0,66.0,114.0,118.0,0.74,1.65,1.11,-1.16,0.67,1.71
2938,2915.0,24.0,67.0,116.0,112.0,0.8,1.75,1.41,-2.88,1.26,0.19
2939,2916.0,24.0,68.0,132.0,116.0,0.78,1.55,1.45,-0.18,0.9,0.2
2940,2917.0,25.0,67.0,117.0,116.0,0.76,1.67,1.5,-0.64,0.77,0.07
2941,2918.0,25.0,65.0,118.0,116.0,0.66,1.44,1.52,-0.33,0.43,0.0
2942,2919.0,24.0,66.0,111.0,109.0,0.6,1.28,1.51,0.11,0.21,0.0
2943,2920.0,26.0,66.0,99.0,105.0,0.54,1.22,1.44,0.67,-0.15,0.12
2944,2921.0,25.0,68.0,98.0,105.0,0.5,1.29,1.35,1.03,-0.32,-0.11
2945,2922.0,25.0,72.0,120.0,117.0,0.49,1.3,1.28,1.17,-0.63,0.29
2946,2923.0,26.0,88.0,157.0,123.0,0.47,1.29,1.14,1.98,-0.69,0.5
2947,2924.0,38.0,101.0,211.0,136.0,0.41,1.22,1.01,1.73,-1.08,0.09
2948,2925.0,83.0,127.0,541.0,173.0,0.41,1.08,0.93,1.03,-1.12,-0.44
2949,2926.0,97.0,150.0,944.0,226.0,0.39,0.57,0.79,0.02,-1.18,-1.41
2950,2927.0,117.0,153.0,888.0,211.0,0.44,-0.32,0.59,-0.15,-1.41,-1.32
2951,2928.0,156.0,141.0,962.0,207.0,0.4,-0.67,0.53,-1.72,-1.51,-1.94
2952,2929.0,153.0,122.0,839.0,199.0,0.17,-1.86,0.48,-2.28,-1.57,-2.16
2953,2930.0,141.0,111.0,962.0,204.0,-0.04,-2.63,0.14,-16.02,2.94,-37.33
2954,2931.0,140.0,106.0,903.0,183.0,0.09,-3.12,-0.03,4.66,9.21,0.47
2955,2932.0,133.0,103.0,752.0,166.0,0.5,6.96,-0.12,8.84,1.3,18.68
2956,2933.0,121.0,105.0,621.0,161.0,0.12,4.44,0.1,-2.54,-2.4,0.72
2957,2934.0,103.0,97.0,504.0,163.0,-0.33,1.81,-0.29,-9.49,-0.32,-6.02
2958,2935.0,94.0,91.0,419.0,146.0,-0.68,-3.19,-0.31,0.89,-0.46,-3.74
2959,2936.0,100.0,85.0,383.0,145.0,-0.44,-2.62,-0.39,2.66,-0.75,-1.08
2960,2937.0,87.0,79.0,352.0,139.0,-0.43,-1.59,-0.47,2.03,-0.71,-0.65
2961,2938.0,72.0,73.0,309.0,131.0,-0.47,-0.06,-0.65,0.61,-1.08,0.38
2962,2939.0,65.0,70.0,259.0,139.0,-0.51,0.03,-0.56,-0.42,-0.84,1.55
2963,2940.0,56.0,69.0,214.0,149.0,-0.54,-0.31,-0.54,-0.16,-0.51,0.92
2964,2941.0,48.0,65.0,191.0,139.0,-0.54,-0.9,-0.51,0.9,-0.41,-0.52
2965,2942.0,44.0,62.0,190.0,134.0,-0.39,-0.79,-0.57,0.77,-0.52,-0.07
2966,2943.0,47.0,59.0,174.0,132.0,-0.3,-0.68,-0.62,0.71,-0.65,0.23
2967,2944.0,41.0,57.0,146.0,133.0,-0.19,-0.44,-0.69,0.87,-0.72,0.85
2968,2945.0,38.0,55.0,126.0,133.0,-0.14,-0.17,-0.67,0.92,-0.66,0.55
2969,2946.0,35.0,56.0,108.0,137.0,-0.14,-0.11,-0.71,0.66,-0.57,0.49
2970,2947.0,33.0,57.0,93.0,135.0,-0.18,-0.09,-0.76,0.31,-0.37,0.35
2971,2948.0,31.0,53.0,84.0,139.0,-0.25,-0.21,-0.83,-0.04,-0.25,0.03
2972,2949.0,29.0,57.0,77.0,152.0,-0.28,-0.32,-0.85,0.0,-0.31,0.08
