,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
6622,6575.0,24.0,53.0,39.0,79.0,-0.01,-0.03,-0.0,0.0,0.04,-0.02
6623,6576.0,30.0,52.0,40.0,79.0,-0.01,-0.03,-0.0,-0.02,0.06,-0.04
6624,6577.0,29.0,51.0,39.0,80.0,-0.01,-0.01,0.0,0.01,0.04,-0.04
6625,6578.0,27.0,50.0,39.0,81.0,-0.01,-0.0,0.0,0.0,0.03,-0.03
6626,6579.0,27.0,53.0,40.0,79.0,-0.01,0.0,0.0,0.0,0.05,-0.03
6627,6580.0,26.0,55.0,40.0,81.0,-0.01,0.01,0.01,-0.05,0.06,-0.09
6628,6581.0,26.0,56.0,39.0,80.0,-0.01,0.01,-0.0,-0.1,0.06,-0.07
6629,6582.0,24.0,54.0,39.0,80.0,-0.01,0.01,0.0,-0.07,0.0,-0.18
6630,6583.0,24.0,49.0,40.0,77.0,0.02,-0.04,-0.01,-0.27,0.09,-0.18
6631,6584.0,25.0,51.0,39.0,83.0,0.0,-0.11,-0.02,0.14,0.05,-0.11
6632,6585.0,22.0,51.0,40.0,89.0,-0.0,-0.08,-0.02,0.01,-0.1,0.04
6633,6586.0,24.0,54.0,39.0,92.0,0.02,-0.0,-0.01,0.21,0.16,0.02
6634,6587.0,24.0,53.0,39.0,91.0,-0.0,0.04,-0.0,-0.05,0.0,0.0
6635,6588.0,24.0,53.0,39.0,93.0,0.0,0.06,0.01,-0.12,0.04,-0.03
6636,6589.0,24.0,52.0,40.0,93.0,-0.0,0.07,0.01,-0.13,0.06,-0.14
6637,6590.0,24.0,53.0,40.0,95.0,0.0,0.04,0.01,-0.17,0.04,-0.08
6638,6591.0,34.0,51.0,41.0,90.0,0.0,0.02,0.01,-0.17,0.08,-0.07
6639,6592.0,26.0,54.0,41.0,108.0,-0.01,0.01,0.01,-0.23,0.15,-0.12
6640,6593.0,30.0,60.0,40.0,101.0,-0.02,-0.04,-0.02,-0.24,0.22,0.0
6641,6594.0,29.0,56.0,40.0,105.0,-0.03,-0.12,-0.07,-0.26,0.24,-0.27
6642,6595.0,30.0,56.0,41.0,108.0,-0.07,-0.22,-0.09,-0.38,0.3,0.57
6643,6596.0,34.0,60.0,41.0,121.0,-0.03,-0.17,-0.04,-0.06,0.22,0.61
6644,6597.0,44.0,62.0,44.0,115.0,0.01,-0.03,0.06,-0.66,0.71,0.72
6645,6598.0,49.0,64.0,44.0,122.0,0.08,-0.07,0.15,-0.75,0.91,1.25
6646,6599.0,52.0,67.0,43.0,117.0,0.18,-0.05,0.29,-0.9,1.01,1.53
6647,6600.0,49.0,65.0,53.0,114.0,0.22,-0.02,0.31,-1.13,0.91,1.47
6648,6601.0,68.0,75.0,53.0,114.0,0.35,-0.18,0.39,-2.19,1.3,1.14
6649,6602.0,69.0,71.0,52.0,114.0,0.4,-0.26,0.56,-2.03,1.0,0.85
6650,6603.0,74.0,71.0,58.0,113.0,0.45,-0.32,0.67,-2.11,1.32,0.53
6651,6604.0,84.0,73.0,51.0,113.0,0.45,-0.41,0.8,-1.35,1.44,0.23
6652,6605.0,76.0,77.0,51.0,111.0,0.4,-0.41,0.94,-1.26,1.26,0.11
6653,6606.0,104.0,81.0,51.0,107.0,0.39,-0.42,1.0,-1.23,0.98,0.06
6654,6607.0,99.0,86.0,51.0,108.0,0.39,-0.39,1.06,0.02,0.84,0.05
6655,6608.0,116.0,96.0,52.0,107.0,0.39,-0.27,1.11,-0.35,0.68,-0.41
6656,6609.0,108.0,94.0,50.0,106.0,0.39,-0.25,1.1,0.14,0.69,-0.58
6657,6610.0,111.0,91.0,49.0,116.0,0.38,-0.15,1.09,0.36,0.68,-0.49
6658,6611.0,107.0,89.0,49.0,118.0,0.36,-0.19,1.0,0.54,0.41,-0.5
6659,6612.0,131.0,88.0,48.0,118.0,0.34,-0.23,0.95,0.83,0.3,-0.54
6660,6613.0,153.0,91.0,59.0,118.0,0.36,-0.32,0.81,1.51,0.19,-0.43
6661,6614.0,128.0,92.0,55.0,116.0,0.33,-0.3,0.64,1.9,0.11,-0.4
6662,6615.0,110.0,90.0,52.0,115.0,0.32,-0.25,0.52,1.97,0.04,-0.59
6663,6616.0,130.0,95.0,48.0,117.0,0.2,-0.16,0.36,1.75,-0.19,-0.93
6664,6617.0,129.0,100.0,48.0,117.0,0.17,0.15,0.21,1.63,-0.63,-0.72
6665,6618.0,137.0,100.0,49.0,122.0,0.12,0.29,0.15,1.45,-0.7,-0.74
6666,6619.0,132.0,101.0,50.0,123.0,0.04,0.28,0.03,0.25,-1.18,-0.99
6667,6620.0,134.0,101.0,48.0,120.0,-0.0,0.02,-0.04,0.0,-1.3,-0.97
6668,6621.0,112.0,101.0,52.0,120.0,-0.04,-0.12,-0.06,-0.34,-1.69,-1.01
6669,6622.0,103.0,99.0,51.0,119.0,-0.06,-0.26,-0.08,-0.28,-1.71,-0.71
6670,6623.0,97.0,96.0,55.0,118.0,-0.11,-0.17,-0.06,-0.25,-1.73,-0.66
6671,6624.0,88.0,99.0,54.0,115.0,-0.12,-0.15,-0.05,-0.08,-1.66,-0.68
6672,6625.0,85.0,101.0,52.0,107.0,-0.11,-0.12,0.02,-0.32,-1.57,-0.67
6673,6626.0,94.0,93.0,47.0,101.0,-0.11,-0.09,0.08,-0.15,-1.3,-0.39
6674,6627.0,87.0,95.0,48.0,99.0,-0.11,-0.06,0.09,0.1,-1.27,-0.36
6675,6628.0,80.0,92.0,58.0,113.0,-0.08,-0.01,0.08,0.13,-1.06,-0.29
6676,6629.0,75.0,88.0,54.0,115.0,-0.04,0.05,0.06,0.36,-0.83,-0.14
6677,6630.0,79.0,88.0,58.0,108.0,-0.02,0.08,0.04,0.35,-0.71,-0.11
6678,6631.0,75.0,86.0,54.0,112.0,0.0,0.05,-0.01,0.44,-0.37,-0.31
6679,6632.0,65.0,82.0,51.0,108.0,0.01,0.04,-0.03,0.45,-0.29,-0.26
6680,6633.0,57.0,82.0,49.0,105.0,0.01,0.05,-0.03,0.24,-0.15,-0.15
6681,6634.0,56.0,85.0,45.0,105.0,-0.01,0.07,-0.05,0.27,-0.07,-0.2
6682,6635.0,64.0,81.0,46.0,107.0,-0.02,0.06,-0.07,0.09,0.01,-0.11
6683,6636.0,61.0,77.0,44.0,100.0,-0.03,0.04,-0.08,0.07,0.04,-0.03
6684,6637.0,54.0,74.0,44.0,100.0,-0.02,0.02,-0.08,0.12,0.06,-0.06
6685,6638.0,47.0,72.0,43.0,99.0,-0.02,0.04,-0.08,0.12,0.09,-0.01
6686,6639.0,44.0,70.0,47.0,96.0,-0.02,0.03,-0.08,0.0,0.09,-0.01
6687,6640.0,44.0,71.0,42.0,99.0,-0.01,0.02,-0.07,0.03,0.14,-0.04
6688,6641.0,46.0,70.0,42.0,102.0,-0.01,0.02,-0.05,0.04,0.17,-0.04
6689,6642.0,42.0,70.0,41.0,101.0,-0.01,0.02,-0.05,0.0,0.2,-0.01
6690,6643.0,55.0,74.0,41.0,104.0,0.0,0.03,-0.04,0.17,0.22,-0.1
6691,6644.0,48.0,69.0,41.0,100.0,0.01,0.02,-0.03,-0.03,0.2,-0.08
6692,6645.0,54.0,68.0,40.0,101.0,0.01,0.01,-0.04,-0.01,0.25,-0.04
6693,6646.0,51.0,70.0,40.0,96.0,0.01,-0.01,-0.04,0.03,0.21,-0.09
6694,6647.0,52.0,72.0,40.0,101.0,0.0,0.02,-0.03,-0.04,0.2,-0.09
6695,6648.0,50.0,70.0,41.0,104.0,-0.0,0.02,-0.02,-0.15,0.14,-0.21
6696,6649.0,47.0,71.0,40.0,96.0,0.01,0.01,-0.01,0.02,0.21,-0.19
6697,6650.0,82.0,72.0,40.0,101.0,-0.0,0.03,0.0,0.01,0.22,-0.17
6698,6651.0,73.0,69.0,42.0,98.0,-0.01,0.04,0.01,0.01,0.23,-0.17
6699,6652.0,61.0,65.0,42.0,102.0,-0.01,0.02,0.02,-0.09,0.17,-0.02
6700,6653.0,61.0,80.0,41.0,95.0,-0.02,0.0,0.02,0.04,0.16,-0.09
6701,6654.0,53.0,76.0,40.0,105.0,-0.01,0.01,0.02,0.08,0.19,-0.09
6702,6655.0,61.0,75.0,40.0,108.0,-0.02,0.01,0.02,-0.04,0.21,-0.13
6703,6656.0,52.0,73.0,41.0,102.0,-0.03,-0.02,0.01,0.08,0.15,-0.16
6704,6657.0,47.0,78.0,40.0,102.0,-0.02,-0.03,0.01,0.08,0.17,-0.12
6705,6658.0,46.0,77.0,40.0,106.0,-0.03,-0.04,0.0,0.16,0.12,-0.12
6706,6659.0,52.0,80.0,40.0,101.0,-0.03,-0.02,0.01,0.05,0.02,-0.06
6707,6660.0,61.0,76.0,40.0,102.0,-0.02,-0.02,0.0,0.06,0.03,-0.09
6708,6661.0,61.0,76.0,39.0,104.0,-0.01,-0.0,0.0,0.14,0.01,-0.09
