,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
6181,6141.0,27.0,54.0,43.0,111.0,-0.0,0.03,0.02,0.18,0.13,0.19
6182,6142.0,26.0,54.0,42.0,109.0,0.01,0.06,0.05,0.14,-0.03,0.17
6183,6143.0,27.0,54.0,53.0,108.0,0.02,0.06,0.05,0.14,0.06,0.22
6184,6144.0,25.0,53.0,50.0,108.0,0.02,0.08,0.06,0.14,0.04,0.18
6185,6145.0,28.0,53.0,47.0,109.0,0.02,0.08,0.06,0.14,0.05,0.15
6186,6146.0,27.0,53.0,47.0,110.0,0.02,0.09,0.06,0.06,0.02,0.17
6187,6147.0,26.0,54.0,46.0,108.0,0.02,0.08,0.06,0.1,0.04,0.17
6188,6148.0,26.0,54.0,45.0,110.0,0.01,0.08,0.05,0.08,0.01,0.2
6189,6149.0,25.0,53.0,50.0,111.0,0.0,0.08,0.05,0.09,0.06,0.21
6190,6150.0,25.0,54.0,47.0,116.0,-0.01,0.08,0.05,0.01,0.08,0.14
6191,6151.0,25.0,54.0,46.0,115.0,-0.03,0.06,0.03,0.06,0.05,0.15
6192,6152.0,24.0,53.0,45.0,116.0,-0.05,0.04,0.03,0.03,0.06,0.2
6193,6153.0,24.0,54.0,45.0,118.0,-0.07,0.03,0.03,-0.02,0.07,0.2
6194,6154.0,24.0,53.0,45.0,119.0,-0.12,0.02,0.02,-0.09,0.12,0.2
6195,6155.0,25.0,54.0,53.0,121.0,-0.2,-0.0,0.03,0.02,0.23,0.38
6196,6156.0,29.0,53.0,53.0,118.0,-0.26,-0.02,0.03,0.06,0.26,0.53
6197,6157.0,31.0,52.0,58.0,123.0,-0.38,-0.04,0.05,0.42,0.44,1.52
6198,6158.0,30.0,57.0,54.0,137.0,-0.48,0.06,0.09,0.29,0.34,2.66
6199,6159.0,28.0,62.0,55.0,145.0,-0.49,0.14,0.14,0.55,0.96,4.06
6200,6160.0,28.0,71.0,111.0,153.0,-0.41,0.39,0.2,0.73,0.96,4.27
6201,6161.0,29.0,82.0,116.0,146.0,-0.29,0.62,0.11,1.24,1.84,3.09
6202,6162.0,78.0,94.0,167.0,138.0,-0.27,0.48,0.07,-1.06,2.41,2.2
6203,6163.0,70.0,101.0,208.0,125.0,-0.38,-1.09,0.05,-2.99,2.38,2.28
6204,6164.0,104.0,102.0,240.0,116.0,-0.29,-4.32,-0.05,-6.93,1.71,4.13
6205,6165.0,103.0,101.0,233.0,111.0,-0.15,-5.97,-0.05,-6.91,2.39,3.97
6206,6166.0,98.0,95.0,198.0,105.0,0.02,-9.03,-0.18,-5.26,2.29,4.15
6207,6167.0,101.0,96.0,188.0,99.0,0.14,-11.4,-0.02,-6.13,2.84,2.1
6208,6168.0,105.0,96.0,194.0,99.0,0.08,-12.16,0.09,-2.97,3.23,-0.77
6209,6169.0,114.0,99.0,201.0,97.0,-0.0,-12.01,0.23,-1.59,3.37,-1.6
6210,6170.0,119.0,100.0,184.0,106.0,-0.02,-10.36,0.47,0.12,2.9,-2.11
6211,6171.0,115.0,92.0,206.0,108.0,-0.08,-9.4,0.58,1.42,3.3,-1.77
6212,6172.0,106.0,92.0,224.0,104.0,-0.49,-7.61,0.8,-1.2,2.15,-2.02
6213,6173.0,108.0,97.0,228.0,105.0,-0.81,-6.56,1.18,-1.77,1.68,-3.13
6214,6174.0,110.0,94.0,196.0,104.0,-0.98,-6.26,1.28,-1.5,1.08,-2.37
6215,6175.0,101.0,92.0,170.0,101.0,-1.36,-5.65,1.56,-2.07,0.11,-1.53
6216,6176.0,101.0,92.0,151.0,102.0,-1.66,-5.15,1.73,-3.62,-0.99,-1.09
6217,6177.0,96.0,95.0,153.0,101.0,-1.76,-5.06,1.76,-3.93,-0.99,-1.15
6218,6178.0,87.0,92.0,142.0,101.0,-1.84,-4.89,1.76,-3.86,-2.1,-1.4
6219,6179.0,96.0,89.0,143.0,104.0,-1.68,-4.63,1.85,-3.25,-1.74,-0.95
6220,6180.0,86.0,90.0,163.0,106.0,-1.61,-4.46,1.75,-2.3,-1.74,-0.24
6221,6181.0,77.0,91.0,154.0,110.0,-1.42,-4.04,1.67,-1.86,-1.78,0.19
6222,6182.0,76.0,96.0,159.0,123.0,-1.22,-3.47,1.48,-1.57,-0.7,0.1
6223,6183.0,68.0,97.0,143.0,126.0,-1.18,-3.21,1.36,-1.81,-0.61,0.07
6224,6184.0,61.0,92.0,159.0,129.0,-1.04,-2.85,1.07,-0.85,-0.8,0.01
6225,6185.0,63.0,90.0,164.0,128.0,-0.8,-2.39,0.78,-0.09,-0.83,0.04
6226,6186.0,84.0,91.0,188.0,129.0,-0.67,-2.01,0.61,0.26,-0.76,-0.03
6227,6187.0,84.0,88.0,189.0,138.0,-0.44,-1.25,0.27,0.02,-0.55,0.06
6228,6188.0,76.0,86.0,181.0,135.0,-0.23,-0.71,-0.04,0.18,-0.47,0.25
6229,6189.0,82.0,91.0,178.0,140.0,-0.16,-0.46,-0.18,0.02,-0.11,0.15
6230,6190.0,87.0,85.0,157.0,141.0,-0.07,-0.11,-0.29,-0.27,0.21,-0.38
6231,6191.0,91.0,81.0,145.0,143.0,-0.07,0.1,-0.34,-0.71,0.32,-0.62
