,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
5429,5385.0,24.0,47.0,72.0,104.0,-0.02,-0.12,0.01,0.03,0.08,-0.01
5430,5386.0,24.0,47.0,66.0,100.0,-0.03,-0.11,-0.01,0.03,0.12,-0.07
5431,5387.0,23.0,50.0,63.0,96.0,-0.03,-0.11,-0.01,0.0,0.12,-0.1
5432,5388.0,24.0,49.0,59.0,100.0,-0.03,-0.12,0.02,-0.03,0.12,-0.14
5433,5389.0,24.0,48.0,56.0,101.0,-0.03,-0.11,0.01,-0.01,0.08,-0.14
5434,5390.0,23.0,48.0,54.0,108.0,-0.03,-0.12,0.0,0.0,0.08,-0.14
5435,5391.0,24.0,48.0,52.0,106.0,-0.02,-0.13,-0.0,0.03,0.05,-0.11
5436,5392.0,24.0,47.0,55.0,109.0,-0.03,-0.13,0.0,0.0,0.08,-0.05
5437,5393.0,24.0,47.0,53.0,118.0,-0.03,-0.13,0.0,0.03,0.08,-0.07
5438,5394.0,24.0,47.0,50.0,116.0,-0.04,-0.12,0.0,0.0,0.12,-0.06
5439,5395.0,24.0,47.0,48.0,120.0,-0.06,-0.13,0.0,-0.06,0.19,0.06
5440,5396.0,24.0,46.0,48.0,115.0,-0.08,-0.14,0.01,-0.14,0.22,0.0
5441,5397.0,24.0,46.0,50.0,116.0,-0.09,-0.16,0.01,-0.06,0.28,0.03
5442,5398.0,24.0,47.0,53.0,123.0,-0.09,-0.2,0.02,-0.24,0.34,0.31
5443,5399.0,24.0,45.0,52.0,113.0,-0.1,-0.19,0.09,0.24,0.25,0.67
5444,5400.0,24.0,57.0,55.0,116.0,-0.09,-0.13,0.1,0.34,0.19,0.8
5445,5401.0,24.0,64.0,64.0,113.0,-0.07,0.06,0.13,0.55,0.03,0.99
5446,5402.0,24.0,87.0,67.0,113.0,-0.01,0.5,0.13,0.9,-0.19,0.87
5447,5403.0,24.0,105.0,75.0,117.0,0.05,0.93,0.12,1.2,-0.34,0.61
5448,5404.0,23.0,107.0,94.0,108.0,0.2,2.11,0.16,1.5,-0.09,-0.74
5449,5405.0,24.0,125.0,99.0,120.0,0.44,3.45,0.31,1.11,-0.33,-0.47
5450,5406.0,25.0,145.0,151.0,127.0,0.59,4.12,0.37,1.17,0.22,-0.18
5451,5407.0,25.0,153.0,197.0,138.0,0.8,5.2,0.39,0.99,-0.15,0.14
5452,5408.0,26.0,157.0,184.0,145.0,0.95,5.63,0.53,0.16,0.22,-0.5
5453,5409.0,26.0,174.0,180.0,149.0,1.0,5.63,0.61,0.42,0.36,-0.82
5454,5410.0,34.0,217.0,191.0,145.0,1.01,5.56,0.65,0.67,0.58,-0.9
5455,5411.0,34.0,217.0,168.0,145.0,0.91,5.46,0.68,0.76,0.23,0.17
5456,5412.0,34.0,211.0,171.0,143.0,0.89,5.44,0.75,1.6,0.66,0.56
5457,5413.0,34.0,202.0,178.0,141.0,0.84,5.58,0.76,0.66,0.32,0.55
5458,5414.0,35.0,195.0,193.0,130.0,0.69,6.0,0.87,2.48,0.5,1.24
5459,5415.0,36.0,193.0,231.0,121.0,0.64,6.48,0.94,1.87,0.41,0.33
5460,5416.0,35.0,197.0,268.0,119.0,0.76,6.85,0.9,-2.41,0.27,-1.62
5461,5417.0,57.0,187.0,287.0,118.0,0.86,5.64,0.55,1.91,-0.55,-0.68
5462,5418.0,59.0,207.0,229.0,121.0,0.92,5.31,0.51,0.98,-0.53,-0.79
5463,5419.0,52.0,191.0,207.0,115.0,0.96,4.16,0.4,-0.61,-0.75,-0.81
5464,5420.0,47.0,174.0,177.0,111.0,0.83,2.01,0.15,-0.41,-0.59,-0.98
5465,5421.0,43.0,169.0,186.0,110.0,0.76,1.08,0.04,-0.02,-0.83,-0.87
5466,5422.0,39.0,159.0,168.0,106.0,0.62,0.34,-0.06,0.52,-1.12,-1.19
5467,5423.0,37.0,150.0,163.0,114.0,0.5,0.52,-0.04,0.91,-0.93,-0.85
5468,5424.0,34.0,149.0,134.0,98.0,0.46,0.76,-0.01,0.17,-0.43,-1.05
5469,5425.0,33.0,137.0,116.0,109.0,0.26,0.82,0.06,-0.87,-0.11,-2.23
5470,5426.0,31.0,127.0,105.0,112.0,0.05,0.38,0.11,-0.18,0.21,-1.01
5471,5427.0,29.0,116.0,97.0,130.0,0.01,0.26,0.11,-0.03,0.24,-0.51
5472,5428.0,29.0,116.0,87.0,136.0,-0.0,0.15,0.1,0.37,0.21,0.22
5473,5429.0,79.0,120.0,323.0,144.0,0.09,0.19,0.09,0.4,0.19,0.42
5474,5430.0,94.0,113.0,630.0,147.0,0.23,0.18,0.08,0.6,0.14,0.48
5475,5431.0,122.0,113.0,774.0,146.0,0.49,0.19,0.07,0.52,0.0,0.22
5476,5432.0,148.0,106.0,965.0,162.0,0.52,-0.09,0.02,-0.45,0.33,0.12
5477,5433.0,128.0,95.0,904.0,171.0,0.49,-0.34,-0.03,-0.83,0.62,0.03
5478,5434.0,123.0,90.0,757.0,182.0,0.49,-1.02,-0.17,-0.67,1.33,-2.53
5479,5435.0,103.0,86.0,689.0,190.0,0.29,-1.03,0.17,-2.91,0.03,-2.3
5480,5436.0,91.0,85.0,561.0,189.0,0.09,-1.06,0.58,-3.35,-1.74,-1.97
5481,5437.0,78.0,84.0,545.0,202.0,-1.03,-1.35,0.78,0.54,-0.99,-1.14
5482,5438.0,67.0,79.0,478.0,210.0,-0.4,-1.72,0.0,6.2,2.21,3.14
5483,5439.0,59.0,74.0,386.0,185.0,-0.14,-1.41,0.14,3.71,-3.08,1.47
5484,5440.0,52.0,71.0,355.0,177.0,-0.56,0.15,0.49,0.5,-0.04,-0.38
5485,5441.0,46.0,67.0,339.0,174.0,-0.62,-0.56,0.15,-1.16,0.05,-0.52
5486,5442.0,40.0,66.0,284.0,162.0,-0.55,-1.01,0.14,-0.36,-0.21,-0.56
5487,5443.0,37.0,64.0,252.0,155.0,-0.45,-1.46,0.12,0.73,-0.38,-0.19
5488,5444.0,35.0,60.0,212.0,152.0,-0.42,-1.36,0.14,0.69,-0.18,-0.21
5489,5445.0,33.0,57.0,182.0,140.0,-0.4,-1.32,0.14,0.73,-0.1,-0.43
5490,5446.0,31.0,56.0,163.0,136.0,-0.4,-1.3,0.11,0.57,-0.15,-0.32
5491,5447.0,29.0,56.0,148.0,131.0,-0.44,-1.45,0.07,0.42,-0.17,-0.3
5492,5448.0,28.0,54.0,128.0,147.0,-0.46,-1.56,0.05,0.36,-0.19,-0.36
5493,5449.0,28.0,55.0,116.0,144.0,-0.47,-1.82,-0.02,0.53,-0.19,-0.22
5494,5450.0,28.0,54.0,114.0,135.0,-0.51,-2.07,-0.06,0.67,-0.28,-0.28
5495,5451.0,26.0,49.0,110.0,131.0,-0.52,-2.17,-0.07,0.73,-0.29,-0.26
5496,5452.0,26.0,56.0,99.0,142.0,-0.55,-2.36,-0.11,0.66,-0.31,-0.05
5497,5453.0,26.0,58.0,130.0,143.0,-0.59,-2.65,-0.18,0.13,-0.35,-0.24
5498,5454.0,26.0,56.0,118.0,140.0,-0.6,-2.89,-0.23,-0.04,-0.36,-0.16
5499,5455.0,28.0,58.0,104.0,139.0,-0.64,-3.51,-0.33,-0.01,-0.31,-0.38
5500,5456.0,29.0,62.0,101.0,133.0,-0.67,-4.14,-0.45,0.45,-0.31,-0.51
5501,5457.0,28.0,63.0,108.0,134.0,-0.69,-4.36,-0.48,0.61,-0.27,-0.64
5502,5458.0,27.0,61.0,98.0,125.0,-0.73,-4.69,-0.56,0.13,-0.19,-1.17
5503,5459.0,26.0,64.0,85.0,119.0,-0.78,-5.25,-0.69,0.29,-0.21,-1.62
5504,5460.0,25.0,64.0,78.0,135.0,-0.76,-5.56,-0.75,0.7,-0.1,-1.66
5505,5461.0,29.0,65.0,95.0,133.0,-0.76,-5.96,-0.75,1.02,0.07,-1.15
5506,5462.0,31.0,67.0,84.0,121.0,-0.84,-5.68,-0.65,1.91,0.05,-0.86
5507,5463.0,29.0,66.0,80.0,110.0,-0.9,-5.15,-0.56,2.32,0.03,-0.29
5508,5464.0,30.0,67.0,109.0,117.0,-0.97,-3.69,-0.39,1.95,0.3,-0.29
5509,5465.0,30.0,67.0,120.0,109.0,-1.04,-2.43,-0.32,1.62,0.33,-0.05
5510,5466.0,33.0,71.0,120.0,114.0,-1.04,-1.94,-0.33,1.64,0.33,-0.1
5511,5467.0,36.0,69.0,132.0,113.0,-0.94,-1.18,-0.36,1.61,0.54,-0.29
5512,5468.0,39.0,68.0,173.0,117.0,-0.84,-0.81,-0.38,1.2,0.4,0.17
5513,5469.0,39.0,71.0,168.0,122.0,-0.78,-0.73,-0.4,1.02,0.15,0.35
5514,5470.0,37.0,72.0,182.0,114.0,-0.66,-0.51,-0.46,0.03,-0.13,1.36
5515,5471.0,37.0,72.0,218.0,105.0,-0.45,-0.65,-0.5,-4.32,-0.34,3.33
5516,5472.0,36.0,70.0,199.0,103.0,-0.23,-1.23,-0.32,-6.21,0.25,3.49
5517,5473.0,34.0,71.0,168.0,103.0,0.11,-1.32,0.23,1.3,0.46,1.07
5518,5474.0,31.0,71.0,148.0,113.0,0.1,-0.7,0.2,2.26,0.51,-0.46
5519,5475.0,29.0,71.0,156.0,131.0,0.0,0.1,-0.03,1.94,0.4,-0.69
5520,5476.0,29.0,70.0,148.0,124.0,-0.11,0.47,-0.11,0.65,-0.19,-0.65
5521,5477.0,28.0,68.0,135.0,114.0,-0.13,0.36,-0.15,-0.53,-0.52,0.28
5522,5478.0,27.0,68.0,122.0,106.0,-0.07,-0.11,-0.06,-0.32,-0.41,0.44
5523,5479.0,27.0,66.0,111.0,103.0,-0.03,-0.03,0.04,-0.01,-0.21,0.18
5524,5480.0,26.0,66.0,108.0,99.0,-0.03,-0.01,0.06,0.33,-0.03,-0.24
5525,5481.0,25.0,67.0,105.0,99.0,-0.06,0.04,0.02,0.31,0.0,-0.32
5526,5482.0,25.0,65.0,98.0,100.0,-0.07,0.09,-0.02,0.0,0.12,-0.17
5527,5483.0,24.0,66.0,100.0,94.0,-0.05,0.1,-0.02,-0.07,0.23,0.0
5528,5484.0,24.0,63.0,102.0,90.0,-0.01,0.13,-0.02,-0.14,0.24,0.03
5529,5485.0,24.0,62.0,108.0,86.0,0.02,0.14,-0.01,0.0,0.25,-0.05
5530,5486.0,24.0,64.0,97.0,90.0,0.02,0.14,0.0,0.07,0.22,-0.17
5531,5487.0,24.0,63.0,97.0,94.0,-0.0,0.15,-0.01,0.0,0.18,-0.14
5532,5488.0,24.0,63.0,94.0,92.0,-0.01,0.13,-0.01,-0.17,0.1,-0.25
5533,5489.0,24.0,61.0,95.0,91.0,-0.01,0.12,0.0,-0.13,0.06,-0.23
5534,5490.0,24.0,60.0,92.0,89.0,-0.01,0.06,0.01,-0.13,0.04,-0.19
5535,5491.0,23.0,60.0,93.0,86.0,-0.01,0.03,0.02,0.03,-0.03,-0.12
5536,5492.0,23.0,59.0,83.0,89.0,-0.02,0.02,0.04,0.06,0.0,-0.04
5537,5493.0,23.0,58.0,87.0,89.0,-0.03,0.02,0.05,-0.02,0.03,-0.09
5538,5494.0,24.0,57.0,85.0,89.0,-0.03,-0.0,0.06,-0.24,-0.01,-0.1
5539,5495.0,23.0,57.0,78.0,87.0,-0.03,-0.04,0.06,0.0,0.14,-0.06
