,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
787,782.0,29.0,95.0,95.0,51.0,-0.01,-0.04,-0.04,0.14,-0.05,0.14
788,783.0,82.0,104.0,96.0,69.0,0.02,0.06,-0.05,0.62,-0.17,0.15
789,784.0,73.0,119.0,105.0,101.0,-0.04,0.15,-0.06,1.25,-0.55,0.2
790,785.0,75.0,125.0,132.0,100.0,-0.07,0.13,-0.05,1.25,-1.16,1.02
791,786.0,84.0,124.0,186.0,90.0,-0.05,-0.12,-0.13,1.07,-1.45,2.19
792,787.0,88.0,124.0,201.0,81.0,-0.1,-0.6,-0.1,0.9,-0.63,3.12
793,788.0,103.0,134.0,225.0,72.0,-0.23,-0.81,0.02,1.69,-1.01,2.6
794,789.0,100.0,130.0,228.0,67.0,-0.39,-1.17,0.17,0.53,-2.14,1.67
795,790.0,87.0,149.0,219.0,63.0,-0.51,-0.68,0.46,4.62,-1.54,1.49
796,791.0,85.0,162.0,281.0,58.0,-0.51,-0.26,0.52,4.35,-1.66,1.78
797,792.0,84.0,155.0,279.0,54.0,-0.52,0.3,0.33,0.91,-2.06,1.5
798,793.0,96.0,151.0,273.0,60.0,-0.52,0.13,0.27,0.66,-1.87,1.46
799,794.0,89.0,149.0,260.0,67.0,-0.54,-0.01,0.24,0.32,-1.69,1.59
800,795.0,97.0,152.0,301.0,66.0,-0.53,-0.61,0.2,-1.23,-1.51,0.29
801,796.0,96.0,152.0,297.0,61.0,-0.47,-0.55,0.16,-0.12,-0.73,0.22
802,797.0,95.0,154.0,281.0,56.0,-0.55,-0.24,0.06,-0.24,-0.32,0.11
803,798.0,89.0,162.0,282.0,54.0,-0.53,0.18,-0.21,-1.52,-0.38,-0.28
804,799.0,120.0,157.0,273.0,56.0,-0.47,-0.02,-0.41,-2.65,-0.09,-0.34
805,800.0,123.0,177.0,271.0,58.0,-0.45,-0.2,-0.52,-2.72,0.34,-0.43
806,801.0,141.0,171.0,289.0,73.0,-0.41,-0.57,-0.75,-3.01,0.64,-0.54
807,802.0,125.0,173.0,271.0,85.0,-0.37,-0.39,-0.93,-1.53,1.35,-1.38
808,803.0,153.0,169.0,270.0,83.0,-0.36,-0.03,-1.03,-0.95,1.53,-1.32
809,804.0,156.0,167.0,314.0,152.0,-0.35,0.44,-1.19,-2.11,2.08,-1.04
810,805.0,136.0,181.0,314.0,169.0,-0.3,-0.01,-1.11,-1.99,2.29,-1.05
811,806.0,158.0,183.0,338.0,173.0,-0.27,-0.26,-1.0,-0.37,2.39,-1.54
812,807.0,143.0,202.0,334.0,153.0,-0.21,-0.15,-0.74,0.67,2.12,-1.23
813,808.0,132.0,195.0,324.0,181.0,-0.19,0.09,-0.64,0.16,1.28,-1.13
814,809.0,158.0,181.0,318.0,172.0,-0.15,0.36,-0.45,-0.12,1.01,-1.03
815,810.0,141.0,180.0,322.0,169.0,-0.07,0.15,-0.25,-0.23,0.82,-0.66
816,811.0,136.0,206.0,288.0,194.0,-0.05,0.07,-0.16,0.09,0.71,-0.4
817,812.0,155.0,190.0,293.0,170.0,-0.03,0.04,-0.02,0.0,0.61,-0.33
818,813.0,157.0,197.0,293.0,150.0,-0.05,-0.03,0.05,-0.22,0.11,-0.29
819,814.0,142.0,190.0,287.0,137.0,-0.04,-0.05,0.06,-0.27,0.01,-0.29
820,815.0,118.0,193.0,269.0,124.0,-0.0,-0.01,0.03,-0.34,-0.05,-0.27
821,816.0,125.0,186.0,242.0,124.0,0.03,0.06,-0.02,-0.27,-0.15,-0.04
822,817.0,143.0,179.0,221.0,128.0,0.05,0.12,-0.03,-0.4,-0.1,0.17
823,818.0,138.0,176.0,259.0,116.0,0.05,0.1,-0.03,-0.33,-0.08,0.28
824,819.0,145.0,179.0,250.0,112.0,0.03,0.08,-0.03,-0.13,-0.23,0.22
825,820.0,124.0,185.0,240.0,104.0,0.03,0.08,-0.03,-0.14,-0.18,0.35
826,821.0,124.0,177.0,224.0,103.0,0.04,0.02,-0.02,-0.05,-0.14,0.26
827,822.0,157.0,178.0,241.0,110.0,0.05,0.06,-0.0,0.2,-0.12,0.17
828,823.0,143.0,182.0,240.0,112.0,0.05,0.11,0.0,0.04,-0.25,0.25
829,824.0,134.0,174.0,229.0,103.0,0.04,0.12,0.01,0.0,-0.11,0.33
830,825.0,122.0,174.0,240.0,104.0,0.03,0.03,-0.01,-0.08,-0.14,0.35
831,826.0,125.0,176.0,229.0,91.0,0.01,-0.02,-0.0,0.12,-0.2,0.27
832,827.0,157.0,165.0,213.0,99.0,-0.01,-0.04,0.0,0.17,-0.28,0.29
833,828.0,139.0,166.0,200.0,101.0,0.0,-0.0,-0.02,0.19,-0.19,0.14
834,829.0,131.0,161.0,202.0,90.0,0.0,0.01,-0.03,0.32,-0.1,0.28
835,830.0,129.0,165.0,211.0,104.0,-0.01,0.01,-0.01,0.18,-0.08,0.37
836,831.0,136.0,171.0,193.0,100.0,-0.02,-0.05,0.03,0.28,-0.09,0.24
837,832.0,115.0,163.0,188.0,101.0,-0.02,-0.04,0.05,0.11,-0.14,0.03
838,833.0,123.0,163.0,185.0,110.0,-0.01,-0.0,0.05,0.21,-0.19,0.02
839,834.0,114.0,153.0,194.0,104.0,-0.01,0.05,0.04,0.06,-0.11,0.16
840,835.0,105.0,147.0,187.0,93.0,-0.02,0.05,0.04,-0.08,-0.08,0.06
841,836.0,118.0,143.0,172.0,93.0,-0.02,-0.03,0.06,0.01,-0.12,0.0
842,837.0,112.0,141.0,176.0,84.0,-0.01,-0.05,0.06,-0.06,-0.17,0.16
843,838.0,98.0,143.0,162.0,88.0,-0.02,-0.05,0.05,-0.09,-0.11,0.08
844,839.0,102.0,144.0,190.0,97.0,-0.02,-0.07,0.04,-0.16,-0.09,0.04
845,840.0,86.0,138.0,177.0,104.0,-0.02,-0.07,0.04,0.0,0.01,-0.14
846,841.0,83.0,134.0,183.0,93.0,-0.01,-0.05,0.05,0.09,-0.09,-0.27
847,842.0,81.0,132.0,167.0,84.0,0.02,0.02,0.06,0.24,-0.05,-0.26
848,843.0,71.0,128.0,154.0,77.0,0.05,0.11,0.07,-0.01,0.0,-0.1
849,844.0,77.0,132.0,152.0,78.0,0.05,0.12,0.09,-0.11,-0.01,-0.01
850,845.0,72.0,129.0,146.0,73.0,0.06,0.05,0.12,-0.16,-0.03,-0.04
851,846.0,62.0,124.0,137.0,66.0,0.08,0.01,0.15,-0.08,0.08,-0.07
852,847.0,59.0,128.0,126.0,62.0,0.08,0.0,0.17,-0.13,0.2,-0.03
853,848.0,52.0,122.0,123.0,58.0,0.11,-0.02,0.21,-0.03,0.29,-0.08
854,849.0,47.0,117.0,115.0,59.0,0.15,0.0,0.26,0.03,0.45,-0.12
855,850.0,68.0,118.0,118.0,55.0,0.17,0.01,0.3,-0.13,0.55,-0.44
856,851.0,62.0,123.0,109.0,52.0,0.2,0.03,0.36,-0.22,0.52,-0.46
857,852.0,54.0,123.0,108.0,49.0,0.26,0.11,0.42,-0.23,0.59,-0.46
858,853.0,48.0,119.0,102.0,54.0,0.28,0.2,0.42,-0.43,0.9,-0.75
859,854.0,42.0,125.0,98.0,64.0,0.3,0.33,0.47,-0.81,0.49,-0.43
