,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
4569,4529.0,22.0,88.0,169.0,19.0,-0.05,-0.12,0.04,-0.05,0.04,0.1
4570,4530.0,21.0,88.0,167.0,19.0,-0.07,-0.2,0.07,-0.07,0.1,0.12
4571,4531.0,21.0,89.0,164.0,21.0,-0.09,-0.27,0.1,-0.25,0.01,0.14
4572,4532.0,21.0,95.0,167.0,21.0,-0.1,-0.31,0.12,0.0,0.1,0.22
4573,4533.0,22.0,93.0,165.0,21.0,-0.09,-0.39,0.17,0.3,0.25,0.3
4574,4534.0,22.0,94.0,161.0,22.0,-0.09,-0.43,0.2,-0.12,0.21,0.28
4575,4535.0,22.0,98.0,156.0,26.0,-0.12,-0.66,0.29,-0.23,0.17,0.31
4576,4536.0,21.0,101.0,164.0,25.0,-0.17,-0.96,0.41,0.07,0.09,0.63
4577,4537.0,21.0,101.0,166.0,24.0,-0.19,-1.12,0.47,-0.07,0.54,1.11
4578,4538.0,21.0,102.0,168.0,20.0,-0.27,-1.51,0.59,-0.09,0.66,0.96
4579,4539.0,21.0,104.0,183.0,25.0,-0.21,-1.73,0.8,0.16,0.67,0.38
4580,4540.0,24.0,102.0,189.0,24.0,-0.23,-1.9,0.89,-0.56,0.22,-1.23
4581,4541.0,32.0,99.0,200.0,24.0,-0.3,-2.76,1.13,-0.34,0.22,-0.86
4582,4542.0,47.0,101.0,226.0,23.0,-0.18,-3.12,1.31,0.93,0.28,-0.81
4583,4543.0,41.0,104.0,239.0,24.0,-0.21,-3.07,1.45,1.28,0.01,-0.16
4584,4544.0,52.0,107.0,243.0,26.0,-0.01,-3.07,1.75,1.26,0.05,-0.42
4585,4545.0,87.0,108.0,250.0,29.0,0.08,-3.31,1.96,0.05,-0.34,-1.19
4586,4546.0,114.0,111.0,255.0,30.0,0.16,-3.56,2.0,-0.46,-0.63,-1.17
4587,4547.0,131.0,115.0,257.0,29.0,0.16,-4.19,2.02,-0.49,-0.36,-0.61
4588,4548.0,144.0,126.0,253.0,35.0,0.41,-4.75,2.02,-1.11,-0.65,-0.5
4589,4549.0,134.0,132.0,288.0,35.0,0.52,-5.06,2.0,-2.01,-0.29,-0.83
