,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
5733,5679.0,21.0,87.0,83.0,20.0,0.0,-0.03,-0.01,0.0,-0.05,0.02
5734,5680.0,22.0,88.0,82.0,20.0,0.0,-0.03,-0.0,-0.01,0.0,0.01
5735,5681.0,21.0,90.0,78.0,20.0,-0.0,-0.02,-0.01,0.08,0.03,0.05
5736,5682.0,22.0,91.0,77.0,22.0,0.0,-0.02,-0.01,-0.02,-0.07,-0.01
5737,5683.0,22.0,92.0,76.0,28.0,-0.01,-0.02,-0.01,-0.1,-0.12,0.1
5738,5684.0,22.0,92.0,75.0,44.0,-0.0,-0.03,-0.02,0.08,-0.06,0.21
5739,5685.0,21.0,98.0,76.0,45.0,0.01,-0.09,-0.03,-0.09,0.04,0.44
5740,5686.0,22.0,102.0,77.0,54.0,0.02,-0.18,-0.05,-0.23,0.06,0.64
5741,5687.0,21.0,105.0,79.0,70.0,0.01,-0.53,-0.12,0.11,-0.11,0.97
5742,5688.0,22.0,108.0,79.0,65.0,-0.09,-1.21,-0.14,-0.64,0.03,1.89
5743,5689.0,23.0,112.0,82.0,76.0,-0.15,-1.43,-0.03,0.16,-0.39,2.46
5744,5690.0,21.0,113.0,83.0,80.0,-0.24,-1.79,0.15,-0.54,0.22,2.93
5745,5691.0,21.0,109.0,80.0,81.0,-0.5,-2.53,0.34,-1.11,0.32,3.01
5746,5692.0,22.0,113.0,78.0,86.0,-0.62,-2.83,0.45,-1.03,0.33,2.65
5747,5693.0,21.0,124.0,78.0,86.0,-0.86,-3.43,0.67,-1.96,-0.13,1.2
5748,5694.0,22.0,134.0,79.0,81.0,-0.8,-4.27,1.06,0.91,-0.7,-0.03
5749,5695.0,22.0,129.0,81.0,80.0,-1.23,-4.32,0.99,2.65,0.25,0.7
5750,5696.0,25.0,146.0,102.0,78.0,-1.38,-3.83,1.17,1.32,0.22,0.48
5751,5697.0,25.0,145.0,100.0,82.0,-1.68,-3.44,1.2,0.88,-0.07,0.08
5752,5698.0,17.0,153.0,101.0,85.0,-1.76,-3.34,1.21,0.41,-0.29,0.61
5753,5699.0,24.0,151.0,104.0,85.0,-1.77,-3.51,1.24,-0.05,-0.11,0.94
5754,5700.0,24.0,159.0,103.0,82.0,-1.79,-3.89,1.28,-0.56,-0.04,0.91
5755,5701.0,25.0,171.0,110.0,68.0,-1.84,-4.01,1.35,0.0,0.0,1.03
5756,5702.0,24.0,171.0,106.0,71.0,-1.78,-4.39,1.4,-1.19,-0.25,0.19
5757,5703.0,24.0,164.0,109.0,70.0,-1.78,-4.66,1.44,-0.62,0.33,0.75
5758,5704.0,25.0,165.0,112.0,68.0,-1.81,-4.67,1.4,-0.1,0.13,0.79
5759,5705.0,23.0,170.0,117.0,62.0,-1.7,-4.36,1.4,-0.63,0.4,0.73
5760,5706.0,23.0,168.0,124.0,63.0,-2.02,-3.97,1.4,-0.39,0.66,0.75
5761,5707.0,22.0,156.0,144.0,58.0,-2.02,-3.76,1.39,-0.47,0.74,0.37
5762,5708.0,21.0,146.0,144.0,57.0,-2.22,-3.33,1.32,-0.5,1.4,0.04
5763,5709.0,23.0,137.0,139.0,57.0,-1.98,-2.56,1.21,0.15,1.2,-0.35
5764,5710.0,22.0,128.0,155.0,56.0,-1.8,-2.18,1.13,0.0,1.29,-0.42
5765,5711.0,22.0,126.0,177.0,61.0,-1.3,-1.54,1.04,-0.11,1.33,-1.69
