,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
1547,1533.0,21.0,113.0,123.0,37.0,-0.01,-0.22,0.06,-0.02,0.17,0.67
1548,1534.0,21.0,115.0,122.0,41.0,-0.06,-0.24,0.14,0.4,0.54,1.28
1549,1535.0,19.0,115.0,119.0,40.0,-0.15,-0.3,0.29,0.39,0.63,1.92
1550,1536.0,21.0,118.0,119.0,41.0,-0.2,-0.59,0.54,0.12,1.03,1.74
1551,1537.0,21.0,116.0,116.0,37.0,-0.44,-0.95,0.93,1.02,1.42,1.55
1552,1538.0,21.0,116.0,114.0,39.0,-0.58,-1.08,1.17,3.61,1.56,1.43
1553,1539.0,21.0,119.0,117.0,36.0,-0.93,-0.93,1.63,4.1,1.49,1.7
1554,1540.0,21.0,113.0,115.0,35.0,-1.23,-0.24,1.82,3.7,0.99,1.66
1555,1541.0,22.0,110.0,112.0,30.0,-1.36,0.01,1.93,3.4,0.41,2.25
1556,1542.0,21.0,118.0,109.0,35.0,-1.52,0.2,2.22,3.59,0.78,2.1
1557,1543.0,22.0,123.0,110.0,38.0,-1.7,-0.05,2.55,2.38,0.42,0.58
1558,1544.0,22.0,127.0,108.0,36.0,-2.19,-0.09,2.77,3.69,-0.17,1.64
1559,1545.0,22.0,129.0,106.0,35.0,-1.75,0.23,2.73,2.0,0.71,0.95
1560,1546.0,22.0,132.0,110.0,36.0,-1.46,0.55,3.11,3.36,0.19,0.8
1561,1547.0,22.0,129.0,109.0,36.0,-1.28,0.97,2.99,2.02,1.16,0.2
1562,1548.0,22.0,146.0,111.0,35.0,-1.45,1.74,3.02,1.72,1.45,0.23
1563,1549.0,26.0,155.0,120.0,32.0,-1.5,1.94,3.06,1.52,1.19,-0.11
1564,1550.0,26.0,172.0,122.0,39.0,-1.43,2.11,3.04,1.39,1.4,-0.79
1565,1551.0,29.0,172.0,127.0,44.0,-1.43,2.79,2.99,1.54,1.93,-1.13
1566,1552.0,33.0,174.0,130.0,53.0,-1.54,3.68,2.85,0.53,1.87,-1.37
1567,1553.0,43.0,170.0,128.0,48.0,-1.46,4.06,2.75,-0.01,2.07,-1.87
1568,1554.0,56.0,185.0,137.0,53.0,-1.63,4.39,2.6,-0.98,1.81,-1.95
1569,1555.0,59.0,190.0,138.0,57.0,-1.58,4.3,2.47,0.15,2.39,-1.72
1570,1556.0,66.0,204.0,132.0,65.0,-1.63,4.2,2.38,-0.42,2.21,-1.71
1571,1557.0,67.0,218.0,133.0,78.0,-1.58,3.8,2.15,-0.67,2.07,-2.56
1572,1558.0,80.0,240.0,133.0,82.0,-1.64,3.39,2.02,-0.78,2.3,-2.9
1573,1559.0,82.0,244.0,131.0,82.0,-1.59,3.12,1.92,-0.81,1.76,-2.86
1574,1560.0,74.0,263.0,129.0,82.0,-1.54,2.64,1.8,-0.9,1.82,-2.45
1575,1561.0,74.0,294.0,131.0,87.0,-1.44,2.23,1.64,-0.64,1.54,-1.58
1576,1562.0,63.0,269.0,126.0,82.0,-1.38,2.07,1.59,-0.14,1.49,-1.17
1577,1563.0,56.0,260.0,123.0,91.0,-1.22,1.95,1.41,0.04,1.46,-1.18
1578,1564.0,51.0,262.0,125.0,106.0,-1.12,1.98,1.24,-0.32,1.25,-1.57
1579,1565.0,45.0,270.0,138.0,101.0,-1.1,1.92,1.16,-0.36,0.77,-1.43
1580,1566.0,41.0,276.0,159.0,122.0,-1.08,1.66,1.08,-0.29,0.68,-1.53
1581,1567.0,48.0,257.0,146.0,125.0,-1.05,1.46,1.01,-0.03,0.53,-0.89
1582,1568.0,42.0,261.0,154.0,125.0,-1.0,1.38,0.97,-0.19,0.72,-0.66
1583,1569.0,38.0,252.0,150.0,127.0,-0.91,1.4,0.87,-0.27,0.73,-0.37
1584,1570.0,35.0,251.0,145.0,142.0,-0.79,1.28,0.78,-0.99,0.58,-0.52
1585,1571.0,36.0,246.0,135.0,144.0,-0.76,1.14,0.74,-1.19,0.28,-1.08
1586,1572.0,31.0,234.0,145.0,153.0,-0.66,0.78,0.68,-1.11,0.28,-1.21
1587,1573.0,31.0,236.0,173.0,166.0,-0.55,0.48,0.63,-0.92,0.28,-1.09
1588,1574.0,33.0,230.0,166.0,172.0,-0.52,0.36,0.59,-0.86,0.24,-0.58
1589,1575.0,32.0,235.0,156.0,169.0,-0.43,0.23,0.53,-0.86,0.25,-0.29
1590,1576.0,30.0,230.0,149.0,193.0,-0.33,0.16,0.43,-1.19,0.08,-0.39
1591,1577.0,32.0,219.0,145.0,195.0,-0.28,0.1,0.39,-0.82,0.01,-0.71
1592,1578.0,36.0,228.0,150.0,201.0,-0.16,0.03,0.31,-0.8,0.03,-0.87
1593,1579.0,35.0,229.0,148.0,207.0,-0.07,0.06,0.23,-0.45,0.18,-0.53
1594,1580.0,33.0,231.0,142.0,210.0,-0.02,0.09,0.17,-0.33,0.06,0.2
1595,1581.0,32.0,225.0,136.0,201.0,0.04,0.13,0.11,-0.27,0.07,0.27
1596,1582.0,32.0,220.0,129.0,208.0,0.07,0.07,0.08,-0.18,-0.04,0.03
1597,1583.0,33.0,219.0,126.0,208.0,0.06,0.06,0.06,0.0,-0.08,-0.1
1598,1584.0,36.0,213.0,128.0,204.0,0.08,0.06,0.04,0.11,-0.04,0.05
1599,1585.0,40.0,202.0,128.0,209.0,0.09,0.11,0.01,0.19,0.04,0.32
1600,1586.0,39.0,199.0,127.0,211.0,0.09,0.15,-0.0,0.06,-0.03,0.56
1601,1587.0,36.0,186.0,122.0,203.0,0.08,0.13,-0.0,0.09,-0.02,0.52
1602,1588.0,36.0,194.0,115.0,204.0,0.04,-0.0,0.03,0.11,-0.09,0.37
1603,1589.0,40.0,191.0,109.0,207.0,0.03,-0.04,0.03,-0.06,-0.04,0.31
1604,1590.0,50.0,190.0,113.0,209.0,0.02,-0.05,0.02,-0.03,0.05,0.33
1605,1591.0,48.0,190.0,113.0,207.0,0.01,0.0,0.01,0.11,-0.01,0.14
1606,1592.0,51.0,193.0,112.0,212.0,0.0,0.02,0.01,0.17,0.01,0.23
1607,1593.0,46.0,184.0,110.0,209.0,-0.0,0.03,0.0,0.06,0.07,0.38
1608,1594.0,42.0,173.0,102.0,198.0,-0.02,-0.03,0.01,0.06,0.03,0.41
1609,1595.0,40.0,179.0,96.0,210.0,-0.03,-0.06,0.01,0.09,0.01,0.23
1610,1596.0,38.0,170.0,93.0,206.0,-0.03,-0.1,0.01,0.09,0.01,0.15
1611,1597.0,42.0,168.0,94.0,207.0,-0.03,-0.09,0.02,0.13,0.0,0.02
1612,1598.0,44.0,171.0,98.0,204.0,-0.02,-0.07,0.03,0.14,0.07,0.01
1613,1599.0,44.0,170.0,97.0,200.0,-0.01,-0.05,0.03,0.11,0.1,0.1
1614,1600.0,41.0,173.0,93.0,197.0,0.01,-0.03,0.04,-0.06,0.06,0.19
1615,1601.0,38.0,164.0,92.0,195.0,0.02,-0.04,0.04,-0.04,0.0,0.14
1616,1602.0,36.0,164.0,89.0,192.0,0.02,-0.04,0.03,-0.04,0.01,0.11
1617,1603.0,43.0,160.0,90.0,195.0,0.03,-0.04,0.02,-0.01,0.14,0.11
1618,1604.0,39.0,154.0,95.0,191.0,0.03,-0.04,0.0,0.01,0.09,0.16
1619,1605.0,36.0,149.0,93.0,181.0,0.03,-0.04,-0.0,0.0,0.06,0.27
1620,1606.0,34.0,154.0,89.0,180.0,0.03,-0.04,-0.02,0.04,0.11,0.28
1621,1607.0,34.0,151.0,87.0,173.0,0.03,-0.04,-0.02,-0.04,0.04,0.1
1622,1608.0,36.0,149.0,90.0,175.0,0.03,-0.07,-0.03,-0.09,0.06,0.08
1623,1609.0,42.0,150.0,90.0,172.0,0.04,-0.11,-0.05,-0.02,0.21,0.02
1624,1610.0,39.0,164.0,91.0,168.0,0.04,-0.1,-0.07,-0.14,0.22,0.0
1625,1611.0,37.0,159.0,91.0,161.0,0.08,-0.12,-0.11,-0.17,0.24,-0.05
1626,1612.0,34.0,152.0,91.0,155.0,0.12,-0.19,-0.15,-0.23,0.23,-0.31
1627,1613.0,33.0,148.0,95.0,142.0,0.15,-0.26,-0.16,-0.33,0.27,-0.46
1628,1614.0,39.0,141.0,92.0,141.0,0.21,-0.41,-0.2,-0.38,0.26,-0.61
1629,1615.0,38.0,139.0,92.0,137.0,0.29,-0.59,-0.25,-0.56,0.29,-0.73
1630,1616.0,35.0,138.0,91.0,133.0,0.34,-0.69,-0.28,-0.64,0.44,-0.84
1631,1617.0,35.0,149.0,91.0,126.0,0.47,-0.82,-0.35,-0.68,0.41,-0.89
1632,1618.0,33.0,140.0,90.0,117.0,0.61,-0.95,-0.44,-0.78,0.4,-1.06
1633,1619.0,40.0,132.0,90.0,110.0,0.69,-1.02,-0.48,-0.75,0.28,-1.23
1634,1620.0,41.0,128.0,92.0,100.0,0.83,-1.16,-0.57,-0.74,0.27,-1.26
1635,1621.0,43.0,124.0,91.0,94.0,0.98,-1.2,-0.7,-0.55,0.37,-1.12
1636,1622.0,44.0,125.0,92.0,83.0,1.06,-1.14,-0.78,-0.39,0.38,-1.03
1637,1623.0,44.0,123.0,91.0,77.0,1.26,-0.96,-0.95,-0.47,0.44,-1.08
1638,1624.0,48.0,127.0,90.0,69.0,1.41,-0.86,-1.06,-0.52,0.39,-0.89
1639,1625.0,49.0,123.0,91.0,59.0,1.49,-0.87,-1.11,-0.48,0.43,-0.97
1640,1626.0,52.0,124.0,91.0,51.0,1.61,-0.97,-1.2,-0.49,0.55,-1.11
1641,1627.0,54.0,135.0,93.0,46.0,1.78,-0.96,-1.33,-0.4,0.71,-1.49
1642,1628.0,59.0,130.0,95.0,40.0,1.86,-0.89,-1.4,-0.06,0.68,-1.56
1643,1629.0,66.0,125.0,94.0,36.0,2.01,-0.76,-1.52,-0.28,0.86,-1.82
1644,1630.0,66.0,123.0,94.0,33.0,2.15,-0.82,-1.58,0.04,1.16,-1.42
1645,1631.0,71.0,125.0,93.0,33.0,2.2,-0.93,-1.59,-0.26,1.0,-1.3
1646,1632.0,73.0,127.0,96.0,37.0,2.3,-1.1,-1.67,-0.3,1.08,-1.24
1647,1633.0,81.0,123.0,95.0,42.0,2.4,-1.39,-1.73,-0.29,1.06,-1.59
1648,1634.0,97.0,129.0,99.0,51.0,2.43,-1.55,-1.74,0.1,0.78,-1.68
1649,1635.0,91.0,125.0,99.0,56.0,2.59,-1.72,-1.78,0.93,1.05,-1.42
1650,1636.0,88.0,127.0,104.0,73.0,2.64,-1.88,-1.82,0.95,1.31,-1.23
1651,1637.0,83.0,129.0,109.0,94.0,2.59,-1.97,-1.86,-0.58,1.33,-0.94
1652,1638.0,83.0,132.0,109.0,103.0,2.55,-2.18,-1.91,-0.24,1.4,-1.39
1653,1639.0,97.0,134.0,117.0,113.0,2.48,-2.42,-1.87,1.55,2.28,-0.9
1654,1640.0,92.0,135.0,120.0,136.0,2.44,-2.59,-1.93,1.31,1.65,0.0
1655,1641.0,83.0,136.0,124.0,142.0,2.56,-3.03,-1.9,0.95,2.31,-0.52
1656,1642.0,88.0,138.0,128.0,145.0,2.15,-3.89,-1.9,0.33,1.97,-0.9
1657,1643.0,88.0,142.0,130.0,155.0,2.07,-4.2,-1.94,-0.51,1.59,-1.06
1658,1644.0,87.0,145.0,135.0,159.0,1.88,-4.73,-1.72,0.76,1.96,-0.91
1659,1645.0,82.0,147.0,137.0,168.0,1.58,-4.7,-1.58,2.52,1.91,0.16
1660,1646.0,88.0,151.0,136.0,166.0,1.51,-4.45,-1.66,2.47,2.13,1.43
1661,1647.0,80.0,147.0,135.0,182.0,1.37,-3.81,-1.73,2.28,2.51,1.23
1662,1648.0,84.0,156.0,138.0,171.0,0.88,-3.5,-1.65,1.31,1.87,0.54
1663,1649.0,78.0,155.0,142.0,162.0,0.6,-3.41,-1.53,1.06,1.5,0.56
1664,1650.0,69.0,154.0,145.0,162.0,0.49,-3.08,-1.27,2.47,1.88,0.52
1665,1651.0,65.0,152.0,145.0,156.0,0.64,-1.86,-1.52,1.51,1.8,0.3
1666,1652.0,61.0,151.0,141.0,152.0,0.46,-1.23,-1.64,1.23,0.79,1.53
1667,1653.0,66.0,152.0,133.0,147.0,0.69,-0.22,-1.48,0.55,1.19,0.79
1668,1654.0,61.0,150.0,124.0,142.0,0.61,-0.06,-1.17,0.93,1.46,0.89
1669,1655.0,76.0,147.0,117.0,139.0,0.33,0.45,-0.91,10.51,1.04,4.52
1670,1656.0,67.0,146.0,111.0,137.0,0.78,1.65,-0.28,6.39,1.26,-1.74
1671,1657.0,60.0,142.0,106.0,134.0,0.15,0.49,0.03,-2.97,-0.71,0.83
1672,1658.0,52.0,139.0,111.0,135.0,-0.18,-0.22,-0.11,-2.51,-1.61,0.94
1673,1659.0,46.0,133.0,128.0,134.0,0.08,-0.12,0.04,-0.87,-0.04,0.25
1674,1660.0,41.0,131.0,121.0,129.0,0.18,0.62,-0.32,0.35,0.26,0.18
