,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
4366,4328.0,22.0,134.0,88.0,80.0,-0.01,-0.09,0.04,0.03,0.27,0.35
4367,4329.0,22.0,148.0,109.0,85.0,-0.04,-0.14,0.11,0.83,0.7,0.5
4368,4330.0,22.0,154.0,117.0,117.0,-0.07,-0.11,0.16,1.19,2.79,2.05
4369,4331.0,23.0,148.0,129.0,102.0,0.05,-0.0,0.28,1.25,2.6,1.76
4370,4332.0,22.0,150.0,129.0,93.0,-0.14,-0.62,0.72,2.23,2.39,2.25
4371,4333.0,22.0,156.0,132.0,82.0,-0.34,-0.81,1.14,5.24,1.54,1.79
4372,4334.0,22.0,148.0,138.0,81.0,-0.98,-0.7,2.15,5.46,1.39,1.76
4373,4335.0,23.0,138.0,147.0,80.0,-1.46,-0.71,2.59,3.91,-0.15,2.3
4374,4336.0,22.0,136.0,150.0,69.0,-1.63,-0.85,2.69,2.96,-0.59,2.48
4375,4337.0,23.0,136.0,147.0,61.0,-1.68,-1.17,2.95,2.9,-0.42,2.31
4376,4338.0,22.0,134.0,145.0,61.0,-1.79,-1.5,3.24,3.16,-1.67,2.08
4377,4339.0,23.0,148.0,151.0,65.0,-1.66,-1.57,3.39,2.46,-1.5,2.02
4378,4340.0,23.0,138.0,144.0,56.0,-1.34,-1.64,3.51,1.91,-1.46,0.96
4379,4341.0,23.0,134.0,141.0,58.0,-1.33,-1.67,3.52,1.02,-1.7,1.1
4380,4342.0,25.0,135.0,131.0,56.0,-1.23,-1.63,3.57,-0.17,-1.4,0.79
4381,4343.0,26.0,134.0,143.0,61.0,-1.27,-1.52,3.61,-0.75,-1.33,0.62
4382,4344.0,28.0,147.0,148.0,64.0,-0.89,-1.26,3.61,-0.69,-0.55,0.37
4383,4345.0,37.0,143.0,150.0,64.0,-0.93,-1.18,3.5,-1.42,-0.84,0.17
4384,4346.0,56.0,138.0,156.0,67.0,-0.68,-1.3,3.4,-1.12,-0.39,0.0
4385,4347.0,76.0,139.0,151.0,66.0,-0.52,-1.15,3.17,-1.35,-0.25,0.67
4386,4348.0,82.0,134.0,155.0,69.0,-0.45,-0.92,3.08,-0.94,0.9,0.16
4387,4349.0,97.0,135.0,148.0,69.0,-0.41,-0.58,2.75,-1.15,1.34,-0.07
4388,4350.0,95.0,129.0,141.0,68.0,-0.06,-0.19,2.51,-0.67,1.53,-0.33
4389,4351.0,89.0,134.0,135.0,65.0,0.12,0.31,2.2,-1.95,2.28,-0.94
4390,4352.0,83.0,133.0,134.0,61.0,0.12,0.5,1.94,-2.19,2.21,-0.68
4391,4353.0,84.0,129.0,133.0,59.0,0.26,0.37,1.71,-2.18,2.62,-0.89
4392,4354.0,72.0,132.0,127.0,63.0,0.21,0.26,1.65,-1.52,2.94,-0.82
4393,4355.0,65.0,124.0,124.0,67.0,0.29,0.12,1.49,-1.41,3.03,-1.0
4394,4356.0,56.0,118.0,120.0,64.0,0.33,0.22,1.35,-0.75,2.96,-1.55
4395,4357.0,50.0,113.0,116.0,58.0,0.33,0.29,1.26,-0.87,3.27,-1.19
4396,4358.0,43.0,114.0,110.0,52.0,0.33,0.26,1.13,-1.04,3.19,-1.28
4397,4359.0,39.0,120.0,105.0,48.0,0.16,0.17,0.97,-1.08,3.26,-0.87
4398,4360.0,35.0,116.0,103.0,50.0,0.17,0.14,0.92,-0.32,3.62,-0.95
4399,4361.0,31.0,113.0,100.0,54.0,0.2,0.13,0.8,-0.06,3.72,-1.2
4400,4362.0,30.0,112.0,96.0,50.0,0.17,0.21,0.71,-0.32,4.01,-1.11
4401,4363.0,28.0,113.0,92.0,49.0,0.15,0.18,0.68,-0.6,3.37,-0.5
4402,4364.0,28.0,115.0,95.0,56.0,0.15,0.03,0.57,-0.59,3.2,-0.58
4403,4365.0,30.0,127.0,99.0,58.0,0.19,-0.1,0.51,-0.55,2.7,-0.79
4404,4366.0,30.0,132.0,94.0,66.0,0.11,-0.13,0.51,0.39,2.65,-0.71
4405,4367.0,28.0,135.0,101.0,65.0,0.18,-0.05,0.41,0.72,2.73,-0.77
4406,4368.0,31.0,136.0,97.0,67.0,0.07,0.02,0.35,0.59,3.11,-0.02
4407,4369.0,30.0,139.0,101.0,65.0,0.17,0.02,0.31,0.67,3.14,-0.28
4408,4370.0,29.0,141.0,108.0,60.0,0.08,-0.09,0.24,0.33,2.65,-0.27
4409,4371.0,30.0,138.0,108.0,66.0,0.02,-0.22,0.14,0.42,2.42,-0.5
4410,4372.0,29.0,138.0,114.0,73.0,-0.03,-0.27,0.1,1.16,1.72,-0.59
4411,4373.0,33.0,130.0,114.0,102.0,-0.15,-0.32,-0.08,0.4,1.28,-0.5
4412,4374.0,35.0,124.0,113.0,118.0,-0.07,-0.33,-0.17,0.66,0.37,-0.06
4413,4375.0,47.0,126.0,112.0,142.0,-0.2,-0.34,-0.2,-0.06,-0.81,0.86
