,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
3585,3559.0,21.0,89.0,83.0,19.0,-0.01,-0.01,0.0,-0.08,0.06,0.06
3586,3560.0,20.0,89.0,80.0,19.0,-0.01,-0.01,0.01,-0.08,0.04,0.03
3587,3561.0,22.0,87.0,79.0,18.0,-0.01,-0.0,0.01,-0.12,0.01,0.09
3588,3562.0,22.0,89.0,84.0,19.0,0.0,-0.0,-0.0,-0.09,-0.02,0.01
3589,3563.0,21.0,93.0,82.0,19.0,0.01,-0.01,-0.0,-0.05,0.02,0.1
3590,3564.0,22.0,93.0,85.0,19.0,0.01,-0.0,-0.0,0.0,0.15,0.06
3591,3565.0,21.0,94.0,85.0,22.0,-0.01,0.01,0.02,-0.13,0.12,0.03
3592,3566.0,21.0,93.0,84.0,20.0,0.0,0.01,0.03,-0.25,0.1,0.32
3593,3567.0,22.0,96.0,92.0,33.0,0.0,-0.01,0.02,-0.16,0.07,0.35
3594,3568.0,26.0,101.0,92.0,30.0,-0.01,-0.09,0.03,0.03,0.27,0.75
3595,3569.0,23.0,119.0,91.0,28.0,-0.02,-0.16,0.14,0.61,0.39,1.2
3596,3570.0,27.0,118.0,101.0,27.0,-0.05,-0.14,0.24,0.58,0.51,1.52
3597,3571.0,26.0,121.0,110.0,22.0,-0.15,-0.16,0.39,1.22,1.41,2.22
3598,3572.0,39.0,123.0,122.0,32.0,-0.5,-0.24,0.6,2.49,1.34,2.1
3599,3573.0,41.0,146.0,154.0,35.0,-0.75,-0.11,0.82,2.8,1.24,2.86
3600,3574.0,49.0,174.0,163.0,36.0,-1.14,0.06,1.18,2.85,1.47,3.02
3601,3575.0,45.0,171.0,178.0,37.0,-1.54,0.09,1.41,2.36,1.29,3.69
3602,3576.0,85.0,162.0,170.0,38.0,-1.65,0.17,1.49,2.21,1.56,3.53
3603,3577.0,88.0,194.0,162.0,53.0,-1.78,0.28,1.58,1.49,1.36,2.95
3604,3578.0,99.0,197.0,152.0,57.0,-2.09,0.01,1.79,1.93,0.89,2.73
3605,3579.0,90.0,194.0,176.0,49.0,-2.1,-0.13,1.88,1.43,1.29,2.49
3606,3580.0,111.0,183.0,187.0,43.0,-2.37,-0.36,2.18,2.15,0.92,2.43
3607,3581.0,93.0,178.0,189.0,43.0,-2.58,0.14,2.28,2.25,1.63,2.6
3608,3582.0,84.0,187.0,201.0,43.0,-2.52,0.59,2.27,2.24,1.3,2.18
3609,3583.0,79.0,189.0,250.0,52.0,-2.42,1.34,2.19,1.0,1.31,0.92
3610,3584.0,75.0,175.0,278.0,46.0,-2.3,1.63,2.18,0.07,1.36,-0.57
3611,3585.0,70.0,182.0,260.0,54.0,-2.37,1.77,2.16,0.17,1.51,-0.41
3612,3586.0,70.0,171.0,250.0,68.0,-2.21,2.35,2.03,0.97,1.44,-0.81
3613,3587.0,77.0,158.0,249.0,91.0,-2.11,3.15,1.82,-0.15,1.26,-1.79
3614,3588.0,82.0,153.0,274.0,88.0,-2.05,3.38,1.74,-0.39,1.47,-1.93
3615,3589.0,97.0,149.0,270.0,83.0,-1.9,3.63,1.55,-0.72,1.24,-2.42
3616,3590.0,96.0,143.0,248.0,89.0,-1.79,3.69,1.31,-1.16,1.42,-2.61
3617,3591.0,103.0,147.0,226.0,105.0,-1.67,3.58,1.23,-1.27,1.38,-2.96
3618,3592.0,123.0,148.0,236.0,101.0,-1.52,3.4,1.07,-0.67,1.4,-2.91
3619,3593.0,129.0,147.0,223.0,99.0,-1.37,3.29,0.9,-0.78,1.06,-3.11
3620,3594.0,126.0,152.0,227.0,101.0,-1.28,3.11,0.8,-1.16,0.87,-3.02
3621,3595.0,117.0,149.0,228.0,97.0,-1.12,2.54,0.69,-0.86,0.78,-2.96
3622,3596.0,111.0,151.0,234.0,105.0,-1.04,2.32,0.64,-0.11,0.69,-2.33
3623,3597.0,103.0,148.0,235.0,117.0,-0.88,2.12,0.55,-0.18,0.9,-2.39
3624,3598.0,93.0,145.0,245.0,111.0,-0.76,1.95,0.44,-0.32,0.6,-2.0
3625,3599.0,81.0,157.0,220.0,103.0,-0.7,1.81,0.38,-0.64,0.75,-1.77
3626,3600.0,79.0,156.0,225.0,116.0,-0.62,1.38,0.33,-0.39,0.7,-1.63
3627,3601.0,98.0,152.0,225.0,109.0,-0.54,1.08,0.27,0.15,0.46,-1.44
3628,3602.0,86.0,152.0,223.0,112.0,-0.46,0.97,0.2,-0.01,0.51,-1.26
3629,3603.0,79.0,147.0,204.0,105.0,-0.43,0.87,0.18,-0.1,0.42,-0.85
3630,3604.0,81.0,143.0,199.0,104.0,-0.38,0.67,0.16,0.05,0.33,-0.85
3631,3605.0,71.0,138.0,194.0,114.0,-0.33,0.55,0.13,0.04,0.16,-0.79
3632,3606.0,75.0,137.0,218.0,109.0,-0.3,0.51,0.12,0.1,0.11,-0.85
3633,3607.0,79.0,133.0,223.0,123.0,-0.26,0.39,0.09,-0.05,0.06,-0.62
3634,3608.0,76.0,138.0,220.0,126.0,-0.25,0.31,0.09,-0.01,-0.1,-0.26
3635,3609.0,74.0,135.0,203.0,123.0,-0.2,0.16,0.1,0.05,-0.13,-0.32
3636,3610.0,76.0,143.0,190.0,122.0,-0.13,0.17,0.11,-0.14,-0.3,-0.37
3637,3611.0,89.0,138.0,184.0,143.0,-0.1,0.17,0.11,-0.27,-0.3,-0.5
3638,3612.0,82.0,136.0,189.0,134.0,-0.08,0.08,0.13,-0.31,-0.28,-0.38
3639,3613.0,84.0,137.0,212.0,134.0,-0.06,0.04,0.13,-0.1,-0.25,-0.05
3640,3614.0,108.0,141.0,201.0,123.0,-0.05,0.07,0.12,-0.27,-0.16,0.23
3641,3615.0,96.0,133.0,187.0,127.0,-0.04,-0.0,0.11,-0.18,-0.18,0.15
3642,3616.0,100.0,140.0,170.0,123.0,-0.02,-0.06,0.11,-0.03,-0.21,0.12
3643,3617.0,91.0,140.0,160.0,127.0,0.01,-0.04,0.12,-0.13,-0.15,-0.12
3644,3618.0,78.0,145.0,161.0,127.0,0.01,-0.04,0.12,-0.17,-0.09,-0.1
3645,3619.0,86.0,147.0,174.0,121.0,0.02,0.01,0.11,-0.18,0.0,0.02
3646,3620.0,87.0,140.0,206.0,119.0,0.01,0.03,0.1,-0.33,0.09,0.28
3647,3621.0,100.0,132.0,191.0,113.0,-0.0,0.0,0.09,-0.26,0.11,0.29
3648,3622.0,89.0,139.0,172.0,119.0,-0.01,-0.03,0.07,-0.21,0.13,0.37
3649,3623.0,78.0,134.0,159.0,116.0,-0.01,-0.04,0.05,-0.13,0.22,0.11
3650,3624.0,77.0,129.0,146.0,123.0,-0.01,-0.02,0.03,-0.13,0.24,0.06
3651,3625.0,66.0,131.0,153.0,112.0,-0.03,0.0,0.02,-0.16,0.21,0.24
3652,3626.0,67.0,129.0,158.0,110.0,-0.04,0.02,0.0,-0.11,0.12,0.19
3653,3627.0,64.0,131.0,155.0,101.0,-0.05,0.04,-0.02,-0.16,0.09,0.18
3654,3628.0,58.0,127.0,141.0,110.0,-0.05,0.05,-0.02,-0.13,0.04,0.1
3655,3629.0,53.0,126.0,127.0,109.0,-0.04,0.05,-0.02,-0.1,0.09,-0.08
3656,3630.0,48.0,123.0,118.0,106.0,-0.02,0.03,-0.03,-0.18,0.06,-0.09
3657,3631.0,46.0,120.0,111.0,108.0,-0.0,0.01,-0.03,0.1,0.01,-0.11
3658,3632.0,46.0,121.0,111.0,104.0,0.02,0.06,-0.02,0.21,0.03,-0.06
3659,3633.0,44.0,117.0,113.0,100.0,0.05,0.17,-0.02,0.02,-0.01,-0.11
3660,3634.0,48.0,116.0,107.0,94.0,0.07,0.17,0.0,-0.19,0.0,0.23
3661,3635.0,46.0,117.0,100.0,93.0,0.09,0.13,0.01,-0.24,0.06,0.22
3662,3636.0,42.0,119.0,96.0,95.0,0.08,0.07,0.02,-0.25,0.04,0.23
3663,3637.0,46.0,119.0,96.0,97.0,0.08,0.05,0.01,-0.12,0.07,0.1
3664,3638.0,47.0,117.0,105.0,89.0,0.07,0.05,-0.0,-0.08,0.04,0.14
