,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
7092,7034.0,22.0,98.0,80.0,20.0,0.17,0.05,-0.03,-0.15,-0.05,0.35
7093,7035.0,21.0,102.0,81.0,26.0,0.28,0.1,-0.03,0.22,-0.09,0.53
7094,7036.0,25.0,107.0,83.0,27.0,0.34,0.15,-0.02,0.43,-0.04,0.62
7095,7037.0,21.0,111.0,87.0,35.0,0.33,0.18,0.13,0.0,0.5,0.85
7096,7038.0,21.0,109.0,92.0,32.0,0.14,0.04,0.35,0.43,0.62,1.56
7097,7039.0,24.0,112.0,93.0,34.0,0.13,-0.04,0.46,0.89,0.76,1.89
7098,7040.0,23.0,118.0,91.0,32.0,0.01,-0.07,0.65,2.64,2.02,1.88
7099,7041.0,23.0,113.0,102.0,33.0,-0.4,0.32,1.0,4.09,0.63,1.73
7100,7042.0,23.0,118.0,101.0,30.0,-0.57,0.88,1.16,4.3,1.32,1.9
7101,7043.0,23.0,121.0,109.0,31.0,-0.94,2.0,1.31,4.1,0.89,2.28
7102,7044.0,23.0,120.0,113.0,34.0,-0.94,3.29,1.43,4.0,0.73,1.22
7103,7045.0,23.0,132.0,111.0,33.0,-1.04,4.02,1.49,4.07,0.99,1.06
7104,7046.0,30.0,128.0,119.0,31.0,-0.82,5.95,1.58,5.11,1.47,0.25
7105,7047.0,35.0,128.0,129.0,33.0,-0.67,7.69,1.5,3.72,1.08,0.1
7106,7048.0,44.0,152.0,132.0,49.0,-0.82,8.4,1.42,2.94,1.51,-1.66
7107,7049.0,52.0,169.0,136.0,57.0,-0.81,9.32,1.42,2.23,0.93,-1.26
7108,7050.0,64.0,184.0,135.0,71.0,-0.78,9.58,1.2,1.29,1.55,-3.37
7109,7051.0,71.0,187.0,178.0,67.0,-0.96,9.11,1.14,-1.07,0.6,-4.76
7110,7052.0,81.0,203.0,227.0,71.0,-1.27,6.63,1.05,-2.64,0.16,-4.11
7111,7053.0,93.0,197.0,274.0,65.0,-1.58,3.74,1.26,-1.76,0.17,-1.35
7112,7054.0,97.0,182.0,265.0,62.0,-1.66,2.82,1.38,-0.65,0.76,-1.16
7113,7055.0,94.0,168.0,231.0,64.0,-1.56,2.12,1.34,-0.09,0.19,-1.62
7114,7056.0,90.0,164.0,210.0,68.0,-1.37,1.74,1.19,-0.98,-0.19,-2.73
7115,7057.0,87.0,155.0,184.0,73.0,-1.32,1.38,1.15,-1.08,0.03,-2.78
7116,7058.0,73.0,153.0,165.0,90.0,-1.31,0.75,1.03,-0.91,0.17,-1.86
7117,7059.0,64.0,147.0,154.0,97.0,-1.23,0.73,0.72,-1.03,0.35,-1.58
7118,7060.0,79.0,139.0,153.0,105.0,-1.18,0.73,0.53,-1.56,0.16,-1.68
7119,7061.0,81.0,138.0,142.0,106.0,-1.17,0.49,0.16,-2.32,-0.1,-2.03
7120,7062.0,74.0,132.0,149.0,104.0,-1.15,0.23,-0.22,-2.56,-0.04,-1.68
7121,7063.0,63.0,130.0,180.0,108.0,-1.13,0.17,-0.47,-2.74,0.14,-1.57
7122,7064.0,54.0,121.0,161.0,102.0,-1.09,0.13,-1.01,-2.96,0.39,-1.32
7123,7065.0,51.0,123.0,152.0,102.0,-1.07,-0.12,-1.54,-3.11,0.5,-1.24
7124,7066.0,45.0,123.0,140.0,99.0,-1.06,-0.25,-1.8,-2.99,0.64,-1.24
7125,7067.0,40.0,123.0,132.0,96.0,-1.05,-0.44,-2.31,-2.71,1.09,-1.32
7126,7068.0,37.0,126.0,124.0,90.0,-1.04,-0.7,-2.8,-2.76,1.16,-1.55
7127,7069.0,34.0,124.0,121.0,86.0,-1.04,-0.9,-3.03,-2.64,1.39,-1.65
7128,7070.0,35.0,121.0,120.0,75.0,-1.06,-1.21,-3.45,-2.04,1.69,-1.78
7129,7071.0,35.0,123.0,127.0,73.0,-1.11,-1.55,-3.75,-1.99,1.98,-1.82
7130,7072.0,35.0,136.0,117.0,68.0,-1.13,-1.74,-3.89,-1.15,2.19,-1.39
7131,7073.0,37.0,134.0,124.0,69.0,-1.17,-1.91,-4.15,-0.58,2.63,-0.82
7132,7074.0,35.0,134.0,116.0,67.0,-1.2,-1.84,-4.36,0.2,2.74,-0.73
7133,7075.0,33.0,135.0,121.0,60.0,-1.23,-1.84,-4.42,0.06,2.57,-1.03
7134,7076.0,40.0,130.0,177.0,55.0,-1.34,-2.2,-4.42,-0.16,2.3,-1.95
7135,7077.0,39.0,125.0,179.0,52.0,-1.48,-2.72,-4.21,2.03,2.1,-1.08
7136,7078.0,37.0,143.0,186.0,46.0,-1.48,-2.61,-4.1,2.66,1.97,-0.51
7137,7079.0,53.0,139.0,203.0,72.0,-1.21,-1.54,-3.81,5.17,1.43,0.17
7138,7080.0,49.0,149.0,228.0,73.0,-0.73,-0.44,-3.29,5.23,0.38,-1.33
7139,7081.0,55.0,170.0,250.0,76.0,-0.56,-0.36,-2.83,6.59,-0.17,-2.01
7140,7082.0,54.0,167.0,272.0,72.0,-0.19,-0.43,-1.52,9.93,-0.15,-0.21
7141,7083.0,57.0,162.0,260.0,71.0,0.36,1.0,-0.28,10.63,-0.01,0.1
7142,7084.0,51.0,168.0,249.0,62.0,0.62,1.82,0.33,9.31,-0.12,-0.48
7143,7085.0,46.0,156.0,259.0,54.0,0.83,1.82,1.58,6.71,-0.39,-1.3
7144,7086.0,44.0,151.0,249.0,54.0,0.93,1.15,2.61,5.88,0.44,-0.56
7145,7087.0,38.0,143.0,225.0,53.0,0.98,1.19,2.97,5.52,0.64,-0.42
7146,7088.0,35.0,139.0,208.0,50.0,1.09,1.38,3.51,3.42,0.91,-0.41
7147,7089.0,33.0,135.0,196.0,51.0,1.04,1.19,3.97,2.47,0.8,-0.38
7148,7090.0,33.0,139.0,209.0,48.0,0.98,1.06,4.15,2.29,0.89,-0.27
7149,7091.0,37.0,140.0,197.0,47.0,0.96,0.88,4.37,0.93,0.84,-0.16
7150,7092.0,35.0,136.0,198.0,46.0,0.97,0.71,4.5,-0.25,1.41,-0.57
7151,7093.0,42.0,134.0,191.0,49.0,0.97,0.64,4.54,-0.19,1.67,-0.65
7152,7094.0,38.0,128.0,182.0,49.0,0.96,0.64,4.51,-0.75,1.81,-0.89
7153,7095.0,36.0,124.0,171.0,49.0,1.01,0.64,4.36,-1.83,2.36,-1.32
7154,7096.0,33.0,119.0,162.0,50.0,1.02,0.54,4.25,-1.98,2.57,-1.53
7155,7097.0,31.0,117.0,153.0,47.0,1.05,0.19,3.98,-2.49,2.9,-1.81
7156,7098.0,29.0,117.0,153.0,51.0,1.04,-0.03,3.61,-2.78,2.75,-1.44
