,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
3277,3252.0,21.0,92.0,98.0,39.0,0.02,-0.03,0.01,-0.18,-0.02,0.08
3278,3253.0,23.0,98.0,96.0,62.0,0.03,-0.05,0.0,-0.09,-0.05,0.41
3279,3254.0,23.0,112.0,101.0,90.0,0.11,-0.04,-0.01,-0.08,-0.03,0.32
3280,3255.0,23.0,112.0,104.0,108.0,0.16,-0.05,0.01,-0.81,0.06,0.68
3281,3256.0,23.0,118.0,104.0,104.0,0.18,-0.1,0.04,-1.13,0.0,0.81
3282,3257.0,22.0,117.0,100.0,97.0,0.21,-0.33,0.12,-1.44,-0.11,0.94
3283,3258.0,17.0,115.0,104.0,89.0,0.16,-0.72,0.15,0.39,-0.2,1.96
3284,3259.0,23.0,116.0,100.0,80.0,0.07,-0.71,0.17,0.97,-0.16,2.4
3285,3260.0,23.0,116.0,111.0,83.0,-0.11,-0.38,0.02,2.74,-0.33,2.99
3286,3261.0,23.0,111.0,129.0,77.0,-0.21,0.03,-0.01,1.61,1.09,2.64
3287,3262.0,36.0,107.0,137.0,69.0,-0.36,0.05,0.0,1.3,0.11,1.43
3288,3263.0,40.0,103.0,156.0,66.0,-0.57,-0.23,0.26,2.17,0.02,1.42
3289,3264.0,46.0,101.0,157.0,61.0,-0.72,-0.3,0.57,3.11,0.46,2.11
3290,3265.0,44.0,99.0,153.0,58.0,-0.78,-0.16,0.63,2.92,0.46,1.84
3291,3266.0,63.0,97.0,145.0,53.0,-0.88,0.21,0.74,2.59,0.06,1.12
3292,3267.0,59.0,98.0,145.0,51.0,-0.89,0.33,0.8,1.91,-0.1,0.18
3293,3268.0,72.0,98.0,157.0,48.0,-0.83,0.45,0.97,1.74,0.1,0.0
3294,3269.0,62.0,99.0,155.0,46.0,-0.75,0.48,1.15,0.7,-0.26,-1.29
3295,3270.0,74.0,99.0,142.0,45.0,-0.7,0.49,1.2,0.59,-0.16,-2.11
3296,3271.0,76.0,99.0,138.0,44.0,-0.4,0.62,1.24,0.16,-0.29,-2.49
3297,3272.0,74.0,98.0,134.0,43.0,-0.17,0.7,1.21,0.1,-0.27,-3.19
3298,3273.0,68.0,97.0,132.0,42.0,0.03,0.81,1.22,-0.09,0.24,-3.09
3299,3274.0,64.0,99.0,125.0,42.0,0.24,1.05,1.06,-0.64,0.67,-3.09
3300,3275.0,80.0,95.0,131.0,41.0,0.31,1.03,0.87,-1.09,0.38,-3.04
3301,3276.0,75.0,96.0,124.0,41.0,0.33,1.02,0.68,-1.33,0.17,-2.62
3302,3277.0,71.0,96.0,128.0,40.0,0.52,1.1,0.49,-1.74,0.72,-2.24
3303,3278.0,65.0,93.0,124.0,41.0,0.53,1.13,0.31,-2.32,0.94,-0.94
3304,3279.0,56.0,91.0,124.0,38.0,0.57,1.08,0.23,-2.67,0.89,-0.72
3305,3280.0,51.0,94.0,118.0,41.0,0.45,0.76,0.18,-2.38,0.83,-0.59
3306,3281.0,47.0,92.0,124.0,41.0,0.4,0.42,0.03,-1.69,0.66,-0.05
3307,3282.0,51.0,90.0,117.0,49.0,0.33,0.29,0.02,-0.63,-0.11,0.91
3308,3283.0,46.0,95.0,120.0,53.0,0.29,0.34,-0.06,-0.8,-0.11,2.04
3309,3284.0,40.0,100.0,118.0,53.0,0.28,0.54,-0.09,-0.53,0.17,2.92
3310,3285.0,43.0,100.0,121.0,55.0,0.22,0.62,-0.09,-0.09,-0.7,5.18
