,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
1629,1617.0,22.0,102.0,77.0,39.0,0.01,0.07,0.0,-0.16,-0.11,0.07
1630,1618.0,21.0,106.0,75.0,42.0,0.0,0.06,-0.05,-0.3,-0.12,0.21
1631,1619.0,21.0,115.0,74.0,44.0,-0.02,0.04,-0.07,0.0,-0.15,0.22
1632,1620.0,22.0,114.0,76.0,43.0,-0.04,-0.03,-0.08,-0.2,-0.07,0.19
1633,1621.0,21.0,110.0,83.0,66.0,-0.15,-0.3,-0.08,-0.78,0.01,1.0
1634,1622.0,22.0,114.0,84.0,70.0,-0.33,-0.76,-0.0,-0.95,-0.35,2.75
1635,1623.0,25.0,129.0,98.0,101.0,-0.42,-0.87,0.12,0.19,-0.26,4.68
1636,1624.0,36.0,120.0,109.0,100.0,-0.62,-1.44,0.25,0.39,-0.1,4.47
1637,1625.0,51.0,116.0,131.0,89.0,-1.05,-2.12,0.43,0.71,-0.8,4.13
1638,1626.0,48.0,113.0,122.0,81.0,-1.19,-2.46,0.51,0.59,-0.64,3.87
1639,1627.0,49.0,118.0,126.0,72.0,-1.27,-2.69,0.97,2.84,-2.7,3.77
1640,1628.0,66.0,117.0,135.0,76.0,-1.37,-1.19,0.67,4.97,1.19,3.59
1641,1629.0,68.0,118.0,130.0,71.0,-1.64,-0.31,0.64,4.31,0.04,3.29
1642,1630.0,68.0,116.0,141.0,66.0,-1.7,0.48,0.61,1.62,-0.39,2.42
1643,1631.0,61.0,114.0,132.0,62.0,-1.59,0.57,0.54,0.44,-0.33,1.74
1644,1632.0,61.0,113.0,126.0,57.0,-1.59,0.46,0.51,-1.24,0.15,1.14
1645,1633.0,57.0,117.0,116.0,54.0,-1.54,-0.04,0.5,-1.61,-0.01,0.24
1646,1634.0,53.0,113.0,118.0,51.0,-1.32,-0.16,0.42,-1.25,0.95,-0.92
1647,1635.0,48.0,114.0,118.0,49.0,-1.27,0.03,0.33,-1.36,1.12,-1.47
1648,1636.0,48.0,113.0,109.0,47.0,-1.2,0.5,0.06,-1.51,1.42,-2.49
1649,1637.0,44.0,113.0,108.0,43.0,-0.81,0.56,-0.06,-1.63,2.71,-3.35
1650,1638.0,40.0,111.0,114.0,45.0,-0.92,0.54,-0.21,-2.46,1.67,-3.25
1651,1639.0,50.0,109.0,111.0,43.0,-0.63,0.23,-0.21,-2.04,1.41,-3.39
1652,1640.0,48.0,111.0,110.0,42.0,-0.46,0.05,-0.27,-1.63,1.2,-3.28
1653,1641.0,43.0,108.0,110.0,42.0,-0.4,0.0,-0.3,-1.3,0.64,-3.12
1654,1642.0,37.0,112.0,108.0,41.0,-0.24,-0.07,-0.37,0.4,-0.63,-2.38
1655,1643.0,35.0,119.0,109.0,46.0,-0.06,0.03,-0.39,1.67,-1.54,-1.04
1656,1644.0,34.0,127.0,103.0,67.0,-0.02,0.2,-0.36,3.33,-2.29,0.74
1657,1645.0,35.0,122.0,97.0,90.0,-0.05,0.58,-0.19,4.72,-2.7,1.17
1658,1646.0,36.0,121.0,94.0,82.0,-0.01,0.81,0.29,6.41,-2.0,1.99
1659,1647.0,47.0,118.0,95.0,76.0,-0.06,0.88,0.6,6.94,-1.48,2.83
1660,1648.0,50.0,113.0,92.0,70.0,-0.29,0.85,1.15,6.68,0.48,4.11
1661,1649.0,46.0,116.0,91.0,64.0,-0.6,0.58,1.64,5.3,1.39,2.88
1662,1650.0,43.0,115.0,92.0,80.0,-0.81,0.37,1.88,4.31,1.65,2.11
1663,1651.0,49.0,111.0,102.0,71.0,-1.1,-0.06,2.22,1.44,1.9,1.0
1664,1652.0,57.0,108.0,103.0,65.0,-1.24,-0.37,2.4,0.51,2.31,0.39
1665,1653.0,57.0,107.0,101.0,60.0,-1.31,-0.37,2.39,-0.71,2.18,-0.45
1666,1654.0,52.0,106.0,96.0,55.0,-1.32,-0.31,2.21,-1.94,2.43,-0.94
1667,1655.0,47.0,105.0,96.0,52.0,-1.19,-0.31,1.87,-4.41,2.55,-1.67
1668,1656.0,48.0,106.0,96.0,48.0,-1.14,-0.34,1.71,-4.87,2.81,-1.94
1669,1657.0,47.0,108.0,95.0,49.0,-1.1,-0.45,1.42,-5.35,2.9,-2.39
1670,1658.0,49.0,107.0,100.0,47.0,-1.04,-0.43,1.09,-5.06,3.37,-2.83
1671,1659.0,63.0,106.0,99.0,45.0,-0.97,-0.37,0.93,-5.18,2.67,-2.73
1672,1660.0,58.0,110.0,96.0,44.0,-0.64,-0.41,0.62,-4.25,1.75,-3.1
1673,1661.0,51.0,111.0,102.0,44.0,-0.55,-0.43,0.29,-3.34,1.34,-3.41
1674,1662.0,44.0,115.0,113.0,43.0,-0.38,-0.45,0.11,-2.35,0.82,-4.17
1675,1663.0,42.0,111.0,114.0,44.0,-0.16,-0.57,-0.1,-1.65,0.4,-4.89
1676,1664.0,39.0,108.0,127.0,48.0,0.22,-0.65,-0.22,0.74,-0.69,-5.78
1677,1665.0,46.0,105.0,128.0,46.0,0.42,-0.56,-0.21,1.18,-0.93,-5.54
1678,1666.0,41.0,104.0,133.0,52.0,0.92,-0.23,-0.06,2.58,-1.04,-4.99
1679,1667.0,37.0,106.0,128.0,53.0,1.45,0.09,0.22,3.73,-0.8,-5.65
1680,1668.0,34.0,109.0,127.0,58.0,1.68,0.18,0.37,3.87,-0.78,-5.6
1681,1669.0,31.0,108.0,124.0,61.0,2.09,0.34,0.69,3.21,-0.42,-4.23
1682,1670.0,33.0,108.0,116.0,58.0,2.34,0.56,0.98,2.62,0.02,-2.47
1683,1671.0,31.0,111.0,112.0,64.0,2.4,0.7,1.11,2.26,0.2,-1.51
1684,1672.0,29.0,119.0,119.0,72.0,2.34,0.98,1.27,0.73,0.98,1.07
1685,1673.0,28.0,123.0,119.0,82.0,2.13,1.08,1.31,-0.28,1.12,2.0
1686,1674.0,30.0,128.0,125.0,74.0,2.0,1.12,1.28,-1.41,1.61,3.34
1687,1675.0,32.0,128.0,123.0,67.0,1.69,1.04,1.17,-2.53,1.94,3.51
1688,1676.0,41.0,124.0,128.0,62.0,1.35,0.67,0.98,-3.72,3.15,4.21
1689,1677.0,47.0,119.0,127.0,58.0,1.05,0.41,0.86,-3.7,2.69,4.58
1690,1678.0,41.0,116.0,125.0,54.0,0.71,0.03,0.63,-3.55,2.86,4.44
1691,1679.0,40.0,115.0,131.0,51.0,0.43,-0.08,0.38,-3.09,2.56,3.62
1692,1680.0,41.0,112.0,133.0,49.0,0.33,-0.07,0.26,-2.99,2.71,3.1
1693,1681.0,56.0,113.0,133.0,49.0,0.18,-0.13,0.04,-2.65,2.3,1.14
1694,1682.0,53.0,110.0,138.0,46.0,0.17,-0.3,-0.13,-2.34,2.37,0.09
1695,1683.0,56.0,108.0,138.0,46.0,0.18,-0.38,-0.2,-2.06,2.43,-0.93
1696,1684.0,63.0,113.0,140.0,44.0,0.29,-0.43,-0.31,-2.0,2.62,-1.84
1697,1685.0,62.0,111.0,135.0,45.0,0.45,-0.39,-0.39,-2.32,3.28,-2.76
1698,1686.0,63.0,109.0,137.0,50.0,0.51,-0.37,-0.44,-2.33,3.38,-2.81
1699,1687.0,66.0,112.0,138.0,52.0,0.64,-0.49,-0.56,-3.36,4.15,-3.7
1700,1688.0,64.0,116.0,147.0,71.0,0.7,-0.82,-0.72,-4.01,3.74,-4.79
1701,1689.0,64.0,115.0,139.0,72.0,0.73,-1.01,-0.8,-3.81,3.33,-4.83
1702,1690.0,63.0,112.0,142.0,71.0,0.88,-1.06,-0.99,-2.55,2.32,-4.04
1703,1691.0,62.0,116.0,139.0,76.0,1.09,-0.8,-1.23,-1.84,2.31,-3.32
1704,1692.0,59.0,120.0,145.0,85.0,1.19,-0.68,-1.34,-1.75,1.77,-2.8
1705,1693.0,53.0,120.0,135.0,78.0,1.32,-0.67,-1.53,-0.58,0.07,-1.55
1706,1694.0,47.0,129.0,137.0,76.0,1.47,-0.51,-1.64,1.92,-1.42,1.65
1707,1695.0,43.0,138.0,131.0,72.0,1.53,-0.3,-1.66,3.0,-1.36,2.43
1708,1696.0,41.0,130.0,137.0,66.0,1.49,0.14,-1.67,3.7,-1.03,3.99
1709,1697.0,61.0,123.0,132.0,63.0,1.23,0.08,-1.48,3.54,-0.13,5.5
1710,1698.0,60.0,118.0,127.0,62.0,1.04,-0.13,-1.28,3.95,-0.36,5.72
1711,1699.0,57.0,113.0,127.0,75.0,0.67,-0.44,-0.98,4.95,-0.93,6.48
1712,1700.0,53.0,110.0,126.0,93.0,0.29,-0.42,-0.73,4.31,-0.85,6.55
1713,1701.0,47.0,113.0,121.0,87.0,0.17,-0.33,-0.6,4.17,-0.69,6.19
1714,1702.0,40.0,120.0,123.0,79.0,0.01,-0.2,-0.38,2.37,-0.92,5.62
1715,1703.0,37.0,118.0,123.0,81.0,-0.27,-0.24,-0.29,1.32,-0.44,5.17
1716,1704.0,49.0,116.0,122.0,72.0,-0.34,-0.29,-0.21,0.41,0.0,4.9
1717,1705.0,46.0,112.0,118.0,69.0,-0.56,-0.29,-0.15,-0.22,0.78,4.9
1718,1706.0,41.0,108.0,119.0,66.0,-0.77,-0.2,-0.19,-1.43,1.71,4.67
1719,1707.0,38.0,106.0,112.0,63.0,-0.87,-0.18,-0.25,-1.85,1.97,4.64
1720,1708.0,35.0,114.0,107.0,92.0,-1.16,-0.17,-0.39,-2.7,2.39,4.69
1721,1709.0,34.0,110.0,108.0,84.0,-1.44,-0.22,-0.5,-3.29,2.41,4.71
1722,1710.0,41.0,111.0,121.0,74.0,-1.55,-0.27,-0.52,-3.23,2.41,4.53
1723,1711.0,44.0,112.0,122.0,69.0,-1.87,-0.31,-0.67,-2.81,2.95,4.12
1724,1712.0,47.0,111.0,126.0,68.0,-2.17,-0.36,-0.84,-2.57,3.24,3.77
1725,1713.0,43.0,112.0,121.0,66.0,-2.29,-0.42,-0.92,-1.75,1.64,2.2
1726,1714.0,42.0,114.0,132.0,70.0,-2.64,-0.53,-1.11,-1.55,1.89,0.74
1727,1715.0,46.0,111.0,134.0,64.0,-2.62,-0.72,-1.27,0.38,1.19,-2.18
1728,1716.0,63.0,108.0,151.0,60.0,-2.53,-0.7,-1.27,1.28,1.03,-2.81
1729,1717.0,55.0,110.0,158.0,56.0,-2.36,-0.45,-1.19,2.72,0.72,-3.93
1730,1718.0,49.0,116.0,148.0,53.0,-2.05,-0.22,-1.01,3.29,-0.09,-5.87
1731,1719.0,45.0,121.0,140.0,56.0,-1.8,-0.12,-0.89,3.18,-0.57,-6.42
1732,1720.0,42.0,121.0,126.0,52.0,-1.3,0.02,-0.63,3.25,-1.01,-6.55
1733,1721.0,39.0,118.0,122.0,50.0,-0.96,0.11,-0.4,2.71,-1.14,-6.06
1734,1722.0,44.0,113.0,115.0,47.0,-0.81,0.12,-0.31,1.39,-1.4,-4.99
1735,1723.0,56.0,109.0,119.0,46.0,-0.55,-0.02,-0.14,0.64,-1.0,-4.1
1736,1724.0,49.0,106.0,115.0,44.0,-0.39,-0.13,-0.06,0.24,-1.09,-3.0
1737,1725.0,43.0,112.0,111.0,45.0,-0.3,-0.13,-0.04,0.22,-1.16,-2.61
1738,1726.0,38.0,111.0,104.0,48.0,-0.15,-0.05,-0.05,-0.06,-0.77,-1.92
1739,1727.0,38.0,109.0,100.0,48.0,-0.03,0.13,-0.06,-0.26,-0.14,-1.2
