,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
6261,6212.0,38.0,79.0,73.0,64.0,0.03,-0.1,-0.02,-0.07,0.15,0.0
6262,6213.0,39.0,72.0,72.0,65.0,0.03,-0.1,-0.02,-0.1,0.18,0.03
6263,6214.0,39.0,76.0,72.0,65.0,0.03,-0.09,-0.03,-0.05,0.2,0.06
6264,6215.0,39.0,74.0,72.0,64.0,0.03,-0.09,-0.03,-0.17,0.18,0.02
6265,6216.0,40.0,74.0,71.0,66.0,0.03,-0.11,-0.04,0.0,0.25,0.12
6266,6217.0,39.0,74.0,66.0,66.0,0.03,-0.09,-0.04,0.04,0.22,0.03
6267,6218.0,39.0,74.0,63.0,65.0,0.02,-0.08,-0.05,-0.19,0.2,0.06
6268,6219.0,40.0,74.0,56.0,65.0,0.01,-0.09,-0.05,-0.1,0.2,0.03
6269,6220.0,40.0,74.0,55.0,60.0,-0.01,-0.09,-0.06,-0.14,0.21,0.06
6270,6221.0,40.0,73.0,53.0,62.0,-0.01,-0.09,-0.06,-0.01,0.22,0.0
6271,6222.0,40.0,75.0,51.0,65.0,-0.01,-0.08,-0.07,0.0,0.2,0.07
6272,6223.0,40.0,75.0,47.0,66.0,-0.02,-0.07,-0.07,-0.02,0.2,0.14
6273,6224.0,39.0,78.0,43.0,65.0,-0.02,-0.07,-0.06,-0.11,0.18,0.08
6274,6225.0,39.0,75.0,41.0,65.0,-0.03,-0.07,-0.06,-0.13,0.16,0.09
6275,6226.0,40.0,76.0,51.0,68.0,-0.04,-0.09,-0.07,-0.17,0.15,0.08
6276,6227.0,40.0,80.0,53.0,78.0,-0.05,-0.1,-0.08,-0.65,0.2,0.1
6277,6228.0,49.0,99.0,50.0,75.0,-0.11,-0.2,-0.07,-0.8,0.16,0.17
6278,6229.0,73.0,115.0,62.0,76.0,-0.31,-0.27,-0.08,-1.03,0.25,0.97
6279,6230.0,100.0,136.0,59.0,82.0,-0.48,-0.25,-0.16,-2.19,0.25,6.18
6280,6231.0,120.0,140.0,59.0,83.0,-0.71,-0.5,-0.4,-2.51,0.16,8.7
6281,6232.0,144.0,166.0,83.0,83.0,-0.69,-0.69,-0.41,-2.38,-0.75,13.63
6282,6233.0,157.0,182.0,104.0,80.0,-0.48,-0.29,-0.41,-2.12,-0.4,10.85
6283,6234.0,156.0,188.0,93.0,77.0,-0.23,0.72,-0.7,-1.79,-1.1,7.66
6284,6235.0,149.0,182.0,85.0,82.0,0.69,0.02,-0.71,-4.68,-1.9,2.49
6285,6236.0,163.0,225.0,89.0,82.0,1.42,-0.65,-0.36,-2.12,-1.71,3.8
6286,6237.0,222.0,262.0,89.0,85.0,2.35,-0.29,-0.02,3.13,0.11,7.53
6287,6238.0,227.0,289.0,82.0,84.0,2.78,1.99,-0.31,3.23,-0.19,10.14
6288,6239.0,272.0,341.0,97.0,81.0,3.06,2.81,-0.46,-1.66,-1.97,11.87
6289,6240.0,265.0,340.0,123.0,82.0,4.43,2.96,-0.51,-2.86,-2.74,10.82
6290,6241.0,330.0,395.0,135.0,83.0,6.04,1.92,-0.63,3.1,-3.1,4.7
6291,6242.0,392.0,455.0,174.0,99.0,6.42,1.92,-0.94,8.64,-2.63,2.5
6292,6243.0,409.0,539.0,211.0,120.0,6.76,3.46,-1.61,11.02,-4.03,1.84
6293,6244.0,393.0,530.0,211.0,128.0,6.59,5.69,-2.07,11.81,-12.2,0.01
6294,6245.0,374.0,510.0,216.0,124.0,7.13,6.18,-2.07,11.86,-13.71,-8.78
6295,6246.0,369.0,475.0,220.0,124.0,7.38,5.56,-2.43,9.15,-13.34,-15.11
6296,6247.0,357.0,461.0,282.0,121.0,5.77,3.29,-3.1,-1.87,-12.12,-15.47
6297,6248.0,341.0,449.0,363.0,120.0,4.49,2.08,-2.85,-5.52,-2.43,-19.61
6298,6249.0,325.0,441.0,389.0,116.0,1.17,0.97,-0.44,-5.73,-1.78,-16.81
6299,6250.0,302.0,454.0,424.0,111.0,-0.95,-1.07,1.82,-1.34,-2.79,-8.87
6300,6251.0,250.0,383.0,455.0,104.0,-1.13,-1.7,2.07,6.88,-1.79,0.02
6301,6252.0,220.0,338.0,498.0,103.0,-0.6,-1.54,1.33,8.42,-1.29,2.04
6302,6253.0,218.0,315.0,510.0,116.0,0.06,-0.22,0.43,7.53,1.42,0.99
6303,6254.0,196.0,307.0,555.0,111.0,0.31,0.25,0.05,4.69,1.59,-0.87
6304,6255.0,212.0,333.0,558.0,108.0,0.44,0.52,-0.36,2.1,0.72,-1.51
6305,6256.0,185.0,318.0,531.0,106.0,0.32,0.26,-0.39,0.28,-0.07,-2.11
6306,6257.0,168.0,284.0,500.0,100.0,0.14,0.27,-0.27,-0.02,-0.58,-2.83
6307,6258.0,143.0,282.0,452.0,97.0,-0.4,0.45,-0.0,0.42,-0.63,-2.77
6308,6259.0,124.0,253.0,413.0,90.0,-0.54,0.3,0.16,0.0,-0.85,-1.73
6309,6260.0,134.0,255.0,371.0,86.0,-0.47,0.08,0.15,0.75,0.23,-0.34
6310,6261.0,131.0,245.0,342.0,91.0,-0.37,-0.32,0.07,0.54,-0.08,0.05
6311,6262.0,135.0,245.0,325.0,91.0,-0.26,-0.43,0.04,0.92,0.24,0.66
6312,6263.0,116.0,218.0,301.0,90.0,-0.25,-0.36,-0.04,0.66,0.22,0.71
6313,6264.0,102.0,218.0,275.0,88.0,-0.25,-0.14,-0.07,0.5,0.25,0.6
6314,6265.0,116.0,226.0,252.0,86.0,-0.2,-0.19,-0.14,-0.43,-0.12,0.9
6315,6266.0,111.0,214.0,220.0,84.0,-0.14,-0.26,-0.15,-0.46,-0.07,0.93
6316,6267.0,110.0,203.0,184.0,83.0,-0.11,-0.22,-0.12,-0.4,-0.25,0.91
6317,6268.0,122.0,204.0,161.0,78.0,-0.07,0.0,-0.08,0.01,0.0,0.6
6318,6269.0,114.0,196.0,138.0,77.0,-0.12,0.14,-0.05,-0.09,0.03,0.51
6319,6270.0,115.0,211.0,116.0,81.0,-0.15,0.27,-0.01,-0.5,-0.03,0.4
6320,6271.0,105.0,197.0,98.0,81.0,-0.09,0.06,-0.0,-0.93,-0.37,0.34
6321,6272.0,98.0,192.0,83.0,78.0,-0.08,-0.13,0.0,-0.46,-0.45,0.42
6322,6273.0,94.0,174.0,69.0,78.0,-0.08,-0.28,0.05,-0.15,-0.36,0.49
6323,6274.0,89.0,164.0,61.0,74.0,-0.14,-0.19,0.09,0.63,-0.24,0.65
6324,6275.0,84.0,170.0,53.0,74.0,-0.16,-0.08,0.09,0.43,-0.07,0.6
6325,6276.0,80.0,174.0,47.0,72.0,-0.14,-0.02,0.06,0.11,-0.29,0.64
6326,6277.0,81.0,182.0,42.0,77.0,-0.06,-0.09,0.04,-0.1,-0.24,0.59
6327,6278.0,79.0,174.0,39.0,72.0,-0.04,-0.13,0.03,0.63,-0.08,0.63
6328,6279.0,76.0,163.0,35.0,68.0,-0.05,-0.02,0.01,0.67,-0.15,0.54
6329,6280.0,74.0,163.0,33.0,69.0,-0.04,0.09,-0.0,0.7,-0.09,0.47
6330,6281.0,73.0,168.0,31.0,67.0,-0.02,0.09,-0.01,0.27,-0.27,0.33
6331,6282.0,71.0,158.0,29.0,66.0,0.04,-0.09,-0.03,0.18,-0.31,0.34
6332,6283.0,65.0,154.0,29.0,65.0,0.02,-0.15,-0.03,0.52,-0.17,0.28
6333,6284.0,59.0,145.0,28.0,62.0,-0.01,-0.09,-0.03,0.29,-0.15,0.33
6334,6285.0,59.0,147.0,26.0,61.0,-0.05,-0.05,0.0,0.27,-0.13,0.24
6335,6286.0,64.0,146.0,26.0,58.0,-0.02,-0.15,-0.01,0.3,-0.26,0.22
6336,6287.0,67.0,156.0,25.0,56.0,-0.01,-0.17,-0.02,0.38,-0.19,0.45
6337,6288.0,62.0,145.0,25.0,57.0,0.0,-0.11,-0.02,0.32,-0.07,0.42
6338,6289.0,58.0,140.0,25.0,59.0,-0.01,0.07,-0.02,0.2,0.04,0.41
6339,6290.0,55.0,139.0,25.0,61.0,-0.01,0.1,-0.02,0.02,-0.05,0.08
6340,6291.0,54.0,143.0,24.0,60.0,0.02,0.03,-0.02,0.0,-0.1,0.11
6341,6292.0,62.0,142.0,24.0,61.0,0.02,-0.06,-0.03,0.0,-0.17,0.17
6342,6293.0,69.0,143.0,24.0,57.0,0.01,-0.08,-0.02,0.18,-0.06,0.25
