,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
6157,6113.0,232.0,118.0,24.0,67.0,0.01,0.05,-0.01,-0.23,0.11,-0.13
6158,6114.0,219.0,113.0,24.0,66.0,-0.0,0.01,-0.02,-0.12,0.11,-0.03
6159,6115.0,214.0,111.0,24.0,66.0,-0.01,-0.03,-0.02,-0.02,0.04,-0.08
6160,6116.0,213.0,109.0,23.0,65.0,-0.01,-0.04,-0.03,0.09,0.06,-0.01
6161,6117.0,228.0,111.0,24.0,63.0,-0.01,-0.01,-0.02,0.04,0.05,-0.04
6162,6118.0,229.0,114.0,24.0,63.0,-0.01,0.03,-0.02,-0.05,0.02,-0.09
6163,6119.0,219.0,115.0,24.0,62.0,-0.01,0.03,-0.02,-0.05,-0.02,-0.15
6164,6120.0,210.0,113.0,24.0,63.0,-0.01,0.02,-0.01,-0.06,-0.04,-0.18
6165,6121.0,202.0,112.0,24.0,63.0,-0.01,-0.0,0.01,0.04,-0.08,-0.15
6166,6122.0,216.0,121.0,25.0,61.0,-0.01,-0.0,0.01,0.08,-0.04,-0.09
6167,6123.0,184.0,123.0,25.0,60.0,-0.0,0.03,0.02,0.04,0.0,-0.09
6168,6124.0,189.0,116.0,25.0,61.0,0.01,0.06,0.01,-0.07,0.06,-0.04
6169,6125.0,186.0,132.0,25.0,59.0,0.0,0.08,0.01,-0.16,0.09,-0.13
6170,6126.0,200.0,130.0,26.0,58.0,-0.0,0.08,-0.01,-0.18,0.09,-0.15
6171,6127.0,201.0,132.0,25.0,60.0,-0.01,0.03,-0.01,-0.03,0.15,0.0
6172,6128.0,201.0,139.0,25.0,60.0,-0.01,0.01,-0.01,0.0,0.04,-0.06
6173,6129.0,204.0,136.0,25.0,60.0,0.0,0.05,-0.03,0.05,0.08,-0.06
6174,6130.0,190.0,143.0,25.0,62.0,0.02,0.19,-0.05,-0.1,0.06,-0.44
6175,6131.0,232.0,147.0,79.0,70.0,0.02,0.26,-0.05,0.19,0.1,-0.33
6176,6132.0,302.0,185.0,252.0,90.0,-0.05,0.56,-0.13,0.27,0.15,-0.09
6177,6133.0,354.0,237.0,614.0,126.0,-0.27,1.37,-0.24,0.74,-0.63,0.48
6178,6134.0,358.0,242.0,594.0,183.0,-0.57,2.16,-0.28,-1.51,-3.69,3.58
6179,6135.0,405.0,234.0,553.0,218.0,-1.53,5.16,-0.09,-2.08,-5.21,0.16
6180,6136.0,383.0,231.0,613.0,278.0,-3.04,9.85,0.76,-10.77,-4.27,-12.67
6181,6137.0,420.0,225.0,676.0,270.0,-4.23,11.6,2.26,-15.91,-11.06,-22.3
6182,6138.0,455.0,266.0,553.0,257.0,-6.78,11.42,5.02,-13.26,-10.5,-22.02
6183,6139.0,473.0,272.0,494.0,251.0,-9.86,10.06,5.4,-16.77,-13.11,-14.47
6184,6140.0,502.0,282.0,474.0,230.0,-10.33,7.78,5.52,-13.0,-10.56,-2.19
6185,6141.0,494.0,267.0,419.0,209.0,-9.67,1.92,5.55,-8.8,-8.98,-1.51
6186,6142.0,500.0,242.0,428.0,197.0,-8.42,-1.85,4.76,5.98,-6.26,9.93
6187,6143.0,465.0,234.0,386.0,204.0,-7.14,-2.27,4.12,10.8,-3.97,15.29
6188,6144.0,383.0,232.0,405.0,183.0,-4.66,-2.08,3.34,11.27,-1.62,17.1
6189,6145.0,367.0,239.0,391.0,176.0,-3.66,-1.27,2.43,11.1,-2.37,16.02
6190,6146.0,310.0,215.0,346.0,159.0,-3.22,-0.94,1.89,8.11,-3.86,11.47
6191,6147.0,308.0,217.0,427.0,170.0,-1.65,-0.64,1.06,7.16,-3.63,9.64
6192,6148.0,286.0,203.0,423.0,164.0,-0.54,-0.46,0.33,4.74,-4.07,3.99
6193,6149.0,267.0,192.0,438.0,163.0,-0.21,-0.46,0.14,3.58,-3.54,1.68
6194,6150.0,254.0,185.0,417.0,157.0,-0.05,-0.21,-0.13,3.12,-3.57,1.25
6195,6151.0,237.0,165.0,430.0,161.0,-0.04,-0.02,-0.15,1.28,-2.64,-0.17
6196,6152.0,244.0,173.0,410.0,148.0,-0.02,-0.05,-0.15,1.75,-1.81,-0.62
6197,6153.0,217.0,170.0,368.0,141.0,0.01,-0.15,-0.12,1.78,-0.86,-0.24
6198,6154.0,240.0,167.0,384.0,136.0,-0.12,0.0,-0.08,1.01,-0.59,0.15
6199,6155.0,217.0,174.0,387.0,130.0,-0.14,0.06,-0.05,0.45,-0.25,0.58
6200,6156.0,248.0,167.0,352.0,127.0,-0.08,0.03,-0.03,0.43,-0.11,0.82
6201,6157.0,225.0,160.0,341.0,117.0,0.01,-0.05,-0.04,0.66,0.02,0.98
6202,6158.0,233.0,156.0,320.0,118.0,0.08,-0.05,-0.05,1.0,0.24,0.51
6203,6159.0,228.0,158.0,311.0,116.0,0.15,0.1,-0.1,0.69,0.33,0.46
6204,6160.0,228.0,153.0,294.0,112.0,0.12,0.22,-0.12,-0.35,0.22,0.27
6205,6161.0,236.0,150.0,257.0,107.0,0.13,0.17,-0.13,-0.67,0.02,0.04
6206,6162.0,212.0,148.0,248.0,110.0,0.2,-0.02,-0.16,-0.63,0.21,-0.1
6207,6163.0,215.0,146.0,225.0,107.0,0.24,-0.17,-0.17,-0.42,0.35,-0.2
6208,6164.0,207.0,156.0,202.0,106.0,0.24,-0.17,-0.17,0.0,0.44,-0.09
6209,6165.0,203.0,150.0,198.0,103.0,0.15,-0.08,-0.17,-0.09,0.25,-0.07
6210,6166.0,189.0,145.0,174.0,105.0,0.07,0.04,-0.12,-0.53,0.03,-0.02
6211,6167.0,200.0,150.0,157.0,104.0,0.07,0.04,-0.12,-0.73,-0.04,0.06
6212,6168.0,206.0,144.0,137.0,103.0,0.13,-0.07,-0.08,-0.46,0.01,0.02
6213,6169.0,218.0,143.0,126.0,100.0,0.13,-0.14,-0.02,0.04,0.1,-0.05
6214,6170.0,187.0,147.0,105.0,98.0,0.13,-0.14,-0.02,0.4,0.19,-0.18
6215,6171.0,171.0,142.0,92.0,100.0,0.08,-0.06,0.01,0.46,0.22,-0.11
6216,6172.0,214.0,140.0,86.0,109.0,0.06,0.07,-0.0,0.48,-0.08,0.11
6217,6173.0,208.0,137.0,72.0,106.0,0.07,0.09,-0.02,0.26,-0.21,0.09
6218,6174.0,192.0,142.0,62.0,102.0,0.09,0.09,-0.03,0.27,-0.19,-0.18
6219,6175.0,200.0,137.0,62.0,100.0,0.04,0.09,-0.03,0.27,-0.13,-0.28
6220,6176.0,207.0,143.0,57.0,93.0,0.02,0.09,-0.03,0.09,-0.18,-0.43
6221,6177.0,221.0,134.0,50.0,92.0,0.02,0.08,-0.03,-0.14,-0.13,-0.1
6222,6178.0,189.0,130.0,45.0,95.0,0.06,-0.06,-0.04,-0.27,-0.2,0.23
6223,6179.0,182.0,139.0,41.0,97.0,0.11,-0.12,-0.04,0.18,-0.07,0.21
6224,6180.0,176.0,142.0,40.0,93.0,0.16,-0.1,-0.06,0.42,-0.04,0.03
6225,6181.0,175.0,141.0,40.0,95.0,0.1,0.09,-0.06,0.2,0.0,-0.42
6226,6182.0,173.0,152.0,47.0,99.0,0.06,0.15,-0.04,-0.45,-0.08,-0.53
6227,6183.0,170.0,141.0,42.0,101.0,0.03,0.07,-0.01,-0.63,-0.05,-0.3
6228,6184.0,162.0,137.0,39.0,99.0,0.05,-0.07,0.02,-0.35,0.03,-0.03
6229,6185.0,166.0,131.0,36.0,108.0,0.07,-0.11,0.02,0.37,0.07,-0.16
6230,6186.0,188.0,131.0,34.0,103.0,0.07,-0.05,-0.01,0.46,0.1,-0.2
6231,6187.0,173.0,126.0,33.0,97.0,0.02,0.08,-0.02,0.13,0.03,-0.18
6232,6188.0,166.0,125.0,32.0,95.0,-0.0,0.08,-0.02,-0.28,-0.2,-0.31
6233,6189.0,169.0,124.0,32.0,95.0,-0.0,0.02,0.02,-0.24,-0.21,-0.34
6234,6190.0,184.0,140.0,29.0,97.0,0.0,-0.02,0.03,0.05,0.05,-0.1
6235,6191.0,180.0,132.0,29.0,96.0,-0.01,-0.03,0.02,0.31,0.12,0.0
6236,6192.0,158.0,127.0,28.0,96.0,-0.02,0.01,-0.01,0.44,0.0,-0.16
6237,6193.0,160.0,124.0,27.0,98.0,-0.02,0.05,-0.03,0.17,-0.05,-0.19
6238,6194.0,157.0,124.0,29.0,97.0,-0.02,0.05,-0.02,0.04,0.03,-0.34
6239,6195.0,157.0,132.0,28.0,99.0,-0.01,0.03,-0.02,0.07,0.08,-0.3
6240,6196.0,162.0,127.0,27.0,95.0,-0.06,0.02,-0.01,0.03,0.16,-0.13
6241,6197.0,159.0,127.0,27.0,91.0,-0.08,0.0,-0.01,0.08,0.04,-0.15
6242,6198.0,146.0,122.0,27.0,98.0,-0.09,-0.02,-0.02,0.13,-0.02,-0.17
6243,6199.0,154.0,124.0,27.0,96.0,-0.06,-0.03,-0.02,0.11,-0.06,-0.32
6244,6200.0,137.0,129.0,26.0,92.0,-0.05,-0.02,-0.02,0.08,-0.05,-0.39
6245,6201.0,149.0,123.0,27.0,90.0,-0.08,0.01,-0.01,0.12,0.01,-0.42
6246,6202.0,147.0,119.0,27.0,85.0,-0.12,0.06,-0.01,-0.02,-0.02,-0.16
6247,6203.0,133.0,113.0,26.0,88.0,-0.12,0.06,-0.01,-0.22,-0.11,0.0
6248,6204.0,140.0,115.0,26.0,88.0,-0.08,-0.01,-0.02,-0.28,-0.16,0.05
6249,6205.0,129.0,118.0,26.0,94.0,-0.05,-0.08,-0.02,-0.11,-0.06,0.03
6250,6206.0,137.0,119.0,26.0,97.0,-0.05,-0.06,-0.02,0.04,-0.02,0.11
6251,6207.0,140.0,114.0,27.0,99.0,-0.08,0.03,-0.0,-0.07,-0.04,0.18
6252,6208.0,123.0,112.0,27.0,98.0,-0.08,0.04,0.01,-0.35,-0.24,0.35
6253,6209.0,124.0,117.0,26.0,95.0,-0.06,0.0,0.01,-0.28,-0.3,0.33
6254,6210.0,127.0,117.0,26.0,90.0,0.01,-0.08,0.01,-0.13,-0.34,0.25
6255,6211.0,141.0,115.0,25.0,102.0,0.03,-0.05,0.01,0.33,-0.19,-0.03
6256,6212.0,129.0,112.0,25.0,96.0,0.02,0.0,0.02,0.42,-0.15,-0.1
6257,6213.0,115.0,113.0,24.0,92.0,-0.02,0.12,0.02,0.03,-0.24,-0.08
6258,6214.0,105.0,111.0,24.0,88.0,-0.02,0.08,0.02,-0.02,-0.24,-0.05
6259,6215.0,122.0,109.0,24.0,86.0,-0.01,0.05,0.01,0.09,-0.04,-0.14
6260,6216.0,109.0,107.0,31.0,87.0,0.01,0.02,0.0,0.17,0.02,-0.12
6261,6217.0,113.0,109.0,29.0,90.0,0.01,0.02,-0.01,0.26,0.09,-0.11
6262,6218.0,103.0,111.0,27.0,86.0,0.01,0.02,-0.02,0.13,0.05,-0.13
6263,6219.0,121.0,116.0,27.0,85.0,0.0,0.04,-0.03,0.13,0.07,-0.15
6264,6220.0,121.0,122.0,27.0,88.0,-0.02,0.08,-0.02,-0.02,0.06,-0.28
6265,6221.0,140.0,123.0,28.0,94.0,-0.03,0.09,-0.01,-0.13,0.04,-0.18
6266,6222.0,123.0,115.0,27.0,93.0,-0.05,0.04,0.0,-0.25,-0.01,0.02
6267,6223.0,111.0,116.0,26.0,102.0,-0.02,-0.05,0.0,0.06,0.01,-0.03
6268,6224.0,108.0,116.0,25.0,102.0,-0.01,-0.05,0.0,0.27,0.07,-0.14
6269,6225.0,94.0,112.0,25.0,101.0,-0.04,0.02,-0.0,0.14,0.01,-0.25
6270,6226.0,92.0,117.0,25.0,100.0,-0.07,0.03,0.0,-0.09,-0.09,-0.2
6271,6227.0,90.0,116.0,25.0,100.0,-0.07,0.0,-0.0,-0.14,-0.2,-0.17
6272,6228.0,96.0,110.0,26.0,99.0,-0.07,-0.05,0.0,-0.08,-0.15,-0.09
6273,6229.0,119.0,108.0,25.0,95.0,-0.07,-0.05,0.02,0.06,-0.03,0.07
6274,6230.0,100.0,114.0,25.0,89.0,-0.08,-0.04,0.02,0.02,0.02,0.08
6275,6231.0,96.0,118.0,24.0,97.0,-0.09,-0.02,0.01,-0.02,-0.04,0.05
6276,6232.0,94.0,118.0,24.0,99.0,-0.06,-0.02,0.01,-0.1,-0.16,0.02
6277,6233.0,97.0,120.0,25.0,97.0,-0.04,-0.03,0.01,-0.09,-0.07,0.1
6278,6234.0,86.0,116.0,25.0,100.0,-0.03,-0.01,0.02,-0.11,-0.08,0.1
6279,6235.0,86.0,111.0,25.0,95.0,-0.04,-0.03,0.03,0.0,-0.13,0.16
6280,6236.0,92.0,113.0,25.0,89.0,-0.03,-0.05,0.02,0.04,-0.31,0.03
6281,6237.0,88.0,120.0,25.0,86.0,0.01,-0.08,0.01,0.09,-0.29,-0.01
6282,6238.0,94.0,117.0,24.0,93.0,0.03,-0.05,0.01,0.31,-0.11,-0.11
6283,6239.0,103.0,112.0,24.0,89.0,0.03,-0.01,0.02,0.22,-0.06,0.0
6284,6240.0,105.0,107.0,24.0,85.0,0.0,0.04,0.02,0.05,-0.1,0.0
6285,6241.0,104.0,118.0,24.0,84.0,0.02,0.0,0.01,0.05,-0.21,-0.13
6286,6242.0,104.0,116.0,23.0,82.0,0.03,-0.02,0.01,0.16,-0.01,-0.19
6287,6243.0,101.0,122.0,24.0,87.0,0.04,-0.0,0.01,0.21,0.06,-0.2
6288,6244.0,106.0,119.0,24.0,92.0,0.03,0.03,0.01,0.09,0.07,0.02
6289,6245.0,95.0,118.0,26.0,92.0,0.03,0.02,0.0,0.0,-0.01,0.01
6290,6246.0,95.0,111.0,26.0,99.0,0.04,-0.01,0.01,0.09,-0.01,-0.02
6291,6247.0,88.0,121.0,27.0,92.0,0.05,0.04,0.01,0.16,0.05,-0.07
6292,6248.0,91.0,128.0,25.0,84.0,0.05,0.05,0.02,-0.02,0.14,-0.03
6293,6249.0,97.0,129.0,25.0,77.0,0.04,0.04,0.03,-0.02,0.1,0.11
6294,6250.0,88.0,128.0,25.0,77.0,0.04,0.02,0.03,0.28,0.12,0.76
6295,6251.0,92.0,125.0,24.0,75.0,0.08,0.02,0.02,0.35,0.1,1.3
6296,6252.0,88.0,127.0,24.0,70.0,0.21,-0.01,-0.02,0.47,0.01,1.9
6297,6253.0,84.0,130.0,24.0,70.0,0.41,-0.1,-0.09,0.77,0.16,2.46
6298,6254.0,82.0,130.0,24.0,75.0,0.53,-0.15,-0.14,0.96,0.16,2.75
6299,6255.0,86.0,129.0,24.0,79.0,0.92,-0.22,-0.29,1.65,0.19,4.07
6300,6256.0,80.0,122.0,24.0,81.0,1.37,-0.34,-0.51,1.65,0.15,4.82
6301,6257.0,76.0,137.0,25.0,93.0,1.6,-0.46,-0.64,1.58,-0.25,4.83
6302,6258.0,73.0,137.0,27.0,104.0,2.06,-0.85,-0.92,1.57,-0.49,4.34
6303,6259.0,70.0,138.0,27.0,104.0,2.52,-1.52,-1.22,0.89,-1.3,2.77
6304,6260.0,88.0,150.0,31.0,112.0,2.76,-2.03,-1.38,0.68,-1.5,2.48
6305,6261.0,81.0,152.0,31.0,112.0,3.24,-3.25,-1.79,1.11,-1.23,1.14
6306,6262.0,86.0,164.0,35.0,113.0,3.39,-3.74,-2.28,5.69,0.35,-0.67
6307,6263.0,91.0,186.0,38.0,112.0,3.18,-3.53,-2.5,6.37,0.27,-0.8
6308,6264.0,108.0,194.0,45.0,108.0,2.64,-2.89,-2.95,3.23,-1.05,-0.33
6309,6265.0,103.0,195.0,49.0,114.0,2.49,-2.86,-3.13,-0.68,-2.12,-0.01
6310,6266.0,94.0,184.0,47.0,122.0,2.61,-3.84,-3.35,0.14,-1.71,-0.23
6311,6267.0,122.0,176.0,66.0,114.0,2.63,-4.61,-3.62,1.67,-1.22,-1.16
6312,6268.0,115.0,189.0,75.0,108.0,2.19,-4.28,-3.78,2.42,-1.59,0.0
6313,6269.0,107.0,186.0,80.0,101.0,1.93,-3.75,-3.82,1.66,-1.62,0.05
6314,6270.0,127.0,186.0,70.0,101.0,1.48,-3.03,-3.75,-0.94,-2.96,-0.58
6315,6271.0,161.0,178.0,65.0,115.0,1.35,-3.08,-3.55,-2.31,-3.06,0.15
6316,6272.0,140.0,180.0,78.0,111.0,1.32,-3.14,-3.43,-1.54,-2.68,0.88
6317,6273.0,139.0,174.0,78.0,109.0,1.41,-2.73,-3.31,-1.84,-2.66,2.68
6318,6274.0,136.0,172.0,84.0,105.0,1.33,-2.42,-3.18,-1.55,-3.02,1.91
6319,6275.0,140.0,179.0,74.0,99.0,1.03,-1.51,-2.78,-1.5,-3.13,1.46
6320,6276.0,141.0,191.0,66.0,102.0,0.89,-0.18,-2.31,-2.85,-3.1,-0.07
6321,6277.0,129.0,181.0,63.0,108.0,0.73,0.7,-1.76,-2.71,-2.65,-1.08
