,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
5660,5611.0,41.0,103.0,46.0,55.0,-0.01,0.0,0.0,0.09,0.03,0.01
5661,5612.0,41.0,103.0,49.0,56.0,-0.01,0.03,0.0,-0.01,0.0,-0.05
5662,5613.0,41.0,100.0,51.0,57.0,-0.0,0.03,0.01,-0.11,0.0,-0.13
5663,5614.0,41.0,98.0,50.0,55.0,0.01,0.01,-0.0,-0.09,0.0,-0.12
5664,5615.0,40.0,104.0,48.0,55.0,0.01,-0.0,0.0,-0.02,0.0,-0.08
5665,5616.0,41.0,104.0,46.0,55.0,0.01,-0.01,0.01,0.0,0.0,-0.05
5666,5617.0,40.0,102.0,43.0,56.0,0.02,-0.01,0.02,-0.01,0.01,-0.09
5667,5618.0,41.0,101.0,41.0,58.0,0.03,-0.01,0.02,-0.08,0.05,-0.09
5668,5619.0,39.0,99.0,35.0,58.0,0.03,-0.02,0.03,-0.1,0.05,-0.13
5669,5620.0,40.0,97.0,35.0,61.0,0.03,-0.07,0.03,-0.11,0.0,-0.13
5670,5621.0,39.0,97.0,33.0,63.0,0.02,-0.1,0.03,-0.18,0.02,-0.09
5671,5622.0,53.0,111.0,31.0,65.0,0.01,-0.11,0.03,-0.2,0.13,0.05
5672,5623.0,55.0,136.0,32.0,64.0,-0.04,-0.1,0.03,-0.43,0.48,0.14
5673,5624.0,56.0,168.0,32.0,63.0,-0.19,-0.11,0.04,-1.27,0.18,0.52
5674,5625.0,53.0,178.0,33.0,59.0,-0.38,-0.27,-0.02,-1.19,0.01,1.31
5675,5626.0,58.0,174.0,36.0,62.0,-0.71,-0.17,-0.25,0.26,-1.55,5.38
5676,5627.0,77.0,182.0,40.0,63.0,-0.71,1.81,-0.08,1.61,0.17,5.41
5677,5628.0,90.0,220.0,48.0,65.0,-0.83,2.86,0.09,2.48,1.18,3.62
5678,5629.0,94.0,275.0,54.0,66.0,-0.81,5.36,0.67,-2.22,0.1,2.66
5679,5630.0,104.0,288.0,61.0,65.0,0.08,5.4,1.16,-0.91,1.09,2.46
5680,5631.0,99.0,283.0,53.0,82.0,0.32,5.57,1.29,1.15,0.5,0.91
5681,5632.0,98.0,265.0,51.0,81.0,0.46,6.97,1.15,1.7,0.52,1.25
5682,5633.0,87.0,267.0,45.0,78.0,0.66,7.96,0.99,1.08,0.03,1.93
5683,5634.0,89.0,295.0,44.0,77.0,0.77,8.01,0.91,2.85,0.69,1.05
5684,5635.0,92.0,286.0,42.0,76.0,0.85,7.67,0.86,1.69,-0.1,1.38
5685,5636.0,85.0,278.0,60.0,75.0,1.25,6.4,0.75,3.03,-0.24,0.52
5686,5637.0,84.0,260.0,94.0,77.0,1.43,5.8,0.64,3.3,-0.34,0.64
5687,5638.0,74.0,246.0,140.0,82.0,1.58,4.69,0.44,3.54,-0.69,-0.67
5688,5639.0,74.0,249.0,228.0,86.0,1.72,4.21,0.2,2.36,-1.78,-1.62
5689,5640.0,79.0,264.0,347.0,97.0,1.63,4.0,0.19,2.26,-1.93,-2.41
5690,5641.0,87.0,279.0,484.0,102.0,1.38,3.71,0.18,0.7,-0.62,-4.61
5691,5642.0,93.0,299.0,663.0,107.0,0.82,3.26,0.26,0.38,-0.8,-4.68
5692,5643.0,94.0,287.0,856.0,112.0,0.51,2.94,0.33,0.76,-0.64,-4.94
5693,5644.0,88.0,297.0,967.0,117.0,-0.2,2.41,0.39,0.76,-0.64,-5.56
5694,5645.0,87.0,282.0,967.0,115.0,-0.99,2.22,0.37,-1.02,-1.22,-4.62
5695,5646.0,97.0,250.0,968.0,117.0,-1.17,1.85,0.34,-1.21,-0.79,-4.46
5696,5647.0,100.0,220.0,968.0,119.0,-1.47,1.07,0.41,-0.56,-1.06,-3.15
5697,5648.0,93.0,200.0,968.0,122.0,-1.83,1.21,0.51,-0.74,-1.01,-2.15
5698,5649.0,83.0,203.0,968.0,130.0,-1.97,1.28,0.52,-0.95,-1.27,-1.96
5699,5650.0,88.0,207.0,967.0,122.0,-2.4,0.9,0.57,0.06,-1.34,-2.32
5700,5651.0,106.0,193.0,968.0,123.0,-2.59,0.78,0.58,-0.18,-1.67,-3.59
5701,5652.0,97.0,184.0,968.0,120.0,-2.82,0.62,0.6,-0.01,-2.26,-4.42
5702,5653.0,89.0,170.0,957.0,125.0,-3.62,0.21,0.66,0.37,-3.36,-3.46
5703,5654.0,82.0,170.0,808.0,141.0,-3.9,0.14,0.68,0.9,-4.16,-1.7
5704,5655.0,79.0,181.0,648.0,143.0,-4.17,0.02,0.73,1.12,-4.46,-1.03
5705,5656.0,75.0,170.0,526.0,142.0,-4.32,-0.77,0.78,1.65,-3.89,-1.7
5706,5657.0,79.0,167.0,440.0,135.0,-4.44,-0.8,0.74,1.73,-4.4,-3.38
5707,5658.0,74.0,182.0,355.0,164.0,-4.71,-0.86,0.68,1.66,-4.84,-3.46
5708,5659.0,71.0,183.0,297.0,162.0,-4.86,-0.96,0.67,1.59,-4.24,-1.24
5709,5660.0,74.0,178.0,261.0,187.0,-4.87,-1.17,0.79,1.55,-3.37,-0.2
5710,5661.0,70.0,168.0,266.0,172.0,-4.86,-1.21,0.81,2.02,-2.63,0.6
5711,5662.0,67.0,162.0,276.0,153.0,-4.9,-1.18,0.74,2.3,-2.96,0.06
5712,5663.0,63.0,163.0,302.0,144.0,-4.89,-1.31,0.7,2.11,-3.08,0.16
5713,5664.0,61.0,163.0,357.0,140.0,-4.84,-1.39,0.71,2.13,-3.1,0.31
5714,5665.0,59.0,174.0,395.0,131.0,-4.65,-1.25,0.7,2.75,-3.58,0.8
5715,5666.0,73.0,177.0,458.0,120.0,-4.37,-0.97,0.68,2.77,-2.72,2.91
5716,5667.0,72.0,189.0,516.0,112.0,-4.27,-0.79,0.63,2.8,-2.46,3.55
5717,5668.0,71.0,199.0,555.0,110.0,-4.02,-0.52,0.46,2.14,-1.97,5.94
5718,5669.0,97.0,200.0,611.0,104.0,-3.4,-0.44,0.24,1.48,-1.98,6.78
5719,5670.0,121.0,204.0,684.0,102.0,-2.96,-0.5,0.18,0.88,-1.95,6.85
5720,5671.0,110.0,215.0,736.0,99.0,-2.02,-0.75,0.17,0.57,-1.03,8.55
5721,5672.0,105.0,200.0,788.0,96.0,-1.1,-0.77,0.11,1.74,-0.2,10.11
5722,5673.0,97.0,190.0,833.0,98.0,-0.65,-0.67,0.04,1.85,0.01,9.6
5723,5674.0,90.0,189.0,859.0,94.0,0.06,-0.32,-0.12,1.8,-0.32,9.54
5724,5675.0,103.0,184.0,894.0,98.0,0.83,-0.05,-0.24,1.34,-0.29,7.93
5725,5676.0,91.0,180.0,919.0,98.0,1.18,0.05,-0.29,1.19,-0.24,7.25
5726,5677.0,92.0,181.0,927.0,97.0,1.69,0.22,-0.42,1.57,0.05,5.19
