,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
6404,6353.0,105.0,110.0,24.0,60.0,0.01,0.02,0.0,0.12,0.0,0.13
6405,6354.0,108.0,111.0,24.0,58.0,0.01,0.04,-0.0,0.06,0.0,0.06
6406,6355.0,103.0,118.0,23.0,62.0,0.01,0.02,-0.0,-0.01,0.0,0.02
6407,6356.0,119.0,119.0,24.0,61.0,0.01,-0.03,0.0,-0.01,0.03,0.05
6408,6357.0,118.0,122.0,23.0,70.0,0.01,-0.04,0.01,0.02,0.01,0.05
6409,6358.0,126.0,125.0,24.0,78.0,0.01,-0.05,0.01,0.1,-0.02,0.09
6410,6359.0,147.0,127.0,24.0,78.0,0.02,-0.04,0.01,0.0,-0.05,0.09
6411,6360.0,169.0,140.0,24.0,81.0,0.02,-0.04,0.01,0.02,0.0,0.06
6412,6361.0,153.0,148.0,24.0,77.0,0.02,-0.08,0.02,0.0,0.03,0.04
6413,6362.0,199.0,142.0,24.0,75.0,0.03,-0.16,0.04,-0.07,-0.03,-0.05
6414,6363.0,178.0,133.0,25.0,72.0,0.04,-0.23,0.05,-0.09,-0.06,-0.07
6415,6364.0,183.0,132.0,24.0,73.0,0.06,-0.33,0.06,0.02,-0.02,0.0
6416,6365.0,179.0,150.0,24.0,71.0,0.08,-0.38,0.09,-0.03,0.01,0.05
6417,6366.0,193.0,157.0,24.0,69.0,0.08,-0.39,0.1,0.13,0.0,0.12
6418,6367.0,180.0,182.0,24.0,72.0,0.08,-0.39,0.11,0.14,0.1,0.16
6419,6368.0,158.0,230.0,37.0,81.0,0.07,-0.33,0.1,0.43,0.1,0.35
6420,6369.0,139.0,236.0,37.0,114.0,0.06,-0.27,0.09,0.41,0.07,0.35
6421,6370.0,146.0,251.0,69.0,127.0,0.08,-0.15,0.08,-0.48,-0.11,0.11
6422,6371.0,167.0,307.0,110.0,186.0,0.15,-0.27,0.17,-0.07,0.21,0.16
6423,6372.0,170.0,420.0,178.0,244.0,0.18,-0.48,0.29,-0.22,-0.24,-0.06
6424,6373.0,188.0,490.0,326.0,253.0,0.25,-0.83,0.48,-1.67,-1.06,-0.41
6425,6374.0,209.0,545.0,366.0,285.0,0.45,-3.83,1.58,-7.43,-3.12,-3.54
6426,6375.0,216.0,510.0,333.0,292.0,0.68,-5.78,1.98,-12.69,-6.78,-1.15
6427,6376.0,190.0,486.0,354.0,258.0,1.29,-10.41,3.08,-12.74,-6.36,1.8
6428,6377.0,188.0,456.0,512.0,234.0,1.88,-10.75,4.66,-15.62,-10.67,3.44
6429,6378.0,216.0,448.0,512.0,248.0,2.22,-9.74,5.22,-13.54,-9.73,4.45
6430,6379.0,297.0,493.0,447.0,269.0,2.94,-5.73,5.72,-3.22,-3.99,1.83
6431,6380.0,299.0,468.0,378.0,259.0,3.31,-2.15,4.99,1.89,-1.24,0.02
6432,6381.0,289.0,428.0,426.0,225.0,3.14,-0.83,4.8,3.25,-2.42,-0.82
6433,6382.0,289.0,416.0,384.0,218.0,3.02,-0.05,4.43,4.97,-3.63,-3.2
6434,6383.0,280.0,390.0,362.0,213.0,2.94,-0.29,3.93,5.88,-2.36,-5.29
6435,6384.0,270.0,392.0,330.0,197.0,2.82,-0.51,3.68,7.03,-0.7,-6.15
6436,6385.0,233.0,353.0,308.0,179.0,2.51,-0.78,3.12,8.96,0.41,-6.82
6437,6386.0,236.0,327.0,296.0,171.0,1.96,-0.48,2.47,8.88,0.32,-7.05
6438,6387.0,213.0,316.0,351.0,150.0,1.6,-0.28,2.14,9.0,0.16,-6.87
6439,6388.0,183.0,313.0,367.0,143.0,0.93,0.03,1.49,8.26,0.06,-6.18
6440,6389.0,165.0,285.0,359.0,155.0,0.49,0.18,0.89,5.74,0.2,-4.4
6441,6390.0,164.0,288.0,339.0,148.0,0.36,0.15,0.64,4.78,0.17,-3.59
6442,6391.0,167.0,314.0,304.0,133.0,0.19,0.03,0.27,3.16,0.22,-1.03
6443,6392.0,153.0,311.0,310.0,127.0,0.08,0.02,0.05,2.3,0.29,-0.83
6444,6393.0,135.0,301.0,300.0,124.0,-0.01,0.12,-0.02,1.31,0.13,-1.3
6445,6394.0,138.0,289.0,279.0,131.0,-0.11,0.4,-0.09,0.31,-0.17,-0.41
6446,6395.0,183.0,291.0,248.0,133.0,-0.03,0.47,-0.1,-0.24,-0.02,1.68
6447,6396.0,172.0,274.0,225.0,127.0,0.03,0.44,-0.1,-0.58,0.0,1.97
6448,6397.0,159.0,288.0,203.0,117.0,0.13,0.27,-0.07,-0.3,0.3,0.94
6449,6398.0,138.0,272.0,184.0,114.0,0.13,0.21,-0.05,0.17,0.44,-0.81
6450,6399.0,124.0,257.0,158.0,110.0,0.1,0.24,-0.05,0.37,0.3,-0.8
6451,6400.0,105.0,247.0,130.0,111.0,0.08,0.27,-0.09,0.62,0.17,-0.33
6452,6401.0,108.0,222.0,111.0,110.0,0.03,0.24,-0.1,0.53,0.17,0.02
6453,6402.0,103.0,208.0,100.0,102.0,-0.0,0.21,-0.11,0.44,0.16,0.28
6454,6403.0,109.0,240.0,91.0,104.0,-0.01,0.04,-0.11,0.01,0.27,-0.31
6455,6404.0,106.0,224.0,79.0,106.0,0.03,-0.14,-0.09,-0.02,0.23,-0.29
6456,6405.0,101.0,203.0,69.0,98.0,0.05,-0.19,-0.09,0.1,0.25,-0.08
6457,6406.0,99.0,189.0,59.0,98.0,0.05,-0.14,-0.09,0.15,0.29,0.06
6458,6407.0,103.0,210.0,52.0,90.0,0.03,-0.04,-0.09,-0.04,0.15,0.13
6459,6408.0,100.0,219.0,47.0,87.0,0.03,0.01,-0.08,-0.1,0.19,-0.03
6460,6409.0,114.0,245.0,42.0,88.0,0.03,0.08,-0.05,-0.38,0.2,-0.33
