,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
647,640.0,43.0,94.0,74.0,47.0,-0.01,0.04,0.02,-0.02,-0.1,-0.01
648,641.0,46.0,102.0,73.0,47.0,-0.02,0.04,0.05,0.0,-0.11,0.0
649,642.0,45.0,105.0,67.0,46.0,-0.02,0.05,0.06,0.05,-0.05,0.05
650,643.0,44.0,102.0,61.0,46.0,-0.02,0.07,0.06,0.08,-0.02,0.06
651,644.0,43.0,98.0,59.0,46.0,-0.01,0.1,0.03,0.0,0.0,-0.01
652,645.0,43.0,100.0,60.0,45.0,-0.02,0.1,0.02,-0.05,-0.05,-0.06
653,646.0,43.0,99.0,65.0,45.0,-0.02,0.08,0.02,-0.14,-0.18,-0.08
654,647.0,46.0,102.0,66.0,49.0,-0.01,0.05,0.05,-0.08,-0.16,-0.08
655,648.0,46.0,109.0,168.0,61.0,-0.01,0.04,0.06,0.3,0.01,0.19
656,649.0,44.0,109.0,186.0,69.0,-0.04,0.12,0.11,0.41,0.04,0.3
657,650.0,43.0,109.0,156.0,89.0,-0.13,0.37,0.17,0.26,-0.1,0.44
658,651.0,42.0,108.0,172.0,87.0,-0.19,0.52,0.24,0.24,-0.26,0.75
659,652.0,44.0,109.0,176.0,93.0,-0.36,1.02,0.33,-0.06,-0.25,0.86
660,653.0,42.0,108.0,161.0,89.0,-0.56,1.74,0.24,-0.24,-1.16,2.46
661,654.0,42.0,104.0,131.0,89.0,-0.69,2.39,0.09,-7.66,-1.4,2.43
662,655.0,45.0,102.0,106.0,83.0,-0.59,2.9,0.72,-12.33,-2.37,2.12
663,656.0,41.0,99.0,92.0,80.0,-0.18,1.78,1.85,-14.46,-3.28,1.75
664,657.0,44.0,104.0,107.0,88.0,0.02,1.44,2.3,-11.28,-1.59,-0.04
665,658.0,43.0,106.0,94.0,90.0,-0.18,1.66,3.09,-10.54,-1.99,-0.21
666,659.0,42.0,110.0,90.0,87.0,-0.58,2.31,3.73,-8.86,-2.68,-0.04
667,660.0,42.0,110.0,78.0,85.0,-0.73,2.38,4.02,-7.15,-3.81,0.15
668,661.0,42.0,110.0,74.0,84.0,-0.91,2.02,4.57,-6.23,-4.31,0.14
669,662.0,41.0,115.0,64.0,78.0,-0.92,1.52,4.9,-2.09,-4.2,0.0
670,663.0,41.0,119.0,55.0,74.0,-0.94,1.4,4.96,0.63,-4.15,-0.59
671,664.0,40.0,118.0,51.0,81.0,-1.15,1.66,4.92,2.3,-3.76,-0.79
672,665.0,43.0,117.0,45.0,81.0,-1.41,1.99,4.75,3.04,-3.96,-0.44
673,666.0,42.0,109.0,41.0,75.0,-1.44,2.04,4.65,3.93,-4.68,0.12
674,667.0,42.0,109.0,37.0,69.0,-1.74,1.85,4.51,4.22,-4.81,0.26
675,668.0,41.0,105.0,34.0,69.0,-1.74,1.51,4.21,4.31,-5.22,0.22
676,669.0,40.0,106.0,32.0,69.0,-1.73,1.27,4.06,5.54,-5.38,0.02
677,670.0,43.0,109.0,30.0,70.0,-1.7,1.0,3.64,5.61,-5.54,0.23
678,671.0,43.0,111.0,29.0,73.0,-1.72,0.88,3.19,5.93,-5.79,0.63
679,672.0,42.0,109.0,28.0,72.0,-1.75,0.83,3.02,6.23,-6.22,1.3
680,673.0,42.0,113.0,27.0,69.0,-1.57,0.83,2.61,6.3,-6.19,1.24
681,674.0,42.0,112.0,27.0,68.0,-1.43,0.77,2.2,5.98,-7.29,0.69
682,675.0,44.0,106.0,42.0,73.0,-1.32,0.71,2.02,5.92,-8.34,0.16
683,676.0,46.0,107.0,38.0,73.0,-1.13,0.73,1.69,6.27,-8.9,0.4
684,677.0,47.0,108.0,71.0,70.0,-1.05,0.72,1.47,6.18,-9.29,1.48
685,678.0,67.0,122.0,131.0,74.0,-0.85,0.83,1.25,6.0,-9.68,-0.08
686,679.0,105.0,136.0,184.0,88.0,-0.47,1.01,0.88,5.39,-9.6,-0.9
687,680.0,102.0,157.0,237.0,84.0,0.19,0.58,0.49,2.27,-6.43,1.11
688,681.0,103.0,150.0,288.0,96.0,0.65,0.14,0.24,2.52,-0.57,3.91
689,682.0,101.0,151.0,387.0,92.0,1.33,-0.57,-0.1,2.91,2.32,4.65
690,683.0,108.0,151.0,479.0,88.0,1.47,-0.25,-0.25,0.99,7.89,2.04
691,684.0,107.0,156.0,703.0,93.0,1.44,0.05,-0.29,-1.19,11.16,1.1
692,685.0,109.0,144.0,913.0,91.0,1.28,0.31,-0.31,-3.02,13.29,0.97
693,686.0,106.0,141.0,968.0,88.0,1.12,0.15,-0.3,-3.75,14.43,1.02
694,687.0,115.0,146.0,968.0,84.0,0.96,0.08,-0.22,-4.1,13.5,0.45
695,688.0,109.0,137.0,968.0,85.0,0.39,0.03,0.01,-3.35,12.24,0.42
696,689.0,96.0,138.0,968.0,78.0,-0.2,-0.0,0.19,-2.77,9.59,-0.04
697,690.0,100.0,136.0,968.0,72.0,-0.43,-0.1,0.26,-1.43,5.55,-1.31
698,691.0,94.0,139.0,967.0,74.0,-0.72,-0.35,0.33,-1.17,4.53,-1.49
699,692.0,86.0,130.0,968.0,73.0,-0.83,-0.6,0.3,0.28,2.65,-1.17
700,693.0,80.0,133.0,968.0,73.0,-0.86,-0.62,0.26,1.32,1.39,-0.99
701,694.0,73.0,134.0,968.0,70.0,-0.81,-0.38,0.11,1.25,0.35,-0.86
702,695.0,77.0,132.0,968.0,71.0,-0.92,-0.19,0.03,1.18,-0.97,-0.44
703,696.0,80.0,129.0,902.0,71.0,-0.94,-0.19,0.0,1.52,-2.91,-0.14
704,697.0,72.0,129.0,823.0,72.0,-0.77,-0.28,-0.08,1.93,-3.21,-0.05
705,698.0,69.0,122.0,746.0,76.0,-0.55,-0.42,-0.18,2.5,-4.11,0.69
706,699.0,64.0,133.0,662.0,78.0,-0.38,-0.47,-0.26,4.27,-5.22,1.15
707,700.0,69.0,133.0,572.0,78.0,-0.04,-0.37,-0.47,4.72,-5.51,1.25
708,701.0,68.0,131.0,487.0,80.0,0.21,-0.17,-0.76,6.07,-6.25,1.15
709,702.0,63.0,121.0,423.0,89.0,0.32,-0.07,-0.94,6.45,-6.53,0.86
710,703.0,60.0,126.0,350.0,87.0,0.6,-0.09,-1.34,6.49,-6.69,0.4
711,704.0,62.0,130.0,289.0,91.0,0.93,-0.38,-1.78,6.36,-6.86,0.2
712,705.0,74.0,122.0,230.0,89.0,1.08,-0.56,-2.01,6.12,-5.64,0.76
713,706.0,68.0,127.0,183.0,87.0,1.34,-1.04,-2.44,5.79,-5.04,0.85
714,707.0,68.0,131.0,157.0,81.0,1.47,-1.51,-2.91,6.09,-3.84,0.17
715,708.0,63.0,130.0,131.0,74.0,1.41,-1.54,-3.16,5.31,-2.59,-0.45
716,709.0,83.0,142.0,109.0,72.0,1.23,-1.44,-3.63,4.74,-2.42,-0.9
717,710.0,82.0,141.0,108.0,71.0,1.16,-1.8,-4.05,1.55,-2.18,-1.3
718,711.0,73.0,139.0,91.0,71.0,1.17,-2.31,-4.23,2.11,-1.0,-1.17
719,712.0,65.0,156.0,90.0,67.0,0.99,-3.08,-4.4,2.24,-0.65,-1.27
720,713.0,88.0,164.0,125.0,65.0,0.39,-2.35,-4.57,2.89,-1.28,-1.11
721,714.0,91.0,188.0,119.0,62.0,0.09,-1.61,-4.68,0.96,-1.32,-1.77
722,715.0,101.0,204.0,152.0,64.0,-0.31,-0.86,-4.76,-2.17,-2.33,-1.3
723,716.0,95.0,188.0,138.0,67.0,-0.06,-1.9,-4.66,-3.72,-2.38,-0.73
724,717.0,92.0,192.0,116.0,70.0,0.27,-2.9,-4.56,-1.33,-2.79,-0.69
725,718.0,90.0,195.0,112.0,70.0,0.77,-4.13,-4.29,0.97,-2.23,-0.32
726,719.0,104.0,209.0,113.0,67.0,0.35,-2.43,-4.08,-4.46,-3.17,4.85
727,720.0,115.0,201.0,114.0,64.0,-0.13,-1.65,-3.83,-4.43,-3.89,5.4
728,721.0,99.0,193.0,146.0,62.0,-0.54,-1.46,-3.13,-6.18,-3.04,3.94
729,722.0,91.0,177.0,150.0,63.0,-0.09,-2.51,-2.55,-4.84,-2.0,1.46
730,723.0,82.0,170.0,134.0,70.0,0.18,-3.01,-2.23,-3.48,-1.47,1.66
731,724.0,92.0,171.0,141.0,70.0,0.5,-3.08,-1.82,-2.16,-1.56,3.03
732,725.0,94.0,163.0,155.0,66.0,0.18,-1.59,-1.56,-1.87,-1.7,4.18
733,726.0,87.0,171.0,168.0,64.0,0.04,-0.89,-1.46,-3.38,-1.64,3.28
734,727.0,86.0,181.0,182.0,62.0,0.02,-0.34,-1.16,-3.08,-1.64,3.13
735,728.0,79.0,180.0,187.0,60.0,0.21,-0.68,-0.84,-2.61,-1.34,2.21
736,729.0,80.0,184.0,187.0,62.0,0.28,-0.92,-0.74,-0.82,-0.96,0.62
737,730.0,78.0,180.0,194.0,62.0,0.35,-1.06,-0.64,0.01,-0.84,0.33
738,731.0,84.0,185.0,196.0,60.0,0.05,-0.0,-0.55,-7.67,-5.52,4.48
739,732.0,74.0,170.0,203.0,58.0,-0.15,0.78,-0.73,-1.92,0.76,-0.56
740,733.0,89.0,178.0,207.0,57.0,-0.16,0.65,0.05,-1.43,-1.37,-2.37
741,734.0,80.0,165.0,219.0,56.0,0.14,-0.05,0.09,0.17,0.03,-2.27
742,735.0,72.0,151.0,226.0,57.0,0.13,-0.32,-0.07,-1.32,-0.54,-0.29
743,736.0,65.0,150.0,234.0,56.0,0.08,-0.66,-0.19,-0.78,-0.34,-0.28
744,737.0,60.0,157.0,241.0,55.0,0.07,-0.75,-0.12,0.15,0.02,-0.07
745,738.0,62.0,152.0,250.0,54.0,0.07,-0.75,-0.07,-0.1,-0.04,0.34
746,739.0,66.0,147.0,255.0,54.0,0.07,-0.67,0.01,0.16,0.02,0.29
747,740.0,62.0,138.0,255.0,54.0,0.06,-0.47,-0.03,0.77,0.22,0.53
748,741.0,56.0,125.0,260.0,57.0,0.08,-0.31,-0.09,0.64,0.23,0.66
749,742.0,53.0,116.0,263.0,58.0,0.11,0.05,-0.16,0.63,0.21,0.62
750,743.0,50.0,116.0,262.0,57.0,0.12,0.34,-0.14,0.54,-0.02,0.45
751,744.0,49.0,112.0,264.0,57.0,0.12,0.46,-0.12,0.27,-0.06,0.33
752,745.0,53.0,113.0,256.0,55.0,0.11,0.59,-0.08,-0.09,-0.07,-0.15
753,746.0,50.0,113.0,252.0,54.0,0.11,0.51,-0.02,-0.15,0.0,-0.11
754,747.0,49.0,108.0,244.0,55.0,0.11,0.44,0.0,-0.27,-0.02,-0.1
755,748.0,46.0,105.0,244.0,54.0,0.08,0.33,0.03,-0.32,0.03,-0.24
756,749.0,46.0,103.0,238.0,54.0,0.05,0.2,0.03,-0.24,-0.01,-0.18
757,750.0,44.0,96.0,235.0,53.0,0.05,0.14,0.01,-0.3,0.0,-0.13
758,751.0,44.0,101.0,234.0,52.0,0.03,0.08,-0.01,-0.09,0.11,-0.12
759,752.0,43.0,101.0,230.0,52.0,0.01,0.06,-0.03,0.01,0.04,0.05
760,753.0,42.0,97.0,227.0,53.0,0.01,0.05,-0.04,0.05,0.03,0.07
761,754.0,41.0,95.0,225.0,54.0,0.01,0.06,-0.04,0.04,-0.04,0.0
762,755.0,45.0,98.0,224.0,55.0,-0.0,0.09,-0.03,0.1,-0.06,0.05
763,756.0,45.0,98.0,221.0,54.0,0.0,0.11,-0.01,0.05,-0.05,0.02
764,757.0,44.0,101.0,217.0,51.0,-0.0,0.14,0.0,-0.05,-0.05,-0.1
765,758.0,43.0,100.0,217.0,52.0,0.0,0.12,0.0,-0.01,-0.02,-0.05
766,759.0,42.0,99.0,216.0,52.0,0.01,0.12,0.01,0.07,-0.02,-0.02
