,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
4741,4699.0,43.0,116.0,25.0,50.0,-0.01,-0.0,-0.0,-0.01,0.09,0.0
4742,4700.0,42.0,113.0,24.0,51.0,-0.01,-0.01,0.0,-0.01,0.1,0.0
4743,4701.0,41.0,115.0,24.0,52.0,-0.01,-0.0,0.0,0.08,0.17,0.08
4744,4702.0,41.0,112.0,25.0,50.0,-0.01,0.02,0.0,0.01,0.11,0.01
4745,4703.0,41.0,112.0,24.0,53.0,0.0,0.03,-0.01,-0.06,0.1,-0.02
4746,4704.0,40.0,111.0,24.0,51.0,0.0,0.0,-0.0,-0.11,0.04,-0.08
4747,4705.0,40.0,113.0,23.0,49.0,0.01,-0.01,0.01,0.05,0.22,0.02
4748,4706.0,40.0,110.0,24.0,49.0,0.01,-0.02,0.01,0.04,0.22,0.08
4749,4707.0,41.0,109.0,24.0,50.0,0.01,0.0,0.0,0.05,0.19,0.08
4750,4708.0,41.0,108.0,23.0,50.0,0.0,0.01,-0.01,-0.01,0.11,-0.03
4751,4709.0,42.0,110.0,23.0,52.0,0.0,0.01,-0.01,-0.02,0.1,-0.02
4752,4710.0,42.0,112.0,24.0,51.0,0.01,0.01,-0.0,0.0,0.13,0.0
4753,4711.0,41.0,115.0,24.0,51.0,0.01,0.01,0.0,0.01,0.15,0.0
4754,4712.0,44.0,115.0,25.0,52.0,0.01,-0.0,0.0,0.01,0.14,0.0
4755,4713.0,47.0,118.0,25.0,59.0,0.01,-0.01,-0.0,-0.07,0.15,-0.05
4756,4714.0,49.0,117.0,31.0,63.0,0.01,-0.01,-0.0,-0.11,0.12,-0.07
4757,4715.0,52.0,122.0,96.0,79.0,0.01,-0.05,-0.0,-0.12,0.04,-0.08
4758,4716.0,54.0,125.0,163.0,84.0,0.01,-0.15,0.05,-0.19,0.16,-0.17
4759,4717.0,55.0,134.0,196.0,78.0,0.0,-0.3,0.12,-0.9,-0.14,-0.14
4760,4718.0,64.0,133.0,268.0,94.0,-0.06,-0.56,0.26,-1.2,-0.28,-0.14
4761,4719.0,65.0,143.0,247.0,106.0,-0.14,-0.59,0.39,-1.3,-0.32,0.27
4762,4720.0,71.0,137.0,279.0,98.0,-0.21,-0.37,0.43,-1.33,-0.9,3.04
4763,4721.0,72.0,137.0,254.0,96.0,-0.62,0.66,0.43,-7.7,-1.29,4.06
4764,4722.0,68.0,137.0,258.0,91.0,-0.26,1.01,1.39,-8.53,-3.03,3.68
4765,4723.0,76.0,142.0,210.0,96.0,0.02,1.06,1.91,-7.98,-3.03,4.12
4766,4724.0,82.0,141.0,171.0,89.0,0.4,1.24,2.63,-6.55,-2.01,4.19
4767,4725.0,78.0,139.0,141.0,82.0,0.35,1.7,2.91,-4.71,-1.7,4.07
4768,4726.0,81.0,162.0,114.0,84.0,0.28,2.05,2.93,-2.58,-0.81,4.18
4769,4727.0,115.0,224.0,101.0,93.0,0.26,2.6,2.89,-1.71,-0.54,4.14
4770,4728.0,138.0,242.0,86.0,91.0,0.56,2.45,2.73,-0.34,0.01,2.98
4771,4729.0,133.0,237.0,73.0,93.0,0.8,2.18,2.57,2.39,1.45,1.48
4772,4730.0,144.0,242.0,59.0,96.0,1.17,1.84,2.14,3.4,1.88,1.62
4773,4731.0,140.0,234.0,57.0,89.0,1.11,1.9,1.59,5.04,2.06,2.3
4774,4732.0,138.0,231.0,52.0,85.0,1.0,1.97,1.28,5.79,1.82,1.85
4775,4733.0,123.0,229.0,52.0,86.0,0.78,2.08,0.73,6.29,1.69,1.13
4776,4734.0,121.0,231.0,52.0,98.0,0.91,1.82,0.43,5.95,0.49,-1.11
4777,4735.0,119.0,219.0,47.0,99.0,1.12,1.43,0.37,4.65,-0.41,0.56
4778,4736.0,110.0,214.0,45.0,91.0,1.57,0.45,0.32,4.19,-0.53,1.06
4779,4737.0,124.0,223.0,41.0,85.0,1.61,0.06,0.24,4.15,-0.74,1.1
4780,4738.0,149.0,241.0,42.0,78.0,1.47,0.4,0.12,3.66,-0.67,-0.06
4781,4739.0,146.0,243.0,47.0,75.0,1.16,1.38,-0.22,3.51,-0.6,0.0
4782,4740.0,152.0,235.0,71.0,78.0,1.08,1.9,-0.44,2.67,-0.77,-0.4
4783,4741.0,151.0,253.0,82.0,79.0,1.13,2.05,-0.49,1.93,-1.21,-1.02
4784,4742.0,162.0,275.0,77.0,80.0,1.3,2.19,-0.47,1.44,-1.41,-1.71
4785,4743.0,183.0,276.0,106.0,86.0,1.56,1.84,-0.33,0.37,-1.74,-4.33
4786,4744.0,189.0,269.0,101.0,91.0,1.67,1.31,-0.2,-0.33,-3.12,-5.84
4787,4745.0,214.0,277.0,116.0,106.0,1.9,-0.68,0.23,-2.21,-5.24,-8.45
4788,4746.0,218.0,263.0,131.0,114.0,2.43,-4.28,1.06,-2.98,-6.24,-10.07
4789,4747.0,210.0,248.0,118.0,117.0,2.77,-6.43,1.66,-5.17,-6.43,-10.78
4790,4748.0,227.0,231.0,179.0,122.0,3.19,-10.01,3.17,-5.95,-7.16,-11.12
4791,4749.0,227.0,226.0,169.0,116.0,2.97,-11.92,4.73,-6.79,-8.11,-8.57
4792,4750.0,233.0,237.0,184.0,139.0,2.67,-12.19,5.47,-6.72,-8.78,-6.48
4793,4751.0,208.0,246.0,182.0,156.0,2.14,-11.53,6.64,-6.4,-8.89,-5.99
4794,4752.0,202.0,241.0,175.0,164.0,2.56,-11.29,7.48,-3.56,-8.43,-4.83
4795,4753.0,236.0,243.0,164.0,152.0,3.07,-11.17,7.81,-1.78,-7.81,-3.14
4796,4754.0,246.0,257.0,156.0,157.0,3.87,-9.98,8.33,0.18,-7.39,-2.29
4797,4755.0,273.0,265.0,159.0,168.0,4.13,-7.78,8.44,1.71,-7.33,-2.68
4798,4756.0,282.0,268.0,154.0,162.0,4.08,-6.66,8.22,4.15,-7.39,-4.72
4799,4757.0,263.0,253.0,159.0,156.0,3.93,-4.73,7.56,5.62,-6.93,-4.94
4800,4758.0,260.0,256.0,154.0,149.0,3.45,-2.89,6.62,7.89,-5.54,-5.32
4801,4759.0,251.0,241.0,169.0,152.0,3.21,-2.4,6.12,10.42,-3.8,-5.9
4802,4760.0,242.0,243.0,160.0,142.0,2.74,-1.77,5.05,11.04,-3.32,-6.0
4803,4761.0,240.0,254.0,150.0,128.0,2.35,-1.26,3.77,14.5,-1.61,-6.64
4804,4762.0,219.0,272.0,146.0,121.0,2.07,-0.93,2.97,16.63,-0.22,-7.14
4805,4763.0,205.0,300.0,138.0,113.0,1.4,0.02,1.17,16.52,0.13,-7.14
4806,4764.0,214.0,301.0,137.0,105.0,0.69,0.5,-0.58,16.59,0.56,-6.6
4807,4765.0,210.0,303.0,125.0,94.0,0.31,0.64,-1.42,13.44,-0.12,-6.11
4808,4766.0,206.0,287.0,120.0,88.0,-0.22,0.56,-2.69,12.7,-0.61,-5.96
4809,4767.0,229.0,324.0,123.0,85.0,-0.55,0.59,-3.65,11.31,-1.47,-5.41
