,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
5156,5106.0,50.0,102.0,28.0,56.0,0.02,-0.08,0.01,-0.03,0.11,-0.06
5157,5107.0,49.0,103.0,27.0,54.0,0.02,-0.09,0.01,0.0,0.1,-0.01
5158,5108.0,47.0,105.0,27.0,55.0,0.02,-0.07,0.01,-0.02,0.09,0.02
5159,5109.0,53.0,108.0,26.0,55.0,0.02,-0.04,-0.0,0.0,0.12,-0.02
5160,5110.0,52.0,115.0,26.0,57.0,0.02,-0.04,-0.0,-0.06,0.1,-0.01
5161,5111.0,51.0,112.0,26.0,58.0,0.01,-0.04,0.0,-0.06,0.09,0.01
5162,5112.0,49.0,112.0,26.0,57.0,0.01,-0.04,0.01,0.01,0.1,0.02
5163,5113.0,49.0,107.0,26.0,57.0,0.01,-0.03,0.01,-0.05,0.12,-0.01
5164,5114.0,58.0,109.0,25.0,61.0,0.01,-0.02,0.01,-0.11,0.1,-0.08
5165,5115.0,55.0,110.0,25.0,59.0,0.0,-0.02,-0.0,-0.12,0.07,-0.09
5166,5116.0,51.0,106.0,25.0,56.0,0.01,-0.02,-0.01,-0.13,0.14,0.0
5167,5117.0,49.0,105.0,25.0,53.0,-0.0,-0.05,-0.01,-0.13,0.1,-0.07
5168,5118.0,59.0,117.0,25.0,60.0,-0.01,-0.08,-0.01,-0.13,0.04,-0.07
5169,5119.0,62.0,133.0,25.0,67.0,-0.01,-0.1,-0.01,-0.1,0.03,0.0
5170,5120.0,69.0,147.0,25.0,73.0,0.03,-0.11,-0.01,-0.2,0.06,0.02
5171,5121.0,89.0,166.0,24.0,96.0,0.12,-0.13,0.0,-0.42,0.06,-0.19
5172,5122.0,96.0,175.0,24.0,115.0,0.12,-0.16,0.01,-0.71,0.05,0.0
5173,5123.0,136.0,175.0,25.0,130.0,0.13,-0.22,0.01,-0.56,0.18,0.21
5174,5124.0,162.0,189.0,36.0,147.0,0.14,-0.3,0.07,-0.03,0.48,0.73
5175,5125.0,208.0,248.0,50.0,176.0,0.06,-0.33,0.1,-0.05,0.9,0.66
5176,5126.0,216.0,238.0,84.0,159.0,-0.29,-0.09,-0.06,-1.56,0.52,5.88
5177,5127.0,218.0,263.0,94.0,146.0,-0.79,1.18,-0.65,-4.45,-1.49,9.1
5178,5128.0,213.0,266.0,103.0,142.0,-0.87,1.73,-0.81,-4.54,0.43,8.24
5179,5129.0,217.0,286.0,93.0,128.0,-0.38,2.46,-0.38,-7.59,-2.3,1.6
5180,5130.0,198.0,298.0,86.0,138.0,0.45,0.83,0.1,-12.58,-4.24,2.45
5181,5131.0,166.0,258.0,72.0,129.0,1.06,-0.37,0.59,-8.82,-3.92,7.71
5182,5132.0,181.0,266.0,61.0,115.0,1.91,-1.65,1.39,-3.39,-2.35,5.11
5183,5133.0,191.0,278.0,54.0,115.0,1.66,1.01,1.76,-2.88,-2.49,3.06
5184,5134.0,186.0,260.0,47.0,120.0,1.62,1.92,1.96,-2.28,-2.78,2.26
5185,5135.0,169.0,252.0,43.0,113.0,1.78,2.37,2.25,0.68,-1.63,-1.35
5186,5136.0,157.0,235.0,39.0,108.0,1.67,2.14,2.35,2.79,-1.26,-2.74
5187,5137.0,141.0,229.0,35.0,101.0,1.58,1.89,2.28,3.5,-0.91,-3.32
5188,5138.0,158.0,225.0,31.0,92.0,1.37,1.05,1.97,5.1,-0.15,-5.0
5189,5139.0,162.0,236.0,32.0,91.0,1.06,0.26,1.56,5.67,-0.15,-5.11
5190,5140.0,155.0,220.0,30.0,101.0,0.92,0.06,1.35,5.28,0.08,-4.82
5191,5141.0,136.0,201.0,30.0,99.0,0.64,-0.13,0.99,4.84,0.13,-4.26
5192,5142.0,122.0,189.0,30.0,93.0,0.54,-0.23,0.85,4.48,0.16,-3.5
