,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
1288,1276.0,56.0,126.0,23.0,49.0,0.01,0.0,0.01,-0.05,0.15,-0.05
1289,1277.0,60.0,133.0,23.0,48.0,0.01,-0.0,0.02,-0.09,0.15,-0.09
1290,1278.0,65.0,131.0,23.0,48.0,0.01,-0.01,0.01,-0.09,0.12,-0.11
1291,1279.0,61.0,130.0,23.0,48.0,-0.0,-0.01,0.01,-0.04,0.15,-0.07
1292,1280.0,63.0,139.0,24.0,48.0,-0.0,-0.01,0.01,-0.08,0.15,-0.02
1293,1281.0,59.0,137.0,23.0,48.0,-0.0,-0.0,0.0,-0.07,0.16,-0.07
1294,1282.0,57.0,131.0,23.0,47.0,-0.01,0.01,-0.01,-0.06,0.15,-0.07
1295,1283.0,55.0,120.0,22.0,48.0,-0.01,0.01,-0.01,-0.15,0.04,-0.14
1296,1284.0,58.0,120.0,23.0,48.0,-0.01,0.0,-0.01,-0.13,0.0,-0.1
1297,1285.0,60.0,140.0,23.0,49.0,-0.0,0.01,0.0,-0.04,0.04,-0.11
1298,1286.0,61.0,141.0,22.0,50.0,0.0,-0.0,0.01,0.0,0.18,0.0
1299,1287.0,67.0,145.0,22.0,50.0,-0.0,0.01,0.01,-0.03,0.18,-0.04
1300,1288.0,63.0,144.0,21.0,51.0,0.0,0.02,0.01,-0.14,0.1,-0.13
1301,1289.0,64.0,153.0,23.0,55.0,0.0,0.02,0.0,-0.16,0.1,-0.12
1302,1290.0,83.0,170.0,28.0,89.0,0.01,-0.01,-0.01,-0.1,0.12,-0.07
1303,1291.0,131.0,184.0,27.0,95.0,0.12,-0.03,-0.03,-0.32,0.11,-0.03
1304,1292.0,143.0,189.0,40.0,109.0,0.16,-0.06,-0.05,-0.26,0.27,0.21
1305,1293.0,151.0,202.0,50.0,132.0,0.2,-0.19,0.02,-0.45,0.41,0.03
1306,1294.0,219.0,202.0,63.0,222.0,0.08,-0.42,0.11,0.19,-0.1,1.26
1307,1295.0,265.0,225.0,68.0,234.0,-0.14,-0.15,0.03,-3.82,-1.03,7.85
1308,1296.0,257.0,254.0,68.0,208.0,-1.11,0.06,-0.19,-4.11,-0.33,9.98
1309,1297.0,257.0,288.0,133.0,189.0,-1.45,0.42,-0.22,-6.89,0.58,9.35
1310,1298.0,249.0,316.0,163.0,206.0,-1.19,0.58,0.08,-5.94,-0.31,3.59
