,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
2326,2304.0,67.0,97.0,23.0,45.0,-0.01,0.01,0.0,-0.07,0.05,-0.2
2327,2305.0,73.0,100.0,23.0,46.0,-0.01,0.0,-0.0,-0.08,0.02,-0.21
2328,2306.0,69.0,99.0,23.0,47.0,-0.0,-0.02,0.0,-0.03,0.05,-0.19
2329,2307.0,65.0,100.0,24.0,47.0,0.0,-0.04,0.01,-0.06,0.0,-0.16
2330,2308.0,61.0,100.0,23.0,48.0,0.0,-0.04,0.01,-0.01,0.04,-0.14
2331,2309.0,55.0,101.0,23.0,49.0,0.0,-0.05,0.01,0.0,0.04,-0.11
2332,2310.0,53.0,104.0,23.0,54.0,0.0,-0.03,0.02,0.0,0.06,-0.1
2333,2311.0,54.0,101.0,23.0,57.0,0.0,-0.02,0.02,-0.01,0.01,-0.08
2334,2312.0,48.0,106.0,23.0,62.0,0.02,0.02,0.02,0.1,0.06,-0.03
2335,2313.0,50.0,122.0,23.0,63.0,0.03,0.08,0.04,0.09,0.02,-0.06
2336,2314.0,55.0,162.0,34.0,75.0,0.05,0.1,0.05,-0.49,-0.22,-0.7
2337,2315.0,54.0,191.0,69.0,90.0,0.16,-0.13,0.07,-0.61,-0.21,-0.64
2338,2316.0,63.0,220.0,79.0,90.0,0.16,-0.33,0.13,-0.26,-0.22,0.31
2339,2317.0,58.0,227.0,118.0,86.0,0.08,-0.24,0.21,0.2,0.08,0.07
2340,2318.0,58.0,229.0,131.0,84.0,-0.13,0.01,0.29,0.04,0.17,0.29
2341,2319.0,64.0,235.0,151.0,88.0,-0.29,0.38,0.4,-0.16,0.38,0.58
2342,2320.0,64.0,228.0,142.0,92.0,-0.19,0.38,0.36,-4.25,-0.73,1.72
2343,2321.0,76.0,225.0,148.0,110.0,0.21,-0.33,0.71,-4.43,-0.05,1.99
2344,2322.0,77.0,228.0,141.0,106.0,0.68,-1.79,1.03,-2.69,-0.53,0.32
2345,2323.0,103.0,260.0,129.0,103.0,0.91,-2.34,1.08,-2.44,-0.51,1.02
2346,2324.0,94.0,259.0,122.0,93.0,1.11,-2.76,1.22,-3.04,-0.24,0.99
2347,2325.0,109.0,281.0,133.0,95.0,1.12,-3.24,1.43,-3.99,-0.57,0.15
2348,2326.0,141.0,292.0,115.0,105.0,1.33,-3.61,1.38,-1.19,0.34,0.0
2349,2327.0,154.0,308.0,116.0,131.0,1.68,-4.07,1.31,-1.23,0.31,0.53
2350,2328.0,181.0,316.0,106.0,146.0,1.93,-4.92,1.31,-0.94,0.66,-0.09
2351,2329.0,174.0,337.0,89.0,141.0,2.1,-5.53,1.26,0.86,1.16,-0.65
2352,2330.0,180.0,329.0,77.0,145.0,2.39,-6.72,1.04,1.26,1.49,-0.91
2353,2331.0,172.0,357.0,71.0,156.0,2.38,-7.43,0.67,2.23,2.11,-2.3
2354,2332.0,165.0,387.0,75.0,145.0,2.18,-7.23,0.44,2.33,2.19,-3.84
2355,2333.0,152.0,379.0,67.0,138.0,1.31,-5.66,-0.01,2.12,2.32,-4.28
2356,2334.0,163.0,389.0,72.0,134.0,0.38,-3.57,-0.33,3.34,1.38,-3.98
2357,2335.0,180.0,425.0,62.0,128.0,0.03,-2.59,-0.49,2.54,0.12,-2.37
2358,2336.0,209.0,438.0,86.0,128.0,-0.29,-1.3,-0.76,1.46,-0.61,-2.1
2359,2337.0,206.0,424.0,83.0,140.0,-0.38,-0.74,-0.95,0.45,-0.52,-1.92
2360,2338.0,195.0,382.0,76.0,138.0,-0.43,-0.5,-0.95,-0.38,-1.17,-1.02
2361,2339.0,201.0,409.0,80.0,129.0,-0.58,-0.09,-0.85,-0.64,-1.34,-0.51
2362,2340.0,187.0,407.0,77.0,119.0,-0.64,0.22,-0.63,-0.64,-1.65,-0.53
2363,2341.0,186.0,381.0,80.0,125.0,-0.64,0.27,-0.55,-1.66,-1.55,-1.26
2364,2342.0,175.0,393.0,85.0,127.0,-0.45,0.04,-0.37,-1.3,-1.2,-0.99
2365,2343.0,181.0,425.0,76.0,117.0,-0.29,-0.12,-0.25,-0.78,-0.88,-0.04
2366,2344.0,184.0,410.0,69.0,110.0,-0.26,-0.13,-0.22,-1.01,-0.7,-0.44
2367,2345.0,189.0,379.0,66.0,123.0,-0.24,-0.09,-0.15,-0.85,-0.65,-0.57
2368,2346.0,190.0,367.0,84.0,125.0,-0.21,0.06,-0.12,-0.67,0.04,-0.63
2369,2347.0,183.0,372.0,84.0,121.0,-0.2,0.14,-0.1,-0.65,0.11,-0.23
2370,2348.0,164.0,356.0,83.0,113.0,-0.16,0.07,-0.11,-0.57,0.03,-0.16
2371,2349.0,161.0,346.0,76.0,114.0,-0.07,-0.07,-0.1,-0.46,-0.03,0.33
2372,2350.0,152.0,317.0,66.0,118.0,-0.03,-0.06,-0.07,-0.63,0.26,0.16
2373,2351.0,153.0,332.0,65.0,115.0,-0.05,0.08,-0.0,-0.59,0.37,0.1
2374,2352.0,143.0,324.0,77.0,124.0,-0.07,0.18,0.01,-0.56,0.54,-0.31
2375,2353.0,140.0,328.0,71.0,128.0,-0.06,0.18,0.0,-0.29,0.41,0.01
2376,2354.0,139.0,327.0,61.0,131.0,-0.06,0.14,-0.03,-0.27,0.38,0.0
2377,2355.0,137.0,344.0,58.0,121.0,-0.04,0.13,-0.04,-0.47,0.21,-0.08
2378,2356.0,124.0,349.0,61.0,128.0,-0.04,0.18,-0.03,-0.72,0.42,-0.28
2379,2357.0,139.0,333.0,54.0,141.0,-0.06,0.24,-0.01,-0.71,0.4,-0.17
2380,2358.0,147.0,310.0,58.0,138.0,-0.08,0.14,0.03,-0.57,0.42,-0.05
2381,2359.0,138.0,315.0,55.0,127.0,-0.06,0.02,0.04,-0.3,0.24,-0.12
2382,2360.0,126.0,296.0,50.0,137.0,-0.01,-0.2,0.02,-0.35,0.21,-0.23
2383,2361.0,131.0,292.0,51.0,136.0,-0.0,-0.14,0.01,-0.13,0.29,-0.43
2384,2362.0,125.0,291.0,60.0,136.0,-0.01,-0.04,0.0,0.0,0.4,-0.1
2385,2363.0,113.0,298.0,53.0,125.0,-0.04,0.13,0.0,-0.16,0.29,-0.06
2386,2364.0,114.0,297.0,50.0,134.0,-0.04,0.12,-0.02,-0.39,0.15,-0.2
2387,2365.0,111.0,258.0,48.0,133.0,-0.02,0.06,-0.01,-0.53,0.07,-0.18
2388,2366.0,96.0,246.0,51.0,121.0,0.02,0.01,0.03,-0.51,0.16,-0.02
2389,2367.0,86.0,221.0,53.0,119.0,0.03,0.0,0.08,-0.41,-0.05,0.15
2390,2368.0,77.0,214.0,51.0,104.0,0.03,0.04,0.09,-0.29,0.09,-0.23
2391,2369.0,70.0,184.0,44.0,94.0,-0.04,0.21,0.1,-0.43,-0.27,-0.14
2392,2370.0,106.0,173.0,41.0,86.0,-0.08,0.65,0.15,-0.52,-0.58,-0.11
2393,2371.0,120.0,165.0,37.0,80.0,-0.14,0.99,0.19,-0.53,-0.78,0.15
2394,2372.0,107.0,167.0,40.0,74.0,-0.41,1.94,0.33,-0.58,-1.02,-0.01
2395,2373.0,105.0,178.0,37.0,70.0,-0.8,3.55,0.5,-1.22,-0.92,-2.59
2396,2374.0,108.0,168.0,34.0,66.0,-1.0,4.44,0.62,-0.05,-0.56,-3.39
2397,2375.0,128.0,163.0,32.0,63.0,-1.26,5.54,0.75,-0.63,-0.87,-2.81
2398,2376.0,140.0,168.0,30.0,62.0,-1.43,5.7,0.78,-1.72,-1.44,-2.88
2399,2377.0,158.0,166.0,29.0,60.0,-1.35,5.29,0.69,1.31,0.21,-1.81
2400,2378.0,180.0,160.0,28.0,59.0,-1.38,5.04,0.42,1.24,0.31,-1.05
2401,2379.0,222.0,160.0,27.0,58.0,-1.41,4.81,0.16,0.71,0.24,0.18
2402,2380.0,398.0,176.0,31.0,67.0,-1.37,4.47,0.05,2.17,0.85,-0.59
2403,2381.0,397.0,176.0,32.0,68.0,-1.47,4.42,-0.23,1.71,0.55,-0.86
2404,2382.0,391.0,172.0,31.0,66.0,-1.42,4.22,-0.59,1.62,1.01,-1.93
2405,2383.0,341.0,173.0,32.0,65.0,-1.29,3.95,-0.79,-1.1,0.45,-0.32
2406,2384.0,336.0,162.0,29.0,62.0,-0.79,2.46,-1.01,-0.66,0.29,1.79
2407,2385.0,304.0,162.0,30.0,60.0,-0.41,1.21,-0.93,-0.13,0.74,2.38
2408,2386.0,276.0,170.0,29.0,60.0,-0.36,0.88,-0.9,-0.03,1.02,1.29
2409,2387.0,258.0,169.0,28.0,58.0,-0.37,0.64,-0.77,-0.33,0.81,0.79
