,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
181,180.0,45.0,102.0,23.0,51.0,-0.0,-0.02,-0.01,-0.02,0.03,-0.02
182,181.0,45.0,100.0,23.0,52.0,-0.0,-0.01,0.0,-0.01,0.06,-0.06
183,182.0,44.0,99.0,24.0,51.0,-0.0,-0.01,0.01,0.0,0.05,-0.01
184,183.0,43.0,103.0,24.0,54.0,-0.01,-0.01,0.0,-0.03,0.08,0.01
185,184.0,43.0,101.0,23.0,52.0,-0.0,0.01,0.0,-0.06,0.06,-0.02
186,185.0,43.0,102.0,24.0,52.0,-0.01,0.01,-0.0,-0.02,0.08,-0.06
187,186.0,42.0,102.0,24.0,51.0,-0.01,0.02,-0.01,-0.07,0.04,-0.06
188,187.0,42.0,100.0,24.0,51.0,-0.01,0.0,-0.01,-0.03,0.03,-0.05
189,188.0,42.0,105.0,23.0,53.0,-0.0,-0.01,0.0,-0.02,0.03,-0.05
190,189.0,42.0,103.0,24.0,52.0,-0.0,-0.01,0.01,-0.02,0.06,-0.04
191,190.0,42.0,106.0,23.0,52.0,-0.0,-0.0,0.01,-0.03,0.06,-0.02
192,191.0,42.0,105.0,23.0,53.0,-0.0,0.0,0.01,-0.02,0.08,0.0
193,192.0,42.0,108.0,24.0,53.0,0.0,0.0,0.01,-0.04,0.06,0.0
194,193.0,42.0,105.0,24.0,54.0,0.0,-0.0,0.01,0.0,0.06,-0.01
195,194.0,42.0,112.0,24.0,54.0,0.01,0.01,0.02,-0.16,-0.05,0.0
196,195.0,41.0,134.0,31.0,60.0,0.04,0.02,0.03,-0.04,0.09,-0.03
197,196.0,40.0,136.0,39.0,70.0,0.13,0.03,0.03,-0.39,-0.35,0.0
198,197.0,40.0,145.0,49.0,74.0,0.4,-0.04,0.03,-0.19,0.27,0.38
199,198.0,41.0,168.0,56.0,80.0,0.39,-0.08,0.02,0.63,0.58,-0.04
200,199.0,41.0,196.0,69.0,81.0,0.27,-0.01,-0.01,0.12,0.21,-0.03
201,200.0,46.0,247.0,65.0,102.0,0.17,0.06,0.05,-1.38,0.12,-0.75
202,201.0,61.0,322.0,93.0,116.0,0.16,-0.07,0.12,-0.17,0.3,-0.16
203,202.0,59.0,340.0,84.0,106.0,0.25,-0.41,0.33,0.26,0.19,0.83
204,203.0,58.0,315.0,72.0,101.0,0.09,-1.12,0.65,-1.18,-0.27,-0.29
205,204.0,65.0,353.0,74.0,92.0,0.02,-1.51,0.74,-0.74,-0.34,-1.02
206,205.0,61.0,323.0,72.0,86.0,0.28,-2.18,0.87,-3.54,-1.37,-0.62
207,206.0,61.0,308.0,61.0,80.0,1.2,-3.86,0.6,1.52,1.24,-1.18
208,207.0,68.0,283.0,64.0,78.0,1.58,-4.7,0.83,-1.59,-0.53,-1.24
209,208.0,74.0,320.0,66.0,79.0,1.84,-4.92,0.89,-0.14,0.15,-0.55
210,209.0,85.0,318.0,64.0,76.0,1.83,-4.11,0.85,-0.2,0.44,0.82
211,210.0,117.0,362.0,56.0,74.0,1.8,-3.75,0.83,-0.24,0.29,0.34
212,211.0,133.0,346.0,53.0,76.0,2.01,-3.59,0.7,0.15,0.5,0.47
213,212.0,140.0,335.0,48.0,79.0,2.21,-3.72,0.63,1.03,1.31,0.88
214,213.0,148.0,338.0,46.0,79.0,2.5,-3.76,0.49,1.45,1.55,0.7
215,214.0,146.0,330.0,49.0,75.0,2.19,-3.32,0.37,0.62,1.54,-0.57
216,215.0,161.0,333.0,43.0,76.0,1.78,-3.12,0.2,0.99,1.09,-0.69
217,216.0,164.0,330.0,43.0,72.0,1.62,-3.09,0.11,1.08,0.96,-0.68
218,217.0,149.0,321.0,39.0,72.0,1.37,-3.02,-0.06,0.94,0.66,-0.83
219,218.0,156.0,331.0,41.0,83.0,1.27,-2.88,-0.15,0.94,0.52,-0.81
220,219.0,150.0,336.0,49.0,85.0,1.03,-2.28,-0.27,0.53,0.3,-0.87
221,220.0,141.0,359.0,52.0,86.0,0.72,-1.48,-0.35,0.26,0.32,-0.58
222,221.0,143.0,373.0,48.0,97.0,0.63,-1.29,-0.37,0.77,0.37,-0.6
223,222.0,123.0,344.0,45.0,92.0,0.46,-1.02,-0.35,0.36,0.13,-0.69
224,223.0,111.0,363.0,42.0,85.0,0.33,-0.89,-0.36,0.76,0.15,-1.09
225,224.0,110.0,371.0,47.0,81.0,0.22,-0.62,-0.37,0.07,0.06,-0.92
226,225.0,121.0,361.0,43.0,79.0,0.04,-0.24,-0.39,-0.01,0.08,-0.85
227,226.0,111.0,343.0,42.0,76.0,-0.01,-0.24,-0.39,0.0,-0.01,-0.45
228,227.0,98.0,359.0,40.0,73.0,-0.02,-0.26,-0.36,0.09,-0.11,-0.44
229,228.0,87.0,337.0,41.0,77.0,-0.01,-0.25,-0.31,-0.05,-0.1,-0.4
230,229.0,84.0,332.0,40.0,74.0,-0.04,-0.16,-0.26,-0.46,-0.11,-0.57
231,230.0,91.0,326.0,42.0,69.0,-0.06,-0.14,-0.23,-0.31,0.07,-0.55
232,231.0,82.0,318.0,39.0,67.0,-0.06,-0.25,-0.2,-0.18,0.1,-0.51
233,232.0,82.0,320.0,37.0,65.0,-0.12,-0.22,-0.18,-0.17,0.02,-0.61
234,233.0,75.0,340.0,35.0,64.0,-0.16,-0.1,-0.19,-0.22,0.0,-0.43
235,234.0,81.0,336.0,37.0,68.0,-0.17,-0.03,-0.18,-0.44,0.04,-0.25
236,235.0,89.0,310.0,35.0,67.0,-0.17,-0.01,-0.17,-0.41,-0.04,-0.34
237,236.0,83.0,288.0,34.0,66.0,-0.09,-0.04,-0.14,-0.42,-0.05,-0.15
238,237.0,87.0,286.0,35.0,65.0,-0.07,-0.05,-0.13,-0.48,-0.03,-0.02
239,238.0,84.0,272.0,36.0,63.0,-0.06,-0.07,-0.06,-0.32,0.13,-0.22
240,239.0,87.0,298.0,44.0,62.0,-0.05,-0.07,-0.05,-0.17,0.21,-0.43
241,240.0,88.0,312.0,46.0,66.0,-0.05,-0.04,-0.04,-0.27,0.18,-0.3
242,241.0,102.0,292.0,44.0,71.0,-0.04,-0.06,-0.04,-0.29,0.15,-0.15
243,242.0,94.0,276.0,40.0,69.0,-0.03,-0.08,-0.03,-0.2,0.17,0.04
244,243.0,88.0,264.0,49.0,68.0,-0.05,-0.09,0.02,-0.3,0.1,-0.02
245,244.0,82.0,265.0,45.0,73.0,-0.06,-0.04,0.06,-0.31,0.0,-0.14
246,245.0,96.0,272.0,41.0,77.0,-0.06,0.02,0.07,-0.35,0.12,-0.28
247,246.0,100.0,296.0,40.0,78.0,-0.02,0.04,0.08,-0.12,0.22,-0.39
248,247.0,93.0,304.0,49.0,78.0,0.03,-0.02,0.06,-0.13,0.31,-0.15
249,248.0,96.0,289.0,44.0,76.0,0.03,-0.02,0.04,-0.2,0.32,0.08
250,249.0,101.0,272.0,42.0,72.0,-0.01,-0.0,0.01,-0.02,0.28,0.07
251,250.0,106.0,265.0,39.0,73.0,-0.05,0.1,-0.01,-0.08,0.22,-0.2
252,251.0,103.0,268.0,40.0,71.0,-0.05,0.12,-0.01,-0.12,0.22,-0.24
253,252.0,109.0,268.0,39.0,70.0,0.01,0.0,0.02,-0.11,0.23,-0.17
254,253.0,102.0,262.0,36.0,72.0,0.03,-0.06,0.04,0.0,0.17,-0.16
255,254.0,94.0,262.0,40.0,74.0,0.03,-0.04,0.03,-0.13,0.19,-0.18
256,255.0,105.0,267.0,48.0,77.0,0.03,0.01,-0.01,-0.1,0.26,-0.24
257,256.0,113.0,299.0,44.0,74.0,0.01,0.04,-0.01,-0.1,0.33,-0.3
258,257.0,102.0,296.0,42.0,72.0,0.0,0.02,0.0,-0.06,0.23,-0.14
259,258.0,102.0,329.0,43.0,72.0,0.0,-0.05,0.02,-0.09,0.18,-0.18
260,259.0,91.0,302.0,40.0,70.0,-0.01,0.0,0.01,0.09,-0.06,-0.12
261,260.0,91.0,271.0,41.0,70.0,-0.05,0.13,0.01,-0.07,-0.14,-0.13
262,261.0,83.0,253.0,40.0,69.0,-0.11,0.28,0.06,-0.31,-0.11,0.0
263,262.0,94.0,256.0,41.0,69.0,-0.24,0.22,0.2,-0.25,-0.01,0.37
264,263.0,91.0,257.0,37.0,71.0,-0.34,0.2,0.27,-1.23,0.03,-0.98
265,264.0,108.0,258.0,37.0,90.0,-0.22,0.11,0.25,-0.68,0.2,-1.17
266,265.0,126.0,269.0,37.0,102.0,0.16,0.01,0.13,0.23,0.13,-0.77
267,266.0,129.0,262.0,42.0,111.0,0.24,0.05,0.12,-0.13,0.31,0.09
268,267.0,116.0,242.0,44.0,104.0,0.38,-0.14,0.09,-0.34,0.15,0.1
269,268.0,104.0,237.0,41.0,94.0,0.39,-0.29,0.09,-0.19,-0.08,-0.15
270,269.0,102.0,278.0,42.0,86.0,0.32,-0.18,0.07,0.76,0.2,0.07
271,270.0,97.0,261.0,49.0,81.0,0.1,0.26,0.09,0.9,0.39,-0.14
272,271.0,88.0,249.0,44.0,82.0,0.04,0.22,0.11,-0.34,0.08,-0.44
273,272.0,85.0,227.0,39.0,79.0,0.04,0.05,0.13,-0.32,0.16,-0.12
274,273.0,82.0,232.0,36.0,75.0,-0.06,0.04,0.22,0.04,0.12,-0.12
275,274.0,88.0,209.0,35.0,72.0,-0.25,0.23,0.33,0.19,-0.07,-0.49
276,275.0,99.0,192.0,35.0,71.0,-0.35,0.44,0.4,-0.29,0.31,-1.16
277,276.0,165.0,200.0,32.0,67.0,-0.49,1.14,0.48,-0.44,-0.25,-0.68
278,277.0,249.0,208.0,32.0,65.0,-0.61,2.28,0.45,0.05,0.44,1.25
279,278.0,313.0,193.0,32.0,64.0,-0.85,2.88,0.44,-0.41,0.4,0.24
280,279.0,294.0,173.0,31.0,67.0,-1.45,4.1,0.32,-0.46,0.29,-0.48
281,280.0,263.0,167.0,30.0,66.0,-1.93,5.71,0.19,1.44,0.65,-2.09
282,281.0,230.0,168.0,29.0,64.0,-2.11,6.46,0.08,2.29,0.77,-2.21
283,282.0,218.0,157.0,30.0,68.0,-2.47,7.61,-0.18,1.08,0.16,-0.99
284,283.0,196.0,152.0,27.0,66.0,-2.66,8.16,-0.42,1.56,0.45,-0.57
285,284.0,185.0,146.0,25.0,70.0,-2.78,8.42,-0.53,0.64,-0.05,-1.73
