,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
5018,4963.0,55.0,145.0,23.0,61.0,0.01,-0.08,0.0,-0.02,0.11,-0.04
5019,4964.0,62.0,140.0,23.0,64.0,0.01,-0.07,-0.01,-0.02,0.11,-0.01
5020,4965.0,58.0,136.0,23.0,63.0,-0.0,-0.06,0.0,0.0,0.06,-0.03
5021,4966.0,55.0,136.0,23.0,66.0,0.0,-0.01,0.01,0.05,0.09,0.04
5022,4967.0,58.0,137.0,23.0,63.0,0.0,0.01,0.01,-0.03,0.09,-0.03
5023,4968.0,58.0,138.0,23.0,64.0,0.0,0.04,0.0,-0.09,0.1,-0.05
5024,4969.0,55.0,134.0,23.0,65.0,0.0,0.03,-0.01,-0.13,0.08,-0.1
5025,4970.0,56.0,133.0,23.0,64.0,-0.01,0.02,-0.01,-0.07,0.08,-0.07
5026,4971.0,57.0,137.0,23.0,65.0,-0.0,-0.01,-0.0,-0.05,0.04,-0.05
5027,4972.0,56.0,138.0,26.0,65.0,0.0,-0.02,0.01,-0.06,0.06,-0.09
5028,4973.0,53.0,135.0,24.0,64.0,0.0,-0.03,0.01,-0.1,0.06,-0.15
5029,4974.0,50.0,139.0,20.0,72.0,0.01,-0.08,0.02,-0.13,0.07,-0.19
5030,4975.0,48.0,131.0,33.0,69.0,0.01,-0.18,0.03,-0.24,0.0,-0.28
5031,4976.0,47.0,133.0,34.0,70.0,0.03,-0.27,0.03,-0.47,0.0,-0.4
5032,4977.0,45.0,132.0,38.0,81.0,0.06,-0.49,0.06,-0.47,-0.07,-0.42
5033,4978.0,48.0,130.0,43.0,76.0,0.04,-0.5,0.15,0.1,0.05,0.58
5034,4979.0,67.0,139.0,47.0,78.0,0.03,-0.41,0.18,0.2,0.02,0.83
5035,4980.0,72.0,142.0,43.0,74.0,-0.01,-0.31,0.22,-0.5,0.24,0.24
5036,4981.0,72.0,147.0,43.0,82.0,0.04,-0.29,0.31,0.6,0.38,0.95
5037,4982.0,69.0,141.0,40.0,87.0,-0.0,0.22,0.34,1.33,0.68,1.97
5038,4983.0,64.0,141.0,35.0,94.0,0.0,1.46,0.55,-0.46,-0.1,3.24
5039,4984.0,75.0,145.0,35.0,106.0,0.03,2.79,0.92,0.47,-0.35,2.48
5040,4985.0,78.0,134.0,32.0,107.0,0.01,3.62,1.02,-0.78,-0.07,1.08
5041,4986.0,84.0,150.0,30.0,99.0,-0.19,5.24,1.27,0.09,0.25,0.81
