,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
639,633.0,49.0,127.0,24.0,198.0,-0.01,0.02,-0.02,0.05,0.09,0.05
640,634.0,46.0,120.0,23.0,205.0,-0.02,0.06,-0.01,0.0,0.1,0.03
641,635.0,47.0,114.0,24.0,218.0,-0.02,0.1,-0.01,-0.03,0.1,-0.05
642,636.0,46.0,110.0,24.0,232.0,-0.02,0.07,-0.02,-0.19,0.06,-0.15
643,637.0,46.0,119.0,24.0,243.0,-0.01,0.04,-0.01,-0.18,0.04,-0.1
644,638.0,44.0,112.0,28.0,253.0,-0.01,-0.02,0.01,-0.13,0.03,-0.09
645,639.0,44.0,107.0,25.0,259.0,-0.0,-0.06,0.03,-0.11,0.06,-0.09
646,640.0,44.0,105.0,24.0,266.0,0.0,-0.08,0.03,-0.09,0.11,-0.11
647,641.0,43.0,101.0,24.0,270.0,0.01,-0.09,0.03,-0.05,0.1,-0.01
648,642.0,48.0,103.0,26.0,262.0,0.03,-0.06,0.03,-0.03,0.07,0.09
649,643.0,45.0,101.0,27.0,266.0,0.03,0.01,0.05,0.55,0.07,0.59
650,644.0,44.0,107.0,47.0,268.0,-0.01,0.21,0.16,0.58,0.23,0.37
651,645.0,43.0,128.0,59.0,275.0,-0.07,0.19,0.18,-0.33,-0.1,-0.29
652,646.0,44.0,155.0,68.0,260.0,-0.07,0.07,0.2,-0.88,-0.4,-0.79
653,647.0,43.0,184.0,79.0,268.0,0.13,-0.41,0.26,-1.08,-0.52,-1.03
654,648.0,50.0,197.0,74.0,253.0,0.36,-0.83,0.42,-0.56,-0.48,-0.05
655,649.0,48.0,215.0,62.0,249.0,0.48,-0.9,0.47,0.16,-0.88,1.39
656,650.0,50.0,204.0,58.0,251.0,0.33,-0.63,0.42,-0.91,-1.72,2.73
657,651.0,54.0,196.0,68.0,242.0,-0.07,0.35,0.56,-2.14,0.95,2.54
658,652.0,49.0,200.0,87.0,243.0,-0.13,0.63,0.71,-0.95,1.05,2.34
659,653.0,49.0,190.0,76.0,243.0,-0.34,1.51,1.15,-0.73,0.19,2.19
