,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
5700,5642.0,45.0,111.0,25.0,55.0,0.01,-0.06,0.0,0.0,0.09,-0.05
5701,5643.0,46.0,103.0,25.0,54.0,0.01,-0.05,0.01,-0.02,0.08,-0.05
5702,5644.0,53.0,103.0,24.0,53.0,0.01,-0.05,0.02,0.06,0.15,0.02
5703,5645.0,48.0,108.0,24.0,54.0,0.02,-0.04,0.03,-0.06,0.13,-0.05
5704,5646.0,46.0,113.0,26.0,52.0,0.02,-0.05,0.02,-0.09,0.12,-0.07
5705,5647.0,52.0,115.0,25.0,52.0,0.03,-0.08,0.02,-0.07,0.08,-0.09
5706,5648.0,51.0,121.0,25.0,52.0,0.04,-0.12,0.02,-0.09,0.08,-0.16
5707,5649.0,54.0,120.0,25.0,54.0,0.05,-0.15,0.03,-0.07,0.12,-0.21
5708,5650.0,52.0,119.0,25.0,53.0,0.05,-0.22,0.04,-0.33,-0.04,-0.19
5709,5651.0,51.0,119.0,25.0,54.0,0.04,-0.32,0.05,-0.07,0.0,-0.02
5710,5652.0,57.0,123.0,25.0,55.0,0.05,-0.34,0.05,-0.03,0.2,0.0
5711,5653.0,57.0,117.0,25.0,56.0,0.03,-0.31,0.04,0.07,0.15,0.1
5712,5654.0,56.0,124.0,33.0,60.0,0.03,-0.22,0.03,0.13,0.21,0.17
5713,5655.0,57.0,118.0,37.0,62.0,0.03,-0.17,0.02,0.2,0.28,0.12
5714,5656.0,57.0,121.0,35.0,60.0,0.07,-0.07,-0.0,-0.15,0.42,0.31
5715,5657.0,76.0,117.0,36.0,60.0,0.02,-0.02,-0.01,-0.09,0.32,0.5
5716,5658.0,76.0,137.0,34.0,59.0,0.04,0.11,-0.01,-0.65,0.19,0.98
5717,5659.0,79.0,137.0,31.0,65.0,0.09,0.22,0.07,-1.42,0.55,1.88
5718,5660.0,81.0,138.0,30.0,61.0,0.27,0.18,0.27,-0.86,0.35,2.35
5719,5661.0,98.0,151.0,30.0,65.0,0.4,0.31,0.37,-2.1,-0.29,2.3
5720,5662.0,123.0,163.0,28.0,69.0,0.7,0.48,0.65,-2.25,-0.29,0.46
5721,5663.0,117.0,160.0,28.0,82.0,0.78,0.84,0.88,-1.26,0.02,0.74
5722,5664.0,113.0,173.0,28.0,93.0,0.72,1.35,0.94,-1.94,-0.28,0.86
5723,5665.0,125.0,183.0,29.0,95.0,0.66,1.8,1.02,-1.48,0.0,1.5
5724,5666.0,128.0,188.0,29.0,91.0,0.67,1.84,1.09,-0.26,0.25,1.95
5725,5667.0,130.0,179.0,27.0,85.0,0.64,1.92,1.04,-0.52,0.14,0.7
5726,5668.0,115.0,178.0,27.0,79.0,0.62,1.75,0.95,0.19,0.57,-0.84
5727,5669.0,106.0,191.0,27.0,88.0,0.59,1.24,0.77,0.65,0.45,-0.88
5728,5670.0,103.0,186.0,27.0,88.0,0.61,0.93,0.69,0.68,0.49,-0.73
5729,5671.0,111.0,180.0,25.0,85.0,0.61,0.33,0.55,1.91,0.29,-0.01
5730,5672.0,112.0,191.0,26.0,80.0,0.57,0.23,0.41,1.84,-0.26,-0.24
5731,5673.0,109.0,194.0,26.0,74.0,0.55,0.22,0.37,1.69,-0.2,-0.69
5732,5674.0,115.0,191.0,25.0,73.0,0.49,0.35,0.26,1.15,-0.28,-1.26
5733,5675.0,107.0,182.0,24.0,77.0,0.42,0.32,0.19,0.59,-0.4,-0.94
5734,5676.0,108.0,198.0,26.0,84.0,0.4,0.21,0.18,1.43,-0.18,-0.93
