,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
1885,1866.0,43.0,81.0,24.0,46.0,0.04,0.01,0.03,-0.09,0.12,-0.1
1886,1867.0,42.0,87.0,23.0,45.0,0.03,-0.04,0.04,-0.11,0.03,-0.13
1887,1868.0,42.0,86.0,24.0,48.0,0.03,-0.06,0.04,-0.07,0.02,-0.12
1888,1869.0,41.0,83.0,23.0,48.0,0.03,-0.04,0.07,0.15,0.02,0.02
1889,1870.0,41.0,84.0,23.0,48.0,0.05,0.04,0.09,0.1,0.03,-0.05
1890,1871.0,44.0,81.0,27.0,47.0,0.06,0.08,0.1,-0.01,0.14,-0.01
1891,1872.0,42.0,82.0,23.0,51.0,0.07,0.08,0.11,-0.02,0.13,0.04
1892,1873.0,40.0,80.0,24.0,49.0,0.05,0.12,0.12,0.2,0.15,0.14
1893,1874.0,42.0,84.0,25.0,51.0,0.04,0.17,0.13,0.17,0.1,0.15
1894,1875.0,42.0,93.0,33.0,61.0,0.03,0.29,0.13,0.0,0.06,-0.01
1895,1876.0,50.0,102.0,33.0,73.0,0.05,0.35,0.11,-0.57,0.0,-0.35
1896,1877.0,64.0,129.0,31.0,82.0,0.05,0.35,0.1,-0.39,0.0,-0.27
1897,1878.0,99.0,153.0,30.0,102.0,0.0,0.38,0.02,-0.31,0.51,0.51
1898,1879.0,118.0,170.0,30.0,112.0,-0.17,0.09,-0.05,-2.43,-0.14,1.41
1899,1880.0,128.0,176.0,31.0,110.0,-0.28,-0.48,-0.11,-4.99,-1.3,2.7
1900,1881.0,113.0,167.0,29.0,138.0,-0.14,-2.62,0.09,-8.34,-3.06,4.67
1901,1882.0,108.0,161.0,29.0,139.0,0.56,-5.71,0.75,-8.06,-0.81,3.1
1902,1883.0,119.0,165.0,27.0,170.0,0.92,-7.06,1.11,-7.59,-1.69,2.65
1903,1884.0,112.0,152.0,27.0,189.0,1.71,-9.12,1.52,-4.51,-0.79,2.64
1904,1885.0,110.0,148.0,29.0,176.0,1.93,-9.65,1.55,-2.24,-0.38,1.97
1905,1886.0,132.0,170.0,33.0,173.0,1.97,-10.37,1.54,-1.4,-0.31,0.94
1906,1887.0,125.0,169.0,35.0,166.0,1.67,-10.06,1.27,-0.12,0.37,-3.03
1907,1888.0,123.0,201.0,52.0,185.0,1.47,-9.7,1.12,-1.84,0.04,-5.51
1908,1889.0,126.0,189.0,47.0,191.0,1.28,-10.33,0.83,-3.08,-0.1,-5.46
1909,1890.0,134.0,188.0,43.0,174.0,1.41,-12.19,0.76,-2.58,-0.43,-3.7
