,time,channel1,channel2,channel3,channel4,ANGX,ANGY,ANGZ,LINX,LINY,LINZ
5652,5594.0,65.0,112.0,24.0,64.0,-0.0,0.02,0.0,-0.03,0.12,-0.04
5653,5595.0,64.0,113.0,23.0,63.0,-0.01,0.0,0.0,-0.1,0.04,-0.04
5654,5596.0,66.0,112.0,22.0,66.0,-0.0,-0.02,0.01,0.03,0.12,0.05
5655,5597.0,61.0,118.0,23.0,69.0,-0.02,-0.04,0.03,0.08,0.1,0.06
5656,5598.0,81.0,125.0,23.0,67.0,-0.02,-0.01,0.02,0.14,0.15,0.08
5657,5599.0,83.0,126.0,23.0,66.0,-0.01,0.01,0.02,0.17,0.19,0.09
5658,5600.0,75.0,125.0,23.0,65.0,-0.01,0.07,0.01,0.0,0.16,0.0
5659,5601.0,68.0,123.0,20.0,66.0,-0.0,0.08,-0.01,-0.11,0.08,-0.09
5660,5602.0,65.0,123.0,24.0,78.0,-0.0,0.06,-0.0,-0.04,0.04,-0.07
5661,5603.0,62.0,124.0,23.0,73.0,-0.0,0.02,0.01,-0.03,0.0,-0.1
5662,5604.0,59.0,129.0,23.0,69.0,0.0,0.03,0.03,0.17,-0.08,-0.01
5663,5605.0,56.0,168.0,24.0,74.0,0.01,0.1,0.03,0.52,-0.02,0.22
5664,5606.0,59.0,187.0,25.0,74.0,-0.0,0.29,0.05,0.64,0.06,0.44
5665,5607.0,56.0,219.0,25.0,77.0,-0.01,0.7,0.06,0.9,-0.09,0.69
5666,5608.0,75.0,271.0,43.0,80.0,0.02,0.96,0.07,1.05,-0.01,1.24
5667,5609.0,98.0,312.0,60.0,91.0,-0.0,1.7,0.08,1.63,-0.08,1.44
5668,5610.0,106.0,309.0,56.0,90.0,-0.17,3.06,0.05,2.85,-0.28,0.9
5669,5611.0,107.0,326.0,54.0,90.0,-0.32,4.11,0.03,0.9,-0.85,-0.34
5670,5612.0,116.0,322.0,53.0,90.0,-0.45,6.14,-0.08,1.6,-0.72,-0.09
5671,5613.0,131.0,318.0,47.0,86.0,-0.52,7.46,0.09,1.99,1.95,0.99
5672,5614.0,126.0,302.0,54.0,82.0,-0.74,7.95,0.24,0.74,1.22,-0.59
5673,5615.0,117.0,302.0,55.0,78.0,-1.09,8.91,0.46,1.06,1.35,-2.8
5674,5616.0,113.0,304.0,53.0,76.0,-0.98,8.25,0.69,-6.01,0.37,-2.45
5675,5617.0,113.0,294.0,49.0,73.0,-0.63,6.39,0.79,-0.9,0.4,-0.37
5676,5618.0,106.0,280.0,44.0,75.0,0.05,3.1,1.03,0.27,0.35,-0.41
5677,5619.0,95.0,269.0,40.0,75.0,0.13,2.27,0.9,1.11,0.34,-0.38
5678,5620.0,85.0,251.0,40.0,74.0,0.04,2.33,0.8,0.73,-0.08,-0.03
5679,5621.0,76.0,236.0,37.0,70.0,-0.07,2.11,0.6,0.43,-0.14,-0.29
5680,5622.0,72.0,233.0,37.0,69.0,-0.09,1.55,0.44,0.7,-0.16,-0.67
5681,5623.0,65.0,239.0,38.0,70.0,-0.12,1.39,0.39,0.59,0.0,-0.27
5682,5624.0,60.0,232.0,42.0,69.0,-0.18,1.2,0.36,0.41,0.16,-0.46
5683,5625.0,58.0,206.0,47.0,67.0,-0.16,0.9,0.32,0.27,0.27,-0.79
5684,5626.0,99.0,188.0,42.0,74.0,-0.14,0.79,0.3,0.64,0.42,-0.95
5685,5627.0,154.0,174.0,39.0,78.0,-0.16,0.9,0.26,0.61,0.32,-0.63
5686,5628.0,255.0,180.0,39.0,90.0,-0.24,1.18,0.22,0.09,0.24,-0.01
5687,5629.0,474.0,205.0,41.0,113.0,-0.27,1.26,0.2,0.16,0.35,0.72
5688,5630.0,493.0,219.0,49.0,123.0,-0.39,1.44,0.23,0.88,0.34,-0.25
5689,5631.0,522.0,209.0,44.0,115.0,-0.4,1.36,0.37,-2.19,-1.34,-6.29
5690,5632.0,491.0,196.0,41.0,119.0,-0.32,0.85,0.58,-2.72,-1.5,-6.02
5691,5633.0,511.0,186.0,38.0,124.0,-0.21,-0.18,0.75,-0.8,-1.32,0.07
5692,5634.0,513.0,184.0,37.0,128.0,-0.13,-0.54,0.45,2.98,0.7,4.09
5693,5635.0,490.0,187.0,71.0,118.0,-0.28,-0.23,0.22,2.39,1.16,4.41
5694,5636.0,448.0,180.0,65.0,112.0,-0.56,-0.27,-0.02,1.7,0.23,1.63
5695,5637.0,423.0,176.0,57.0,115.0,-0.55,-0.45,-0.15,-0.82,-0.56,-1.64
5696,5638.0,406.0,176.0,49.0,118.0,-0.4,-0.97,-0.22,-1.32,-0.48,-1.05
5697,5639.0,380.0,169.0,44.0,118.0,-0.05,-2.02,-0.22,-0.17,0.55,1.9
5698,5640.0,331.0,163.0,67.0,111.0,-0.05,-2.39,-0.11,-0.04,0.61,2.34
5699,5641.0,275.0,168.0,72.0,102.0,-0.1,-2.61,-0.1,0.07,0.61,1.87
5700,5642.0,280.0,171.0,63.0,104.0,-0.11,-3.18,-0.24,0.59,0.4,0.97
5701,5643.0,260.0,176.0,54.0,106.0,-0.21,-3.04,-0.58,1.54,0.26,0.01
5702,5644.0,226.0,157.0,47.0,106.0,-0.24,-2.89,-0.77,1.35,0.07,-0.16
5703,5645.0,194.0,165.0,45.0,104.0,0.05,-3.36,-0.97,0.24,0.15,0.8
5704,5646.0,199.0,178.0,42.0,100.0,0.42,-4.45,-0.96,-0.54,0.01,0.3
5705,5647.0,186.0,169.0,36.0,93.0,0.51,-4.95,-0.94,-0.6,-0.05,-0.05
5706,5648.0,186.0,158.0,34.0,93.0,0.57,-5.69,-0.9,0.11,-0.15,-0.56
5707,5649.0,171.0,155.0,31.0,91.0,0.58,-5.8,-0.84,1.77,0.43,-0.72
5708,5650.0,153.0,157.0,41.0,88.0,0.5,-5.56,-0.85,1.4,0.49,-0.45
5709,5651.0,161.0,162.0,41.0,86.0,0.28,-5.22,-0.93,-0.29,-0.14,0.02
5710,5652.0,159.0,165.0,35.0,82.0,0.35,-5.69,-0.85,-0.8,-0.14,-0.88
5711,5653.0,162.0,158.0,32.0,85.0,0.41,-5.88,-0.7,0.52,-0.11,-1.26
5712,5654.0,161.0,163.0,30.0,89.0,0.3,-4.78,-0.56,3.99,1.0,-0.5
5713,5655.0,161.0,169.0,29.0,84.0,-0.27,-2.39,-0.61,2.07,0.34,0.57
5714,5656.0,175.0,163.0,27.0,79.0,-0.36,-1.61,-0.62,0.87,-0.12,0.89
5715,5657.0,170.0,166.0,27.0,78.0,-0.14,-1.49,-0.5,-6.97,-1.51,3.18
5716,5658.0,182.0,160.0,25.0,76.0,0.12,-1.28,0.13,-2.82,-0.96,1.68
5717,5659.0,195.0,162.0,26.0,79.0,0.02,-0.57,0.13,3.27,1.34,0.28
5718,5660.0,172.0,165.0,25.0,78.0,0.03,-0.03,-0.0,2.36,0.87,-0.5
5719,5661.0,163.0,160.0,25.0,72.0,-0.03,-0.16,-0.21,0.73,-0.04,-0.27
5720,5662.0,176.0,150.0,26.0,75.0,-0.01,-0.22,-0.23,-0.69,-0.47,0.06
5721,5663.0,184.0,144.0,25.0,77.0,-0.0,-0.11,-0.12,-0.11,-0.48,0.26
5722,5664.0,169.0,141.0,24.0,75.0,-0.02,0.01,-0.08,0.19,0.04,-0.33
